identifier;events;flood_start;flood_end;duration;peak_streamflow
Ansongo;0;2018-12-14;2018-12-22;9;1532.7933349609375
Ansongo;1;2019-12-11;2020-01-03;24;1560.128662109375
Ansongo;2;2020-12-16;2020-12-17;2;1507.5447998046875
Bafing Makana;0;2018-09-02;2018-09-16;15;1218.2059326171875
Bafing Makana;1;2019-09-02;2019-09-16;15;1002.77099609375
Bafing Makana;2;2020-09-02;2020-09-23;22;1477.215087890625
Bamako;0;2018-09-07;2018-09-23;17;4695.31689453125
Bamako;1;2019-09-12;2019-09-28;17;4540.1865234375
Bamako;2;2020-09-13;2020-09-26;14;4764.615234375
Bamako;3;2021-09-23;2021-09-24;2;3930.846435546875
Bamako;4;2022-09-23;2022-09-28;6;4276.2109375
Banankoro;0;2018-09-10;2018-09-16;7;3213.5556640625
Banankoro;1;2019-09-13;2019-09-19;7;3221.96728515625
Banankoro;2;2020-09-13;2020-09-26;14;3494.085205078125
Bougouni;0;2018-08-26;2018-09-27;33;688.7965087890625
Bougouni;1;2019-09-06;2019-09-25;20;531.7000122070312
Bougouni;2;2020-09-10;2020-09-25;16;541.290771484375
Dire;0;2020-11-10;2020-12-05;26;2275.747314453125
Douna;0;2018-09-07;2018-10-07;31;1968.344970703125
Douna;1;2020-09-13;2020-10-17;35;1685.85986328125
Douna;2;2021-09-17;2021-09-23;7;1528.5606689453125
Douna;3;2022-09-19;2022-10-08;20;1644.0474853515625
Gao;0;2020-11-02;2020-12-19;48;1826.031982421875
Kayes;0;2018-09-05;2018-09-24;20;1510.63818359375
Kayes;1;2019-09-01;2019-09-10;10;1208.7908935546875
Kayes;2;2020-09-08;2020-10-07;30;1714.57373046875
Koulikoro;0;2018-09-09;2018-09-24;16;4621.810546875
Koulikoro;1;2019-09-12;2019-09-30;19;4525.568359375
Koulikoro;2;2020-09-13;2020-09-30;18;4772.896484375
Koulikoro;3;2021-09-19;2021-09-26;8;4283.6591796875
Koulikoro;4;2022-09-23;2022-10-08;16;4351.75927734375
Mopti;0;2018-09-14;2018-10-11;28;3541.5478515625
Mopti;1;2019-09-12;2019-10-03;22;3535.8720703125
Mopti;2;2020-09-11;2020-10-24;44;4191.54638671875
Pankourou;0;2018-08-27;2018-10-03;38;1049.145751953125
Pankourou;1;2019-09-16;2019-09-23;8;768.8519897460938
Pankourou;2;2020-09-11;2020-09-17;7;707.44140625
Pankourou;3;2021-08-23;2021-09-07;16;834.789794921875
Pankourou;4;2021-09-19;2021-09-21;3;621.8775024414062
Pankourou;5;2022-09-04;2022-09-23;20;800.094482421875
Sofara;0;2018-09-12;2018-10-09;28;1301.0770263671875
Sofara;1;2019-09-15;2019-10-03;19;1343.54296875
Sofara;2;2020-09-04;2020-10-26;53;1605.8975830078125
