admin_unit;events;flood_start;flood_end;duration
ML0101;0;1954-08-20;1954-08-20;1
ML0101;1;2007-08-15;2007-08-15;1
ML0101;2;2009-09-05;2009-09-05;1
ML0101;3;2010-05-08;2010-05-08;1
ML0101;4;2010-06-10;2010-06-10;1
ML0101;5;2010-08-21;2010-08-21;1
ML0101;6;2010-09-05;2010-09-05;1
ML0101;7;2010-09-12;2010-09-12;1
ML0101;8;2010-09-21;2010-09-21;1
ML0101;9;2012-06-24;2012-06-24;1
ML0101;10;2012-08-09;2012-08-09;1
ML0101;11;2012-08-09;2012-08-09;1
ML0101;12;2012-08-09;2012-08-09;1
ML0101;13;2012-08-24;2012-08-24;1
ML0101;14;2012-08-26;2012-08-26;1
ML0101;15;2012-08-30;2012-08-30;1
ML0101;16;2012-08-30;2012-08-30;1
ML0101;17;2012-09-24;2012-09-24;1
ML0101;18;2012-09-24;2012-09-24;1
ML0101;19;2013-05-17;2013-05-17;1
ML0101;20;2017-06-22;2017-06-22;1
ML0102;0;2012-07-22;2012-07-22;1
ML0102;1;2012-07-25;2012-07-25;1
ML0102;2;2012-07-25;2012-07-25;1
ML0103;0;1906-08-21;1906-08-21;1
ML0103;1;1995-07-17;1995-07-17;1
ML0103;2;1998-08-13;1998-08-13;1
ML0103;3;1999-08-01;1999-08-01;1
ML0103;4;1999-08-05;1999-08-05;1
ML0103;5;2004-01-31;2004-01-31;1
ML0103;6;2004-08-15;2004-08-15;1
ML0103;7;2005-09-21;2005-09-27;7
ML0103;8;2007-07-16;2007-07-16;1
ML0103;9;2007-08-15;2007-08-15;1
ML0103;10;2007-08-30;2007-08-30;1
ML0103;11;2008-08-18;2008-08-19;2
ML0103;12;2009-09-05;2009-09-05;1
ML0103;13;2010-04-04;2010-04-04;1
ML0103;14;2010-08-13;2010-08-13;1
ML0103;15;2010-09-12;2010-09-12;1
ML0103;16;2010-09-14;2010-09-14;1
ML0103;17;2011-08-30;2011-08-30;1
ML0103;18;2011-08-31;2011-08-31;1
ML0103;19;2012-06-02;2012-06-02;1
ML0103;20;2012-06-02;2012-06-02;1
ML0103;21;2012-06-02;2012-06-02;1
ML0103;22;2012-08-14;2012-08-14;1
ML0103;23;2012-08-14;2012-08-14;1
ML0103;24;2012-08-21;2012-08-21;1
ML0103;25;2013-06-28;2013-06-28;1
ML0103;26;2013-06-28;2013-06-28;1
ML0103;27;2013-06-28;2013-06-28;1
ML0103;28;2013-09-09;2013-09-09;1
ML0103;29;2014-08-15;2014-08-15;1
ML0103;30;2017-06-22;2017-06-23;2
ML0103;31;2019-08-07;2019-08-07;1
ML0103;32;2019-08-07;2019-08-07;1
ML0103;33;2019-08-07;2019-08-07;1
ML0103;34;2022-06-20;2022-06-21;2
ML0104;0;2010-09-12;2010-09-12;1
ML0104;1;2010-09-12;2010-09-12;1
ML0104;2;2012-08-08;2012-08-08;1
ML0105;0;2007-08-27;2007-08-27;1
ML0105;1;2007-08-27;2007-08-27;1
ML0105;2;2007-08-27;2007-08-27;1
ML0105;3;2007-08-27;2007-08-27;1
ML0105;4;2007-08-27;2007-08-27;1
