admin_unit;events;flood_start;flood_end;duration
ML0202;0;2017-05-14;2017-05-15;2
ML0202;1;2017-08-14;2017-08-15;2
ML0202;2;2022-06-17;2022-06-18;2
ML0202;3;2022-06-29;2022-06-30;2
ML0202;4;2022-07-17;2022-07-18;2
ML0202;5;2022-09-01;2022-09-02;2
ML0203;0;2019-08-07;2019-08-07;1
ML0204;0;2022-06-17;2022-06-18;2
ML0204;1;2022-08-12;2022-08-13;2
ML0206;0;2016-07-27;2016-07-27;1
ML0206;1;2016-08-01;2016-08-01;1
ML0206;2;2016-08-02;2016-08-02;1
ML0206;3;2016-08-04;2016-08-04;1
ML0206;4;2019-08-07;2019-08-07;1
ML0207;0;2017-03-09;2017-03-10;2
ML0207;1;2017-07-07;2017-07-08;2
ML0207;2;2017-07-08;2017-07-08;1
ML0207;3;2018-09-18;2018-09-18;1
ML0207;4;2022-06-20;2022-06-21;2
ML0207;5;2022-06-29;2022-06-30;2
ML0207;6;2022-08-27;2022-08-28;2
ML0207;7;2022-08-28;2022-08-29;2
ML0301;0;2017-07-24;2017-07-25;2
ML0301;1;2022-08-04;2022-08-05;2
ML0305;0;2016-07-28;2016-07-28;1
ML0305;1;2016-08-01;2016-08-01;1
ML0305;2;2016-08-02;2016-08-02;1
ML0305;3;2017-07-24;2017-07-25;2
ML0305;4;2017-11-02;2017-11-03;2
ML0305;5;2017-11-30;2017-11-30;1
ML0305;6;2018-10-05;2018-10-05;1
ML0305;7;2018-10-12;2018-10-12;1
ML0305;8;2019-08-07;2019-08-07;1
ML0401;0;2022-09-15;2022-09-16;2
ML0406;0;2016-08-01;2016-08-01;1
ML0406;1;2017-01-09;2017-01-10;2
ML0406;2;2017-08-09;2017-08-10;2
ML0406;3;2017-08-11;2017-08-12;2
ML0406;4;2017-08-12;2017-08-12;1
ML0406;5;2017-08-15;2017-08-15;1
ML0406;6;2017-08-21;2017-08-22;2
ML0406;7;2017-08-24;2017-08-24;1
ML0406;8;2017-11-30;2017-11-30;1
ML0406;9;2022-07-20;2022-07-21;2
ML0406;10;2022-07-29;2022-07-30;2
ML0406;11;2022-08-18;2022-08-19;2
ML0406;12;2022-08-28;2022-08-29;2
ML0406;13;2022-09-02;2022-09-03;2
ML0506;0;2016-08-01;2016-08-01;1
ML0506;1;2016-08-10;2016-08-10;1
ML0506;2;2016-11-12;2016-11-12;1
ML0506;3;2017-09-08;2017-09-09;2
ML0506;4;2022-06-06;2022-06-07;2
ML0506;5;2022-06-27;2022-06-28;2
