identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2018-08-26;2018-10-04;40;1477.6741943359375
ML0101;1;2019-08-29;2019-10-11;44;1359.4427490234375
ML0101;2;2020-08-29;2020-10-19;52;1739.149169921875
ML0101;3;2021-08-30;2021-09-01;3;891.5463256835938
ML0101;4;2021-09-15;2021-09-17;3;908.7849731445312
ML0101;5;2022-09-02;2022-10-05;34;1330.593017578125
ML0102;0;2018-08-09;2018-09-20;43;439.5993957519531
ML0102;1;2019-08-25;2019-09-13;20;734.5408325195312
ML0102;2;2020-08-05;2020-08-15;11;254.69468688964844
ML0102;3;2020-08-27;2020-09-25;30;1186.3372802734375
ML0102;4;2021-08-19;2021-08-23;5;149.89251708984375
ML0103;0;2018-08-25;2018-10-09;46;1543.85986328125
ML0103;1;2019-08-26;2019-10-14;50;1482.45703125
ML0103;2;2020-08-24;2020-10-22;60;1731.0546875
ML0103;3;2021-08-22;2021-10-02;42;943.5875854492188
ML0103;4;2022-09-08;2022-10-12;35;1002.3277587890625
ML0104;0;2018-08-29;2018-09-19;22;1443.435546875
ML0104;1;2019-08-31;2019-09-26;27;1021.3496704101562
ML0104;2;2020-08-30;2020-09-29;31;1830.94189453125
ML0104;3;2021-08-30;2021-09-11;13;870.154052734375
ML0104;4;2022-09-02;2022-09-26;25;954.081298828125
ML0105;0;2018-08-29;2018-09-19;22;1339.5318603515625
ML0105;1;2019-08-31;2019-09-26;27;1021.3496704101562
ML0105;2;2020-08-30;2020-09-29;31;1728.6207275390625
ML0105;3;2021-08-30;2021-09-11;13;870.154052734375
ML0105;4;2022-09-02;2022-09-25;24;989.5094604492188
ML0107;0;2016-07-31;2016-08-01;2;290.94525146484375
ML0107;1;2016-08-18;2016-09-17;31;513.876953125
ML0107;2;2017-08-26;2017-08-27;2;244.40805053710938
ML0107;3;2018-08-17;2018-09-21;36;555.1719970703125
ML0107;4;2019-08-26;2019-09-06;12;602.156005859375
ML0107;5;2020-08-04;2020-08-09;6;388.4337463378906
ML0107;6;2020-08-26;2020-09-22;28;1574.0797119140625
ML0107;7;2021-08-22;2021-08-23;2;295.9475402832031
ML0107;8;2022-09-01;2022-09-11;11;433.0430603027344
ML0107;9;2022-09-28;2022-09-29;2;225.9344482421875
ML0201;0;2016-08-30;2016-08-31;2;42.06892395019531
ML0201;1;2017-08-24;2017-08-26;3;30.867090225219727
ML0201;2;2018-08-12;2018-08-21;10;78.86846160888672
ML0201;3;2018-09-01;2018-09-14;14;134.45091247558594
ML0201;4;2019-08-26;2019-09-11;17;114.89212036132812
ML0201;5;2020-08-05;2020-09-20;47;299.27252197265625
ML0201;6;2021-08-19;2021-08-20;2;18.451356887817383
ML0202;0;2016-08-28;2016-10-09;43;1265.17333984375
ML0202;1;2017-09-08;2017-09-09;2;777.23681640625
ML0202;2;2018-08-24;2018-10-21;59;1917.839111328125
ML0202;3;2019-08-29;2019-10-26;59;1625.285888671875
ML0202;4;2020-08-26;2020-10-28;64;1797.5048828125
ML0202;5;2021-08-15;2021-10-11;58;1683.8358154296875
ML0202;6;2022-09-06;2022-10-20;45;1602.0916748046875
ML0203;0;2018-09-02;2018-10-15;44;4680.7333984375
ML0203;1;2019-09-01;2019-10-19;49;4656.04296875
ML0203;2;2020-09-07;2020-10-17;41;4838.17041015625
ML0203;3;2021-09-04;2021-10-03;30;4415.90625
ML0203;4;2022-09-05;2022-10-17;43;4325.90673828125
ML0204;0;2018-09-02;2018-10-15;44;4714.064453125
ML0204;1;2019-09-01;2019-10-19;49;4682.2412109375
ML0204;2;2020-09-07;2020-10-18;42;4864.60498046875
ML0204;3;2021-09-04;2021-10-04;31;4439.7353515625
ML0204;4;2022-09-05;2022-10-17;43;4451.41650390625
ML0205;0;2018-08-20;2018-09-16;28;293.2003173828125
ML0205;1;2019-08-26;2019-09-06;12;340.3564453125
ML0205;2;2020-08-07;2020-08-14;8;171.18301391601562
ML0205;3;2020-08-26;2020-09-21;27;681.4035034179688
ML0205;4;2021-08-19;2021-08-23;5;100.4087142944336
ML0205;5;2022-09-25;2022-09-26;2;60.525177001953125
ML0206;0;2018-09-02;2018-10-14;43;4701.2451171875
ML0206;1;2019-09-03;2019-10-19;47;4606.4501953125
ML0206;2;2020-09-06;2020-10-19;44;4853.04638671875
ML0206;3;2021-09-01;2021-10-05;35;4393.21240234375
ML0206;4;2022-09-04;2022-10-16;43;4469.3212890625
ML0207;0;2017-08-27;2017-08-28;2;86.34677124023438
ML0207;1;2018-08-09;2018-09-17;40;279.1396179199219
ML0207;2;2019-08-25;2019-09-06;13;556.9775390625
ML0207;3;2020-08-07;2020-08-15;9;193.5018768310547
ML0207;4;2020-08-27;2020-09-21;26;684.3390502929688
ML0301;0;2016-08-25;2016-10-06;43;620.7648315429688
ML0301;1;2018-08-18;2018-10-15;59;1104.1978759765625
ML0301;2;2019-08-30;2019-10-19;51;865.2159423828125
ML0301;3;2020-08-30;2020-10-22;54;822.0731201171875
ML0301;4;2021-08-12;2021-10-06;56;835.3688354492188
ML0301;5;2022-08-27;2022-10-14;49;803.840576171875
ML0302;0;2016-08-29;2016-10-06;39;238.69720458984375
ML0302;1;2018-08-20;2018-10-16;58;419.12841796875
ML0302;2;2019-08-30;2019-10-21;53;322.12548828125
ML0302;3;2020-08-31;2020-10-17;48;268.68505859375
ML0302;4;2021-08-19;2021-09-30;43;290.8681945800781
ML0302;5;2022-08-31;2022-10-14;45;259.5400695800781
ML0303;0;2016-08-29;2016-10-04;37;594.3427734375
ML0303;1;2018-08-20;2018-10-16;58;1029.5843505859375
ML0303;2;2019-08-30;2019-10-20;52;827.2728881835938
ML0303;3;2020-08-31;2020-10-20;51;741.1484985351562
ML0303;4;2021-08-15;2021-10-06;53;835.3688354492188
ML0303;5;2022-08-27;2022-10-13;48;784.8097534179688
ML0304;0;2016-08-27;2016-09-19;24;288.0199890136719
ML0304;1;2017-08-25;2017-08-29;5;170.2207489013672
ML0304;2;2018-08-14;2018-09-26;44;477.5076599121094
ML0304;3;2019-08-27;2019-09-26;31;385.107421875
ML0304;4;2020-08-22;2020-10-03;43;697.1974487304688
ML0304;5;2021-08-14;2021-09-18;36;362.69317626953125
ML0304;6;2022-09-03;2022-09-27;25;312.009521484375
ML0305;0;2016-08-24;2016-10-07;45;773.4674072265625
ML0305;1;2017-08-28;2017-08-30;3;405.4810791015625
ML0305;2;2018-08-20;2018-10-16;58;1107.9990234375
ML0305;3;2019-08-28;2019-10-20;54;940.4368896484375
ML0305;4;2020-08-28;2020-10-20;54;973.49462890625
ML0305;5;2021-08-04;2021-10-05;63;959.376220703125
ML0305;6;2022-08-31;2022-10-13;44;803.840576171875
ML0306;0;2016-09-19;2016-09-20;2;669.6255493164062
