admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0103;0;2018-08-22;2018-10-08;48;1445.3931884765625
ML0104;0;2018-08-27;2018-09-22;27;1733.622802734375
ML0105;0;2018-08-27;2018-09-22;27;1375.7108154296875
ML0203;0;2018-08-30;2018-10-16;48;4949.1328125
ML0204;0;2018-08-30;2018-10-16;48;4949.1328125
ML0206;0;2018-08-31;2018-10-15;46;4724.77392578125
ML0301;0;2016-08-23;2016-10-06;45;614.2953491210938
ML0301;1;2018-08-18;2018-10-16;60;1136.5162353515625
ML0303;0;2016-08-28;2016-10-05;39;602.141357421875
ML0303;1;2018-08-18;2018-10-15;59;1025.4114990234375
ML0305;0;2016-08-22;2016-10-07;47;754.1483154296875
ML0305;1;2018-08-18;2018-10-15;59;1151.65478515625
ML0402;0;2016-08-25;2016-10-12;49;1284.248291015625
ML0402;1;2017-09-07;2017-09-11;5;972.0948486328125
ML0402;2;2018-08-22;2018-10-24;64;2088.188720703125
ML0406;0;2018-09-04;2018-10-13;40;4083.98779296875
ML0503;0;2018-09-03;2018-10-20;48;2997.509521484375
ML0506;0;2018-09-04;2018-11-11;69;2794.006591796875
ML0901;0;2018-08-30;2018-10-15;47;4775.41845703125
