identifier;events;flood_start;flood_end;duration;peak_streamflow
Ansongo;0;2018-12-07;2019-01-01;26;1536.4576416015625
Ansongo;1;2019-12-07;2020-01-07;32;1560.128662109375
Ansongo;2;2020-12-07;2020-12-27;21;1527.99560546875
Ansongo;3;2022-11-29;2022-12-29;31;1514.6678466796875
Bafing Makana;0;2018-08-30;2018-09-18;20;1218.2059326171875
Bafing Makana;1;2019-08-31;2019-09-26;27;1002.77099609375
Bafing Makana;2;2020-08-31;2020-09-25;26;1477.215087890625
Bafing Makana;3;2022-09-02;2022-09-08;7;854.2608032226562
Bafing Makana;4;2022-09-23;2022-09-24;2;654.6984252929688
Bamako;0;2018-09-05;2018-10-03;29;4695.31689453125
Bamako;1;2019-09-07;2019-10-14;38;4540.1865234375
Bamako;2;2020-09-13;2020-09-30;18;4764.615234375
Bamako;3;2021-09-09;2021-09-27;19;4369.33642578125
Bamako;4;2022-09-16;2022-10-08;23;4344.921875
Banankoro;0;2018-09-07;2018-09-22;16;3445.54833984375
Banankoro;1;2019-09-08;2019-10-01;24;3381.1123046875
Banankoro;2;2020-09-13;2020-09-30;18;3494.085205078125
Banankoro;3;2021-09-23;2021-09-24;2;2813.8427734375
Banankoro;4;2022-09-16;2022-10-07;22;3275.9638671875
Bougouni;0;2018-08-25;2018-10-05;42;688.7965087890625
Bougouni;1;2019-09-01;2019-10-11;41;531.7000122070312
Bougouni;2;2020-09-05;2020-09-26;22;616.8024291992188
Bougouni;3;2020-10-09;2020-10-16;8;428.02764892578125
Bougouni;4;2021-09-01;2021-09-25;25;475.62689208984375
Bougouni;5;2022-09-03;2022-09-15;13;463.1823425292969
Bougouni;6;2022-09-30;2022-10-05;6;398.43963623046875
Dire;0;2018-10-02;2018-10-20;19;2075.836181640625
Dire;1;2019-10-09;2019-11-02;25;2088.848876953125
Dire;2;2020-10-09;2020-12-11;64;2275.747314453125
Douna;0;2018-09-02;2018-10-14;43;1968.344970703125
Douna;1;2019-09-15;2019-10-11;27;1501.8045654296875
Douna;2;2020-09-10;2020-10-19;40;1705.10009765625
Douna;3;2021-09-01;2021-09-30;30;1618.7537841796875
Douna;4;2022-09-17;2022-10-11;25;1644.0474853515625
Gao;0;2018-12-17;2018-12-25;9;1674.716552734375
Gao;1;2019-11-24;2020-01-04;42;1733.46533203125
Gao;2;2020-10-23;2020-12-28;67;1826.031982421875
Kayes;0;2018-09-01;2018-09-29;29;1510.63818359375
Kayes;1;2019-08-30;2019-09-18;20;1276.5677490234375
Kayes;2;2020-09-04;2020-10-16;43;1714.57373046875
Kayes;3;2022-09-28;2022-09-29;2;853.2822875976562
Koulikoro;0;2018-09-06;2018-10-03;28;4630.33349609375
Koulikoro;1;2019-09-07;2019-10-12;36;4525.568359375
Koulikoro;2;2020-09-12;2020-10-04;23;4772.896484375
Koulikoro;3;2021-09-06;2021-09-30;25;4357.5908203125
Koulikoro;4;2022-09-16;2022-10-09;24;4351.75927734375
Mopti;0;2018-09-11;2018-10-18;38;3541.5478515625
Mopti;1;2019-09-09;2019-10-14;36;3544.6884765625
Mopti;2;2020-09-08;2020-10-28;51;4273.5546875
Mopti;3;2021-09-23;2021-09-30;8;3111.931396484375
Mopti;4;2022-10-05;2022-10-08;4;3060.620361328125
Pankourou;0;2018-08-25;2018-10-07;44;1049.145751953125
Pankourou;1;2019-09-04;2019-10-04;31;847.8269653320312
Pankourou;2;2020-09-06;2020-09-20;15;766.9815673828125
Pankourou;3;2021-08-18;2021-09-24;38;834.789794921875
Pankourou;4;2022-09-03;2022-09-28;26;800.094482421875
Sofara;0;2018-09-08;2018-10-15;38;1328.898193359375
Sofara;1;2019-09-09;2019-10-19;41;1343.54296875
Sofara;2;2020-09-04;2020-10-30;57;1605.8975830078125
Sofara;3;2021-09-19;2021-09-24;6;1081.5889892578125
Sofara;4;2022-09-29;2022-09-30;2;1034.0316162109375
