event_ID;admin_unit_NAME;admin_unit;flood_start;flood_end;duration
ML0101_20;BAFOULABE;ML0101;2017-06-22;2017-06-22;1
ML0103_30;KAYES;ML0103;2017-06-22;2017-06-23;2
ML0103_31;GOUMERA;ML0103;2019-08-07;2019-08-07;1
ML0103_34;KAYES;ML0103;2022-06-20;2022-06-21;2
ML0105_25;KITA;ML0105;2019-08-07;2019-08-07;1
ML0106_8;NIORO;ML0106;2017-06-18;2017-06-19;2
ML0107_11;YELIMANE;ML0107;2017-06-22;2017-06-22;1
ML0107_13;YELIMANE;ML0107;2017-08-21;2017-08-21;1
ML0202_10;DIOILA;ML0202;2017-05-14;2017-05-14;1
ML0202_12;DIOILA;ML0202;2017-08-14;2017-08-15;2
ML0202_13;DIOILA;ML0202;2022-06-17;2022-06-18;2
ML0202_14;DIOILA;ML0202;2022-06-29;2022-06-30;2
ML0202_15;DIOILA;ML0202;2022-07-17;2022-07-18;2
ML0202_16;DIOILA;ML0202;2022-09-01;2022-09-02;2
ML0203_10;KENEKOUN;ML0203;2019-08-07;2019-08-07;1
ML0204_16;KATI;ML0204;2022-06-17;2022-06-18;2
ML0204_17;KATI;ML0204;2022-08-12;2022-08-13;2
ML0205_5;KOLOKANI;ML0205;2019-08-07;2019-08-07;1
ML0206_14;KOULIKORO;ML0206;2016-07-27;2016-07-27;1
ML0206_15;KOULIKORO;ML0206;2016-08-01;2016-08-01;1
ML0206_16;KOULIKORO;ML0206;2016-08-02;2016-08-02;1
ML0206_17;KOULIKORO;ML0206;2016-08-04;2016-08-04;1
ML0206_18;TOUBAKORO;ML0206;2019-08-07;2019-08-07;1
ML0207_6;NARA;ML0207;2017-03-09;2017-03-10;2
ML0207_7;NARA;ML0207;2017-07-07;2017-07-08;2
ML0207_8;NARA;ML0207;2017-07-08;2017-07-08;1
ML0207_9;NARA;ML0207;2018-09-18;2018-09-18;1
ML0207_10;NARA;ML0207;2022-06-20;2022-06-21;2
ML0207_11;NARA;ML0207;2022-06-29;2022-06-30;2
ML0207_12;NARA;ML0207;2022-08-27;2022-08-28;2
ML0207_14;NARA;ML0207;2022-08-28;2022-08-29;2
ML0301_7;BOUGOUNI;ML0301;2017-07-24;2017-07-25;2
ML0301_8;BOUGOUNI;ML0301;2022-08-04;2022-08-05;2
ML0302_2;ZEGOUA;ML0302;2019-08-07;2019-08-07;1
ML0302_3;KADIOLO;ML0302;2022-08-04;2022-08-05;2
ML0304_22;KOUTIALA;ML0304;2019-08-07;2019-08-07;1
ML0305_14;SIKASSO;ML0305;2016-07-28;2016-07-28;1
ML0305_15;SIKASSO;ML0305;2016-08-01;2016-08-01;1
ML0305_16;SIKASSO;ML0305;2016-08-02;2016-08-02;1
ML0305_17;SIKASSO;ML0305;2017-07-24;2017-07-25;2
ML0305_18;SIKASSO;ML0305;2017-11-02;2017-11-03;2
ML0305_19;SIKASSO;ML0305;2017-11-30;2017-11-30;1
ML0305_20;SIKASSO;ML0305;2018-10-05;2018-10-05;1
ML0305_21;SIKASSO;ML0305;2018-10-12;2018-10-12;1
ML0305_22;BIRAMABOUGOU;ML0305;2019-08-07;2019-08-07;1
ML0307_10;SONA;ML0307;2019-08-07;2019-08-07;1
ML0401_22;BARAOUELI;ML0401;2022-09-15;2022-09-16;2
ML0402_25;BLA;ML0402;2016-07-20;2016-07-20;1
ML0402_26;BLA;ML0402;2017-08-11;2017-08-11;1
ML0402_27;BLA;ML0402;2017-08-24;2017-08-24;1
ML0402_29;BLA;ML0402;2017-11-08;2017-11-09;2
ML0402_31;BLA;ML0402;2022-09-15;2022-09-16;2
ML0404_27;NIONO;ML0404;2017-08-08;2017-08-09;2
ML0405_16;SAN;ML0405;2017-05-27;2017-05-28;2
ML0405_17;SAN;ML0405;2022-09-04;2022-09-05;2
ML0405_18;SAN;ML0405;2022-09-10;2022-09-11;2
ML0406_30;SEGOU;ML0406;2016-08-01;2016-08-01;1
ML0406_31;SEGOU;ML0406;2017-01-09;2017-01-10;2
ML0406_32;SEGOU;ML0406;2017-08-09;2017-08-09;1
ML0406_34;SEGOU;ML0406;2017-08-11;2017-08-12;2
ML0406_35;SEGOU;ML0406;2017-08-12;2017-08-12;1
ML0406_36;SEGOU;ML0406;2017-08-15;2017-08-15;1
ML0406_37;SEGOU;ML0406;2017-08-21;2017-08-22;2
ML0406_38;SEGOU;ML0406;2017-08-24;2017-08-24;1
ML0406_39;SEGOU;ML0406;2017-11-30;2017-11-30;1
ML0406_40;SEGOU;ML0406;2022-07-20;2022-07-21;2
ML0406_41;SEGOU;ML0406;2022-07-29;2022-07-30;2
ML0406_42;SEGOU;ML0406;2022-08-18;2022-08-19;2
ML0406_43;SEGOU;ML0406;2022-08-28;2022-08-29;2
ML0406_44;SEGOU;ML0406;2022-09-02;2022-09-03;2
ML0407_19;TOMINIAN;ML0407;2017-08-27;2017-08-28;2
ML0501_7;BANDIAGARA;ML0501;2022-08-24;2022-08-25;2
ML0501_8;BANDIAGARA;ML0501;2022-09-06;2022-09-07;2
ML0501_10;BANDIAGARA;ML0501;2022-09-23;2022-09-24;2
ML0503_7;DJENNE;ML0503;2022-09-05;2022-09-06;2
ML0503_10;DJENNE;ML0503;2022-09-23;2022-09-24;2
ML0504_13;DOUENTZA;ML0504;2016-07-18;2016-07-18;1
