event_ID;index;identifier;flood_start;flood_end;duration
Ansongo_0;0;Ansongo;2016-12-12;2017-01-03;23
Ansongo_1;1;Ansongo;2018-12-14;2018-12-30;17
Bamako_0;0;Bamako;2018-09-07;2018-09-26;20
Banankoro_0;0;Banankoro;2018-09-13;2018-09-14;2
Bougouni_0;0;Bougouni;2018-09-08;2018-10-14;37
Douna_0;0;Douna;2016-08-22;2016-10-10;50
Douna_1;1;Douna;2018-09-04;2018-10-27;54
Koulikoro_0;0;Koulikoro;2018-09-10;2018-09-24;15
Mopti_0;0;Mopti;2016-09-17;2016-10-23;37
Mopti_1;1;Mopti;2018-10-04;2018-11-08;36
Pankourou_0;0;Pankourou;2016-08-25;2016-10-06;43
Pankourou_1;1;Pankourou;2018-08-20;2018-09-11;23
Sofara_0;0;Sofara;2016-08-22;2016-10-18;58
Sofara_1;1;Sofara;2017-08-26;2017-09-27;33
Sofara_2;2;Sofara;2018-09-07;2018-09-09;3
Sofara_3;3;Sofara;2018-09-13;2018-11-05;54
