admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2020-09-11;2020-09-19;9;1666.5911865234375
ML0102;0;2019-08-27;2019-09-03;8;700.0286254882812
ML0102;1;2020-09-02;2020-09-14;13;905.3154296875
ML0103;0;2020-09-10;2020-09-22;13;1734.14453125
ML0104;0;2018-09-04;2018-09-05;2;1472.4647216796875
ML0104;1;2020-09-11;2020-09-14;4;1246.63818359375
ML0107;0;2019-08-27;2019-08-29;3;771.6692504882812
ML0107;1;2020-09-07;2020-09-08;2;706.29150390625
ML0201;0;2019-08-30;2019-09-01;3;80.5653305053711
ML0201;1;2020-08-31;2020-09-08;9;268.9991455078125
ML0205;0;2020-09-06;2020-09-08;3;436.1256408691406
ML0207;0;2019-08-27;2019-09-01;6;618.0897216796875
ML0207;1;2020-09-02;2020-09-08;7;549.73095703125
ML0301;0;2018-09-06;2018-09-22;17;1098.8826904296875
ML0302;0;2018-08-31;2018-09-18;19;445.4316101074219
ML0303;0;2018-09-10;2018-09-22;13;1019.9642333984375
ML0304;0;2020-09-08;2020-09-09;2;442.1709899902344
ML0306;0;2018-09-03;2018-09-20;18;1346.27783203125
ML0404;0;2019-08-26;2019-09-01;7;361.3558349609375
ML0404;1;2020-09-06;2020-09-09;4;254.71446228027344
ML0503;0;2020-09-14;2020-09-27;14;3408.66650390625
ML0504;0;2019-08-26;2019-08-28;3;312.7652282714844
ML0507;0;2020-09-17;2020-09-26;10;3587.4345703125
