admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0203;0;2018-09-01;2018-10-13;43;4949.1328125
ML0204;0;2018-09-01;2018-10-13;43;4949.1328125
ML0206;0;2018-09-03;2018-10-11;39;4724.77392578125
ML0301;0;2016-08-30;2016-10-02;34;614.2953491210938
ML0301;1;2018-08-19;2018-10-13;56;1136.5162353515625
ML0303;0;2016-08-30;2016-10-02;34;602.141357421875
ML0303;1;2018-08-20;2018-10-13;55;1025.4114990234375
ML0305;0;2016-08-28;2016-10-03;37;754.1483154296875
ML0305;1;2018-08-21;2018-10-12;53;1151.65478515625
ML0402;0;2016-09-01;2016-10-06;36;1284.248291015625
ML0402;1;2018-08-24;2018-10-21;59;2088.188720703125
ML0406;0;2018-09-06;2018-10-11;36;4083.98779296875
ML0503;0;2018-09-04;2018-10-18;45;2997.509521484375
ML0506;0;2018-09-09;2018-11-07;60;2794.006591796875
ML0901;0;2018-09-01;2018-10-11;41;4775.41845703125
