index;event_ID;admin_unit_NAME;admin_unit;flood_start;flood_end;duration
0;ML0104_0;KENIEBA;ML0104;2017-07-08;2017-07-09;2
0;ML0105_0;KITA;ML0105;2017-07-08;2017-07-09;2
0;ML0203_0;KENEKOUN;ML0203;2016-09-14;2016-10-08;25
1;ML0203_1;KENEKOUN;ML0203;2018-09-01;2018-10-18;48
0;ML0204_0;KATI;ML0204;2018-09-05;2018-10-12;38
0;ML0206_0;TOUBAKORO;ML0206;2018-09-08;2018-09-26;19
0;ML0301_0;BOUGOUNI;ML0301;2016-08-16;2016-08-22;7
1;ML0301_1;BOUGOUNI;ML0301;2016-08-20;2016-10-10;52
2;ML0301_2;BOUGOUNI;ML0301;2016-08-29;2016-09-05;8
3;ML0301_3;BOUGOUNI;ML0301;2016-09-14;2016-09-17;4
4;ML0301_4;BOUGOUNI;ML0301;2018-08-17;2018-09-11;26
5;ML0301_5;BOUGOUNI;ML0301;2018-09-07;2018-10-17;41
0;ML0303_0;KOLONDIEBA;ML0303;2016-08-20;2016-10-10;52
1;ML0303_1;KOLONDIEBA;ML0303;2018-08-17;2018-09-11;26
0;ML0305_0;BIRAMABOUGOU;ML0305;2016-08-20;2016-10-10;52
1;ML0305_1;BIRAMABOUGOU;ML0305;2018-08-17;2018-09-11;26
0;ML0402_0;BLA;ML0402;2016-08-13;2016-10-14;63
1;ML0402_1;BLA;ML0402;2018-08-23;2018-10-30;69
0;ML0406_0;SEGOU;ML0406;2016-08-13;2016-10-14;63
1;ML0406_1;SEGOU;ML0406;2018-08-23;2018-10-30;69
0;ML0503_0;DJENNE;ML0503;2016-08-13;2016-10-29;78
1;ML0503_1;DJENNE;ML0503;2017-08-20;2017-09-27;39
2;ML0503_2;DJENNE;ML0503;2018-08-23;2018-11-11;81
0;ML0506_0;MOPTI;ML0506;2016-08-13;2016-10-29;78
1;ML0506_1;MOPTI;ML0506;2016-09-06;2016-11-01;57
2;ML0506_2;MOPTI;ML0506;2017-08-20;2017-09-27;39
3;ML0506_3;MOPTI;ML0506;2018-08-23;2018-11-11;81
4;ML0506_4;MOPTI;ML0506;2018-09-14;2018-11-14;62
0;ML0901_0;BAMAKO;ML0901;2018-09-05;2018-10-12;38
