event_ID;index;identifier;flood_start;flood_end;duration
Bafing Makana_0;0;Bafing Makana;2016-07-11;2016-07-16;6
Bafing Makana_1;1;Bafing Makana;2016-11-19;2016-11-22;4
Bafing Makana_2;2;Bafing Makana;2017-07-08;2017-07-09;2
Bafing Makana_3;3;Bafing Makana;2017-10-21;2017-10-24;4
Bafing Makana_4;4;Bafing Makana;2018-11-08;2018-11-13;6
Bamako_0;0;Bamako;2016-08-28;2016-10-13;47
Bamako_1;1;Bamako;2018-08-18;2018-10-22;66
Banankoro_0;0;Banankoro;2016-08-31;2016-10-12;43
Banankoro_1;1;Banankoro;2017-09-09;2017-09-14;6
Banankoro_2;2;Banankoro;2018-08-20;2018-10-22;64
Bougouni_0;0;Bougouni;2016-07-28;2016-10-11;76
Bougouni_1;1;Bougouni;2017-08-26;2017-09-11;17
Bougouni_2;2;Bougouni;2018-07-28;2018-08-13;17
Bougouni_3;3;Bougouni;2018-08-17;2018-08-18;2
Bougouni_4;4;Bougouni;2018-08-24;2018-10-25;63
Douna_0;0;Douna;2016-08-04;2016-10-22;80
Douna_1;1;Douna;2017-09-04;2017-09-15;12
Douna_2;2;Douna;2018-08-10;2018-11-05;88
Kayes_0;0;Kayes;2016-08-18;2016-08-30;13
Kayes_1;1;Kayes;2016-09-02;2016-10-11;40
Kayes_2;2;Kayes;2018-08-09;2018-08-14;6
Kayes_3;3;Kayes;2018-08-19;2018-09-28;41
Koulikoro_0;0;Koulikoro;2016-08-29;2016-10-12;45
Koulikoro_1;1;Koulikoro;2018-08-21;2018-10-22;63
Mopti_0;0;Mopti;2016-09-01;2016-11-05;66
Mopti_1;1;Mopti;2018-09-08;2018-11-16;70
Pankourou_0;0;Pankourou;2016-08-02;2016-10-24;84
Pankourou_1;1;Pankourou;2017-08-25;2017-09-18;25
Pankourou_2;2;Pankourou;2017-10-03;2017-10-11;9
Pankourou_3;3;Pankourou;2018-08-01;2018-09-11;42
Sofara_0;0;Sofara;2016-08-05;2016-11-07;95
Sofara_1;1;Sofara;2017-08-14;2017-09-27;45
Sofara_2;2;Sofara;2018-08-12;2018-11-21;102
