identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0103;1;2019-08-28;2019-09-27;31;1370.807373046875
ML0103;3;2022-09-27;2022-09-28;2;991.3817749023438
ML0105;1;2019-08-26;2019-09-26;32;1097.265869140625
ML0202;4;2022-09-12;2022-10-09;28;1629.5098876953125
ML0203;1;2019-09-05;2019-10-11;37;4880.91259765625
ML0204;4;2022-09-15;2022-10-11;27;4544.41357421875
ML0205;2;2019-08-26;2019-09-10;16;503.833251953125
ML0206;1;2019-09-07;2019-10-12;36;4660.75146484375
ML0207;0;2018-08-03;2018-08-31;29;365.2612609863281
ML0207;1;2018-09-11;2018-09-15;5;328.3898010253906
ML0207;4;2022-09-03;2022-09-06;4;316.6512756347656
ML0207;5;2022-09-22;2022-09-24;3;238.7562255859375
ML0301;5;2022-09-04;2022-10-03;30;745.1390991210938
ML0302;1;2019-09-02;2019-10-06;35;330.10284423828125
ML0302;5;2022-09-14;2022-09-25;12;257.157470703125
ML0304;2;2019-08-26;2019-09-23;29;403.9681091308594
ML0305;0;2018-08-22;2018-10-08;48;1128.89794921875
ML0305;1;2019-08-31;2019-10-03;34;936.70703125
ML0401;4;2022-09-17;2022-10-12;26;4242.0302734375
ML0402;4;2022-09-12;2022-10-11;30;1732.5164794921875
ML0404;0;2017-08-25;2017-08-28;4;163.5149383544922
ML0405;4;2022-09-20;2022-10-11;22;1564.145263671875
ML0406;4;2022-09-16;2022-10-14;29;4027.332763671875
ML0503;4;2022-09-13;2022-10-15;33;2787.035400390625
ML0504;0;2016-08-16;2016-08-21;6;224.45736694335938
ML0504;1;2017-08-09;2017-08-12;4;179.78582763671875
ML0504;2;2017-08-25;2017-08-29;5;249.65411376953125
ML0504;9;2022-08-06;2022-08-07;2;178.8201446533203
ML0504;10;2022-08-25;2022-09-06;13;253.66102600097656
ML0505;1;2017-08-07;2017-08-14;8;165.7299346923828
ML0505;2;2017-08-25;2017-08-29;5;150.28643798828125
ML0505;7;2022-08-28;2022-09-06;10;154.72096252441406
ML0505;8;2022-09-22;2022-09-26;5;136.29644775390625
ML0506;4;2022-10-03;2022-10-28;26;2838.03125
ML0601;0;2019-10-15;2019-10-30;16;2164.391357421875
ML0602;2;2022-10-11;2022-10-23;13;2218.926025390625
ML0604;0;2019-09-25;2019-11-01;38;2284.3525390625
ML0604;2;2022-10-09;2022-10-23;15;2236.260498046875
ML0605;0;2019-10-24;2019-10-31;8;2032.60302734375
ML0605;1;2019-11-20;2019-11-22;3;2009.555908203125
ML0701;2;2019-11-30;2020-01-09;41;1612.8057861328125
ML0702;0;2019-10-20;2019-12-06;48;2016.171142578125
ML0703;0;2018-12-10;2018-12-19;10;1715.4332275390625
ML0703;1;2019-11-20;2019-12-30;41;1779.2078857421875
ML0901;0;2018-09-05;2018-10-05;31;4698.3505859375
ML0901;1;2019-09-05;2019-10-13;39;4714.56640625
ML0901;4;2022-09-16;2022-10-09;24;4428.5283203125
