event_ID;index;identifier;flood_start;flood_end;duration
Bafing Makana_0;0;Bafing Makana;2017-07-08;2017-07-09;2
Bamako_0;0;Bamako;2016-09-02;2016-10-11;40
Bamako_1;1;Bamako;2018-08-20;2018-10-21;63
Banankoro_0;0;Banankoro;2016-09-13;2016-10-10;28
Banankoro_1;1;Banankoro;2018-08-22;2018-08-26;5
Banankoro_2;2;Banankoro;2018-08-30;2018-10-20;52
Bougouni_0;0;Bougouni;2016-07-31;2016-08-03;4
Bougouni_1;1;Bougouni;2016-08-10;2016-10-07;59
Bougouni_2;2;Bougouni;2017-09-01;2017-09-09;9
Bougouni_3;3;Bougouni;2018-08-04;2018-08-13;10
Bougouni_4;4;Bougouni;2018-08-17;2018-08-18;2
Bougouni_5;5;Bougouni;2018-08-24;2018-10-23;61
Douna_0;0;Douna;2016-08-09;2016-10-16;69
Douna_1;1;Douna;2018-08-18;2018-11-01;76
Kayes_0;0;Kayes;2016-08-19;2016-08-25;7
Kayes_1;1;Kayes;2016-08-29;2016-08-30;2
Kayes_2;2;Kayes;2016-09-02;2016-09-09;8
Kayes_3;3;Kayes;2016-09-11;2016-09-20;10
Kayes_4;4;Kayes;2016-09-25;2016-10-07;13
Kayes_5;5;Kayes;2018-08-10;2018-08-13;4
Kayes_6;6;Kayes;2018-08-25;2018-09-21;28
Koulikoro_0;0;Koulikoro;2016-09-15;2016-10-09;25
Koulikoro_1;1;Koulikoro;2018-08-25;2018-08-29;5
Koulikoro_2;2;Koulikoro;2018-09-01;2018-10-19;49
Mopti_0;0;Mopti;2016-10-08;2016-10-20;13
Mopti_1;1;Mopti;2018-10-10;2018-11-05;27
Pankourou_0;0;Pankourou;2016-08-02;2016-10-22;82
Pankourou_1;1;Pankourou;2017-08-28;2017-09-12;16
Pankourou_2;2;Pankourou;2018-08-04;2018-09-11;39
Sofara_0;0;Sofara;2016-08-10;2016-10-30;82
Sofara_1;1;Sofara;2017-08-18;2017-09-27;41
Sofara_2;2;Sofara;2018-08-19;2018-11-16;90
