event_ID;index;identifier;flood_start;flood_end;duration
Bafing Makana_0;0;Bafing Makana;2017-07-08;2017-07-09;2
Bamako_0;0;Bamako;2016-09-16;2016-09-24;9
Bamako_1;1;Bamako;2016-10-02;2016-10-06;5
Bamako_2;2;Bamako;2018-08-22;2018-08-28;7
Bamako_3;3;Bamako;2018-09-01;2018-10-18;48
Banankoro_0;0;Banankoro;2016-09-15;2016-10-08;24
Banankoro_1;1;Banankoro;2018-09-01;2018-10-18;48
Bougouni_0;0;Bougouni;2016-08-12;2016-10-02;52
Bougouni_1;1;Bougouni;2018-08-17;2018-08-18;2
Bougouni_2;2;Bougouni;2018-08-24;2018-08-29;6
Bougouni_3;3;Bougouni;2018-09-05;2018-10-20;46
Douna_0;0;Douna;2018-09-24;2018-10-19;26
Kayes_0;0;Kayes;2016-08-19;2016-08-26;8
Kayes_1;1;Kayes;2016-08-28;2016-08-30;3
Kayes_2;2;Kayes;2016-09-02;2016-09-21;20
Kayes_3;3;Kayes;2016-09-24;2016-10-07;14
Kayes_4;4;Kayes;2018-08-09;2018-08-13;5
Kayes_5;5;Kayes;2018-08-24;2018-09-21;29
Koulikoro_0;0;Koulikoro;2016-09-21;2016-09-24;4
Koulikoro_1;1;Koulikoro;2018-09-03;2018-10-15;43
Pankourou_0;0;Pankourou;2016-08-02;2016-08-05;4
Pankourou_1;1;Pankourou;2016-08-07;2016-10-13;68
Pankourou_2;2;Pankourou;2018-08-09;2018-09-11;34
Sofara_0;0;Sofara;2016-08-21;2016-10-18;59
Sofara_1;1;Sofara;2017-08-26;2017-09-27;33
Sofara_2;2;Sofara;2018-09-06;2018-09-09;4
Sofara_3;3;Sofara;2018-09-12;2018-11-05;55
