admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0103;1;2019-08-28;2019-09-09;13;1482.45703125
ML0203;1;2019-09-15;2019-09-19;5;4477.37158203125
ML0205;0;2019-08-31;2019-09-01;2;146.10865783691406
ML0206;1;2019-09-15;2019-09-19;5;4424.384765625
ML0302;1;2019-09-18;2019-09-20;3;284.3726501464844
ML0305;0;2018-08-27;2018-09-25;30;1104.5374755859375
ML0305;1;2019-09-18;2019-09-21;4;804.0422973632812
ML0402;3;2022-09-24;2022-10-05;12;1687.6734619140625
ML0405;3;2022-09-28;2022-10-08;11;1482.4307861328125
ML0406;3;2022-10-02;2022-10-05;4;3784.343017578125
ML0604;0;2019-10-07;2019-10-19;13;2268.99755859375
ML0701;0;2019-12-09;2020-01-02;25;1629.072998046875
ML0702;0;2019-11-24;2019-11-26;3;1955.78564453125
ML0901;0;2018-09-12;2018-09-22;11;4707.1630859375
ML0901;1;2019-09-18;2019-09-19;2;4303.51123046875
