admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0103;0;2018-08-25;2018-10-09;46;1543.85986328125
ML0104;0;2017-08-29;2017-08-30;2;537.12744140625
ML0104;1;2018-08-29;2018-09-21;24;1443.435546875
ML0105;0;2018-08-29;2018-09-21;24;1339.5318603515625
ML0203;0;2018-09-02;2018-10-15;44;4680.7333984375
ML0204;0;2018-09-02;2018-10-15;44;4714.064453125
ML0206;0;2018-09-01;2018-10-14;44;4701.2451171875
ML0301;0;2016-08-24;2016-10-06;44;620.7648315429688
ML0301;1;2018-08-18;2018-10-16;60;1104.1978759765625
ML0303;0;2016-08-29;2016-10-05;38;594.3427734375
ML0303;1;2018-08-20;2018-10-16;58;1029.5843505859375
ML0305;0;2016-08-24;2016-10-07;45;773.4674072265625
ML0305;2;2018-08-20;2018-10-16;58;1107.9990234375
ML0402;0;2016-08-24;2016-10-12;50;1265.17333984375
ML0402;1;2017-09-08;2017-09-11;4;925.7445678710938
ML0402;2;2018-08-24;2018-10-24;62;1981.27978515625
ML0406;0;2018-09-05;2018-10-14;40;4069.47412109375
ML0503;0;2018-09-04;2018-10-20;47;3024.670166015625
ML0506;0;2018-09-05;2018-11-10;67;2785.974853515625
ML0901;0;2018-08-31;2018-10-14;45;4707.1630859375
