event_ID;index;identifier;flood_start;flood_end;duration;admin_unit;admin_unit_NAME
Bafing Makana_0;0;Bafing Makana;2017-07-08;2017-07-09;2;ML0105;KITA
Bamako_0;0;Bamako;2018-09-05;2018-10-12;38;ML0901;BAMAKO
Banankoro_0;0;Banankoro;2016-09-14;2016-10-08;25;ML0203;KENEKOUN
Banankoro_1;1;Banankoro;2018-09-01;2018-10-18;48;ML0203;KENEKOUN
Bougouni_0;0;Bougouni;2016-08-16;2016-08-22;7;ML0301;BOUGOUNI
Bougouni_1;1;Bougouni;2016-08-29;2016-09-05;8;ML0301;BOUGOUNI
Bougouni_2;2;Bougouni;2016-09-14;2016-09-17;4;ML0301;BOUGOUNI
Bougouni_3;3;Bougouni;2018-09-07;2018-10-17;41;ML0301;BOUGOUNI
Douna_0;0;Douna;2016-08-13;2016-10-14;63;ML0402;BLA
Douna_2;2;Douna;2018-08-23;2018-10-30;69;ML0402;BLA
Koulikoro_0;0;Koulikoro;2018-09-08;2018-09-26;19;ML0206;TOUBAKORO
Mopti_0;0;Mopti;2016-09-06;2016-11-01;57;ML0506;MOPTI
Mopti_1;1;Mopti;2018-09-14;2018-11-14;62;ML0506;MOPTI
Pankourou_0;0;Pankourou;2016-08-20;2016-10-10;52;ML0303;KOLONDIEBA
Pankourou_3;3;Pankourou;2018-08-17;2018-09-11;26;ML0303;KOLONDIEBA
Sofara_0;0;Sofara;2016-08-13;2016-10-29;78;ML0503;DJENNE
Sofara_2;2;Sofara;2017-08-20;2017-09-27;39;ML0503;DJENNE
Sofara_4;4;Sofara;2018-08-23;2018-11-11;81;ML0503;DJENNE
