admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2016-09-16;2016-09-20;5;698.49072265625
ML0101;1;2018-08-25;2018-10-06;43;1467.357421875
ML0101;2;2019-08-26;2019-10-11;47;1362.087158203125
ML0101;3;2020-08-25;2020-10-21;58;1732.9112548828125
ML0101;4;2021-08-22;2021-09-30;40;935.0988159179688
ML0101;5;2022-08-31;2022-10-09;40;1283.72607421875
ML0102;0;2016-07-24;2016-07-25;2;115.32329559326172
ML0102;1;2016-08-13;2016-09-04;23;239.84100341796875
ML0102;2;2017-08-12;2017-08-30;19;285.2663269042969
ML0102;3;2018-08-07;2018-09-25;50;432.99713134765625
ML0102;4;2019-08-23;2019-09-22;31;720.3877563476562
ML0102;5;2020-07-18;2020-10-03;78;1158.6055908203125
ML0102;6;2021-08-01;2021-08-03;3;131.7171173095703
ML0102;7;2021-08-18;2021-08-24;7;216.9901885986328
ML0102;8;2022-08-19;2022-08-20;2;97.34458923339844
ML0102;9;2022-08-31;2022-09-30;31;259.4825744628906
ML0103;0;2018-08-25;2018-10-06;43;1492.15234375
ML0103;1;2019-08-25;2019-10-11;48;1421.9464111328125
ML0103;2;2020-08-25;2020-10-21;58;1747.106689453125
ML0103;3;2021-08-21;2021-09-30;41;966.2970581054688
ML0103;4;2022-09-20;2022-10-09;20;1000.3182983398438
ML0104;0;2018-08-27;2018-09-22;27;1505.6781005859375
ML0104;1;2019-08-27;2019-10-01;36;1352.4478759765625
ML0104;2;2020-08-26;2020-10-12;48;1882.676025390625
ML0104;3;2021-08-24;2021-09-20;28;899.6419677734375
ML0104;4;2022-08-30;2022-09-28;30;961.4724731445312
ML0105;0;2018-08-27;2018-09-22;27;1340.6029052734375
ML0105;1;2019-08-27;2019-10-01;36;1114.2322998046875
ML0105;2;2020-08-26;2020-10-12;48;1595.85205078125
ML0105;3;2021-08-24;2021-09-20;28;899.6419677734375
ML0105;4;2022-08-30;2022-09-28;30;961.4724731445312
ML0107;0;2016-07-28;2016-09-18;53;525.0198364257812
ML0107;1;2017-08-24;2017-08-29;6;368.17333984375
ML0107;2;2018-08-12;2018-09-25;45;567.9846801757812
ML0107;3;2019-08-25;2019-09-11;18;963.46826171875
ML0107;4;2020-08-05;2020-09-22;49;1308.6627197265625
ML0107;5;2021-08-18;2021-08-30;13;455.0339050292969
ML0107;6;2022-08-21;2022-09-30;41;471.9546203613281
ML0201;0;2016-07-24;2016-07-26;3;27.497543334960938
ML0201;1;2016-08-13;2016-09-06;25;85.63455963134766
ML0201;2;2017-08-11;2017-08-30;20;74.539794921875
ML0201;3;2018-08-07;2018-09-20;45;126.29032135009766
ML0201;4;2019-08-09;2019-09-22;45;215.45526123046875
ML0201;5;2020-07-18;2020-09-22;67;271.83892822265625
ML0201;6;2021-08-01;2021-08-03;3;17.783597946166992
ML0201;7;2021-08-18;2021-08-24;7;31.210891723632812
ML0201;8;2022-08-30;2022-09-28;30;70.20252990722656
ML0202;0;2016-08-31;2016-10-04;35;1263.8551025390625
ML0202;1;2018-08-24;2018-10-17;55;1916.3975830078125
ML0202;2;2019-08-30;2019-10-19;51;1616.6175537109375
ML0202;3;2020-08-30;2020-10-26;58;1779.0992431640625
ML0202;4;2021-08-18;2021-10-08;52;1677.2408447265625
ML0202;5;2022-09-08;2022-10-16;39;1627.509765625
ML0203;0;2018-09-01;2018-10-15;45;4809.5224609375
ML0203;1;2019-09-01;2019-10-19;49;4701.9501953125
ML0203;2;2020-09-07;2020-10-17;41;4818.6982421875
ML0203;3;2021-09-03;2021-10-03;31;4414.04443359375
ML0203;4;2022-09-10;2022-10-18;39;4350.50439453125
ML0204;0;2018-09-01;2018-10-15;45;4810.232421875
ML0204;1;2019-09-01;2019-10-19;49;4701.9501953125
ML0204;2;2020-09-07;2020-10-18;42;4837.60009765625
ML0204;3;2021-09-03;2021-10-04;32;4438.28759765625
ML0204;4;2022-09-07;2022-10-18;42;4417.50439453125
ML0205;0;2016-07-23;2016-07-27;5;81.92823791503906
ML0205;1;2016-08-13;2016-09-20;39;180.8447723388672
ML0205;2;2017-08-24;2017-08-28;5;61.28691482543945
ML0205;3;2018-08-11;2018-09-21;42;277.3018493652344
ML0205;4;2019-08-09;2019-09-22;45;459.3033447265625
ML0205;5;2020-07-23;2020-10-04;74;797.238037109375
ML0205;6;2021-08-01;2021-08-04;4;57.510005950927734
ML0205;7;2021-08-17;2021-09-17;32;176.6189422607422
ML0205;8;2022-09-01;2022-09-29;29;229.7957000732422
ML0206;0;2018-09-01;2018-10-14;44;4772.568359375
ML0206;1;2019-09-02;2019-10-19;48;4618.38525390625
ML0206;2;2020-09-07;2020-10-19;43;4830.49951171875
ML0206;3;2021-09-01;2021-10-05;35;4422.71826171875
ML0206;4;2022-09-05;2022-10-17;43;4424.61083984375
ML0207;0;2016-07-24;2016-07-27;4;111.38423156738281
ML0207;1;2016-08-13;2016-09-04;23;201.77845764160156
ML0207;2;2017-08-11;2017-08-30;20;271.3155212402344
ML0207;3;2018-08-07;2018-09-19;44;351.32391357421875
ML0207;4;2019-08-25;2019-09-22;29;628.647216796875
ML0207;5;2020-07-18;2020-09-22;67;683.7431640625
ML0207;6;2021-08-01;2021-08-03;3;67.45858001708984
ML0207;7;2021-08-18;2021-08-22;5;116.58364868164062
ML0207;8;2022-08-19;2022-09-09;22;166.52203369140625
ML0207;9;2022-09-22;2022-09-25;4;113.67060852050781
ML0301;0;2016-08-27;2016-10-04;39;627.4115600585938
ML0301;1;2018-08-19;2018-10-14;57;1124.6922607421875
ML0301;2;2019-08-30;2019-10-18;50;875.1298217773438
ML0301;3;2020-08-30;2020-10-19;51;855.13232421875
ML0301;4;2021-08-14;2021-10-04;52;855.4400024414062
ML0301;5;2022-08-30;2022-10-13;45;805.2964477539062
ML0302;0;2016-08-29;2016-10-06;39;238.11569213867188
ML0302;1;2018-08-19;2018-10-15;58;437.6109924316406
ML0302;2;2019-08-30;2019-10-20;52;329.5447998046875
ML0302;3;2020-09-02;2020-10-17;46;259.3599853515625
ML0302;4;2021-08-18;2021-09-29;43;328.5351867675781
ML0302;5;2022-09-02;2022-10-13;42;255.46095275878906
ML0303;0;2016-08-30;2016-10-03;35;605.5248413085938
ML0303;1;2018-08-20;2018-10-15;57;1033.29541015625
ML0303;2;2019-08-30;2019-10-18;50;816.7832641601562
ML0303;3;2020-08-31;2020-10-18;49;765.6368408203125
ML0303;4;2021-08-15;2021-10-04;51;834.036376953125
ML0303;5;2022-08-29;2022-10-11;44;801.1033325195312
ML0304;0;2016-08-13;2016-09-20;39;346.650390625
ML0304;1;2017-08-12;2017-08-13;2;141.56138610839844
ML0304;2;2017-08-24;2017-09-07;15;179.90997314453125
ML0304;3;2018-08-10;2018-10-08;60;469.5578308105469
ML0304;4;2019-08-26;2019-10-10;46;348.25592041015625
ML0304;5;2020-08-14;2020-10-12;60;682.2948608398438
ML0304;6;2021-08-13;2021-09-20;39;396.1767578125
ML0304;7;2022-09-02;2022-10-04;33;311.1466979980469
ML0305;0;2016-08-27;2016-10-05;40;771.4197998046875
ML0305;1;2018-08-20;2018-10-14;56;1124.6922607421875
ML0305;2;2019-08-30;2019-10-18;50;946.4669189453125
ML0305;3;2020-08-29;2020-10-18;51;972.6260375976562
ML0305;4;2021-08-14;2021-10-02;50;991.0563354492188
ML0305;5;2022-08-31;2022-10-11;42;805.2964477539062
ML0306;0;2016-09-18;2016-09-20;3;666.2706909179688
ML0306;1;2018-08-21;2018-10-13;54;1323.813232421875
ML0306;2;2019-08-21;2019-10-19;60;1223.018798828125
ML0306;3;2020-09-09;2020-10-18;40;1028.3302001953125
ML0306;4;2021-08-28;2021-10-04;38;1049.8504638671875
ML0306;5;2022-08-29;2022-10-07;40;892.345703125
ML0401;0;2018-09-04;2018-10-13;40;4430.1279296875
ML0401;1;2019-09-04;2019-10-15;42;4113.30224609375
ML0401;2;2020-09-07;2020-10-19;43;4374.4853515625
ML0401;3;2021-09-03;2021-10-05;33;4083.028076171875
ML0401;4;2022-09-13;2022-10-17;35;4143.05517578125
ML0402;0;2016-08-31;2016-10-07;38;1263.489990234375
ML0402;1;2018-08-24;2018-10-22;60;1990.9862060546875
ML0402;2;2019-08-30;2019-10-27;59;1616.6175537109375
ML0402;3;2020-08-30;2020-10-28;60;1780.1363525390625
ML0402;4;2021-08-18;2021-10-10;54;1677.2408447265625
ML0402;5;2022-09-08;2022-10-18;41;1717.14013671875
ML0403;0;2018-09-05;2018-10-15;41;4007.909912109375
ML0403;1;2019-09-03;2019-10-15;43;3848.783203125
ML0403;2;2020-09-07;2020-10-21;45;4262.99267578125
ML0403;3;2021-09-03;2021-10-07;35;3869.01904296875
ML0403;4;2022-09-12;2022-10-19;38;4033.91064453125
ML0404;0;2016-07-23;2016-09-06;46;130.1377410888672
ML0404;1;2017-08-11;2017-08-31;21;208.0987548828125
ML0404;2;2018-08-08;2018-09-21;45;264.07073974609375
ML0404;3;2019-07-30;2019-08-10;12;108.32332611083984
ML0404;4;2019-08-23;2019-09-24;33;368.35614013671875
ML0404;5;2020-07-18;2020-07-19;2;83.7405014038086
ML0404;6;2020-08-03;2020-09-26;55;489.3145446777344
ML0404;7;2021-08-02;2021-08-03;2;65.42018127441406
ML0404;8;2021-08-18;2021-08-22;5;95.4207534790039
ML0404;9;2022-09-01;2022-09-19;19;140.13021850585938
ML0405;0;2016-09-04;2016-10-12;39;1081.251220703125
ML0405;1;2018-08-25;2018-10-24;61;1749.2689208984375
ML0405;2;2019-09-02;2019-10-30;59;1580.62841796875
ML0405;3;2020-08-26;2020-10-30;66;1785.995849609375
ML0405;4;2021-08-20;2021-10-11;53;1450.435791015625
ML0405;5;2022-09-12;2022-10-21;40;1539.4149169921875
ML0406;0;2018-09-05;2018-10-13;39;4058.877685546875
ML0406;1;2019-09-04;2019-10-15;42;3965.72900390625
ML0406;2;2020-09-08;2020-10-20;43;4260.78125
ML0406;3;2021-09-03;2021-10-07;35;3902.540771484375
ML0406;4;2022-09-13;2022-10-18;36;4030.7548828125
ML0502;0;2016-07-23;2016-07-25;3;95.74793243408203
ML0502;1;2016-08-06;2016-09-06;32;190.96632385253906
ML0502;2;2017-08-12;2017-09-07;27;205.73912048339844
ML0502;3;2018-08-08;2018-09-20;44;279.7795715332031
ML0502;4;2019-08-25;2019-09-13;20;248.60647583007812
ML0502;5;2020-08-05;2020-09-21;48;273.48492431640625
ML0502;6;2021-08-21;2021-08-22;2;96.41203308105469
ML0502;7;2022-08-29;2022-09-27;30;195.78125
ML0503;0;2018-09-04;2018-10-20;47;3030.924560546875
ML0503;1;2019-09-04;2019-10-19;46;2989.339599609375
ML0503;2;2020-09-04;2020-10-27;54;3365.73583984375
ML0503;3;2021-09-04;2021-10-09;36;2930.096923828125
ML0503;4;2022-09-08;2022-10-22;45;2806.74658203125
ML0504;0;2016-07-23;2016-08-30;39;209.67877197265625
ML0504;1;2017-08-10;2017-09-07;29;220.52490234375
ML0504;2;2018-08-08;2018-09-13;37;347.6227111816406
ML0504;3;2019-08-10;2019-09-11;33;527.0840454101562
ML0504;4;2020-08-04;2020-09-08;36;327.8744201660156
ML0504;5;2022-08-06;2022-09-13;39;238.8166961669922
ML0505;0;2016-07-23;2016-07-25;3;67.71338653564453
ML0505;1;2016-08-06;2016-09-05;31;130.738037109375
ML0505;2;2017-08-10;2017-09-06;28;142.36781311035156
ML0505;3;2018-08-08;2018-09-19;43;185.32525634765625
ML0505;4;2019-08-24;2019-09-11;19;180.80230712890625
ML0505;5;2020-08-04;2020-09-20;48;207.71119689941406
ML0505;6;2021-08-21;2021-08-22;2;58.21089172363281
ML0505;7;2022-08-23;2022-09-13;22;143.67825317382812
ML0506;0;2018-09-12;2018-11-04;54;2792.575927734375
ML0506;1;2019-09-09;2019-11-12;65;2856.0751953125
ML0506;2;2020-09-10;2020-11-12;64;3133.935302734375
ML0506;3;2021-09-19;2021-10-18;30;2669.510009765625
ML0506;4;2022-09-19;2022-11-06;49;2813.081298828125
ML0507;0;2018-09-04;2018-10-18;45;3110.584228515625
ML0507;1;2019-09-03;2019-10-18;46;3010.012939453125
ML0507;2;2020-09-05;2020-10-26;52;3599.184326171875
ML0507;3;2021-09-03;2021-10-07;35;3081.8056640625
ML0507;4;2022-09-07;2022-10-21;45;2956.68603515625
ML0508;0;2018-09-13;2018-11-04;53;2792.575927734375
ML0508;1;2019-09-12;2019-11-14;64;2856.0751953125
ML0508;2;2020-09-11;2020-11-13;64;3046.50830078125
ML0508;3;2021-09-20;2021-10-19;30;2611.934814453125
ML0508;4;2022-09-19;2022-11-08;51;2787.54736328125
ML0601;0;2018-09-18;2018-12-06;80;2106.038330078125
ML0601;1;2019-09-23;2019-12-06;75;2144.678466796875
ML0601;2;2020-09-16;2020-12-16;92;2366.24169921875
ML0601;3;2022-10-04;2022-11-29;57;2120.0927734375
ML0602;0;2018-09-17;2018-12-04;79;2156.734375
ML0602;1;2019-09-20;2019-11-14;56;2199.12939453125
ML0602;2;2020-09-15;2020-12-09;86;2415.75439453125
ML0602;3;2022-09-30;2022-11-24;56;2185.30078125
ML0603;0;2018-09-24;2018-11-20;58;2039.216064453125
ML0603;1;2019-10-02;2019-12-15;75;2043.3951416015625
ML0603;2;2020-09-30;2020-12-17;79;2164.01953125
ML0603;3;2022-10-12;2022-12-02;52;2001.0439453125
ML0604;0;2018-09-16;2018-12-04;80;2175.046142578125
ML0604;1;2019-09-19;2019-11-18;61;2299.025634765625
ML0604;2;2020-09-15;2020-12-09;86;2485.452392578125
ML0604;3;2022-09-28;2022-11-26;60;2209.494140625
ML0605;0;2018-09-26;2018-11-20;56;2035.900146484375
ML0605;1;2019-10-06;2019-12-16;72;2040.5911865234375
ML0605;2;2020-10-01;2020-12-16;77;2122.216796875
ML0605;3;2022-10-14;2022-11-30;48;2001.0439453125
ML0701;0;2016-01-07;2016-01-24;18;1489.9327392578125
ML0701;1;2016-12-09;2016-12-20;12;1440.6527099609375
ML0701;2;2018-11-22;2019-01-19;59;1577.2137451171875
ML0701;3;2019-11-19;2020-01-24;67;1626.972900390625
ML0701;4;2020-11-16;2021-01-13;59;1588.08642578125
ML0701;5;2021-12-01;2021-12-27;27;1481.3441162109375
