identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2018-09-04;2018-09-24;21;1424.72509765625
ML0101;1;2019-08-31;2019-09-17;18;1348.0521240234375
ML0101;2;2020-09-06;2020-10-10;35;1732.9112548828125
ML0101;3;2022-09-22;2022-09-23;2;982.6009521484375
ML0102;0;2018-08-12;2018-08-13;2;276.0380859375
ML0102;1;2018-08-25;2018-09-18;25;432.99713134765625
ML0102;2;2019-08-25;2019-09-05;12;720.3877563476562
ML0102;3;2020-08-06;2020-08-08;3;240.49826049804688
ML0102;4;2020-08-28;2020-09-21;25;1158.6055908203125
ML0103;0;2018-09-05;2018-09-25;21;1492.15234375
ML0103;1;2019-08-28;2019-09-16;20;1421.9464111328125
ML0103;2;2020-09-07;2020-10-10;34;1747.106689453125
ML0104;0;2018-09-01;2018-09-17;17;1440.9989013671875
ML0104;1;2019-08-31;2019-09-15;16;1058.4261474609375
ML0104;2;2020-08-31;2020-09-23;24;1882.676025390625
ML0105;0;2018-09-01;2018-09-17;17;1340.6029052734375
ML0105;1;2019-08-31;2019-09-15;16;1050.439453125
ML0105;2;2020-08-31;2020-09-23;24;1595.85205078125
ML0107;0;2018-09-16;2018-09-18;3;356.1087341308594
ML0107;1;2019-08-27;2019-09-04;9;808.2073974609375
ML0107;2;2020-08-27;2020-09-15;20;1308.6627197265625
ML0201;0;2017-08-27;2017-08-28;2;24.471332550048828
ML0201;1;2018-09-12;2018-09-14;3;42.6520881652832
ML0201;2;2019-08-26;2019-09-04;10;142.6818084716797
ML0201;3;2020-08-06;2020-09-12;38;271.83892822265625
ML0202;0;2018-09-01;2018-09-29;29;1916.3975830078125
ML0202;1;2019-09-18;2019-09-24;7;1545.94775390625
ML0202;2;2020-09-12;2020-09-25;14;1758.8890380859375
ML0202;3;2021-09-04;2021-09-23;20;1677.2408447265625
ML0202;4;2022-09-26;2022-10-04;9;1627.509765625
ML0203;0;2018-09-06;2018-09-23;18;4809.5224609375
ML0203;1;2019-09-10;2019-10-02;23;4701.9501953125
ML0203;2;2020-09-13;2020-09-27;15;4771.26806640625
ML0203;3;2021-09-22;2021-09-25;4;4141.0234375
ML0203;4;2022-10-01;2022-10-05;5;4224.8466796875
ML0204;0;2018-09-06;2018-09-23;18;4810.232421875
ML0204;1;2019-09-10;2019-10-02;23;4701.9501953125
ML0204;2;2020-09-13;2020-09-28;16;4808.30615234375
ML0204;3;2021-09-22;2021-09-26;5;4141.0234375
ML0204;4;2022-09-23;2022-10-05;13;4417.50439453125
ML0205;0;2018-09-01;2018-09-15;15;257.5645751953125
ML0205;1;2019-08-26;2019-09-05;11;459.3033447265625
ML0205;2;2020-08-06;2020-08-08;3;195.67938232421875
ML0205;3;2020-08-27;2020-09-20;25;797.238037109375
