index;event_ID;admin_unit_NAME;admin_unit;flood_start;flood_end;duration
0;ML0204_0;KATI;ML0204;2018-09-13;2018-09-18;6
0;ML0301_0;BOUGOUNI;ML0301;2016-09-15;2016-09-24;10
1;ML0301_1;BOUGOUNI;ML0301;2018-09-03;2018-09-11;9
2;ML0301_2;BOUGOUNI;ML0301;2018-09-13;2018-10-08;26
0;ML0303_0;KOLONDIEBA;ML0303;2016-09-15;2016-09-24;10
1;ML0303_1;KOLONDIEBA;ML0303;2018-09-03;2018-09-11;9
0;ML0305_0;BIRAMABOUGOU;ML0305;2016-09-15;2016-09-24;10
1;ML0305_1;BIRAMABOUGOU;ML0305;2018-09-03;2018-09-11;9
0;ML0402_0;BLA;ML0402;2018-10-07;2018-10-10;4
0;ML0406_0;SEGOU;ML0406;2018-10-07;2018-10-10;4
0;ML0901_0;BAMAKO;ML0901;2018-09-13;2018-09-18;6
