event_ID;index;identifier;flood_start;flood_end;duration
Ansongo_0;0;Ansongo;2016-10-12;2017-02-12;124
Ansongo_1;1;Ansongo;2017-11-04;2017-12-28;55
Ansongo_2;2;Ansongo;2018-10-19;2018-12-30;73
Bafing Makana_0;0;Bafing Makana;2017-07-08;2017-07-09;2
Bamako_0;0;Bamako;2016-09-01;2016-10-11;41
Bamako_1;1;Bamako;2018-08-20;2018-10-21;63
Banankoro_0;0;Banankoro;2016-08-26;2016-10-14;50
Banankoro_1;1;Banankoro;2017-08-28;2017-09-17;21
Banankoro_2;2;Banankoro;2017-09-29;2017-09-30;2
Banankoro_3;3;Banankoro;2018-08-18;2018-10-24;68
Bougouni_0;0;Bougouni;2016-07-30;2016-08-03;5
Bougouni_1;1;Bougouni;2016-08-09;2016-10-08;61
Bougouni_2;2;Bougouni;2017-08-31;2017-09-09;10
Bougouni_3;3;Bougouni;2018-08-04;2018-08-13;10
Bougouni_4;4;Bougouni;2018-08-17;2018-08-18;2
Bougouni_5;5;Bougouni;2018-08-24;2018-10-23;61
Douna_0;0;Douna;2016-07-21;2016-11-15;118
Douna_1;1;Douna;2017-07-30;2017-10-31;94
Douna_2;2;Douna;2018-07-27;2018-11-27;124
Kayes_0;0;Kayes;2016-09-02;2016-09-06;5
Kayes_1;1;Kayes;2016-09-13;2016-09-18;6
Kayes_2;2;Kayes;2016-09-26;2016-10-02;7
Kayes_3;3;Kayes;2018-08-30;2018-09-14;16
Koulikoro_0;0;Koulikoro;2016-09-15;2016-10-10;26
Koulikoro_1;1;Koulikoro;2018-08-24;2018-08-29;6
Koulikoro_2;2;Koulikoro;2018-09-01;2018-10-20;50
Mopti_0;0;Mopti;2016-08-19;2016-11-13;87
Mopti_1;1;Mopti;2018-08-26;2018-11-27;94
Pankourou_0;0;Pankourou;2016-08-02;2016-10-22;82
Pankourou_1;1;Pankourou;2017-08-27;2017-09-16;21
Pankourou_2;2;Pankourou;2018-08-03;2018-09-11;40
Sofara_0;0;Sofara;2016-07-28;2016-11-10;106
Sofara_1;1;Sofara;2017-08-10;2017-09-28;50
Sofara_2;2;Sofara;2017-10-06;2017-10-17;12
Sofara_3;3;Sofara;2018-08-06;2018-11-25;112
