admin_unit;events;event;flood_start;flood_end;duration
BAMAKO;5;5;2013-09-08;2013-09-08;1
BAMAKO;6;6;2014-06-05;2014-06-05;1
BAMAKO;7;7;2016-08-01;2016-08-01;1
BAMAKO;8;8;2016-08-04;2016-08-04;1
BAMAKO;9;9;2017-07-18;2017-07-18;1
BAMAKO;10;10;2017-08-24;2017-08-24;1
BAMAKO;11;11;2017-10-07;2017-10-08;2
BAMAKO;12;12;2017-11-30;2017-11-30;1
BAMAKO;13;13;2018-09-19;2018-09-19;1
BAMAKO;14;14;2019-05-16;2019-05-17;2
BAMAKO;15;15;2022-06-17;2022-06-18;2
BAMAKO;16;16;2022-08-12;2022-08-13;2
BAMAKO;17;17;2022-08-12;2022-08-13;2
BAMAKO;18;18;2022-08-12;2022-08-13;2
BAMAKO;19;19;2022-08-12;2022-08-13;2
BANAMBA;0;0;2007-08-06;2007-08-06;1
BANAMBA;1;1;2007-08-31;2007-08-31;1
BANAMBA;2;2;2007-08-31;2007-08-31;1
BANAMBA;3;3;2009-09-02;2009-09-02;1
BANAMBA;4;4;2009-09-02;2009-09-02;1
BANAMBA;5;5;2010-07-01;2010-07-01;1
BANAMBA;6;6;2010-07-02;2010-07-02;1
BANAMBA;7;7;2010-08-24;2010-08-24;1
BANAMBA;8;8;2012-05-14;2012-05-14;1
BANAMBA;9;9;2012-05-14;2012-05-14;1
BANAMBA;10;10;2014-06-22;2014-06-22;1
BANDIAGAR;0;0;2007-07-04;2007-07-18;15
BANDIAGAR;1;1;2007-07-04;2007-07-04;1
BANDIAGAR;2;2;2007-07-04;2007-07-04;1
BANDIAGAR;3;3;2007-07-04;2007-07-04;1
BANDIAGAR;4;4;2010-08-12;2010-08-12;1
BANDIAGAR;5;5;2013-08-26;2013-08-26;1
BANDIAGAR;6;6;2013-09-26;2013-09-26;1
BANDIAGARA;0;0;2022-08-24;2022-08-25;2
BANDIAGARA;1;1;2022-09-06;2022-09-07;2
BANDIAGARA;2;2;2022-09-06;2022-09-07;2
BANDIAGARA;3;3;2022-09-23;2022-09-24;2
BANKASS;0;0;2010-08-01;2010-08-01;1
BANKASS;1;1;2010-08-13;2010-08-13;1
BARAOUELI;0;0;1995-08-10;1995-08-10;1
BARAOUELI;1;1;1999-08-10;1999-08-10;1
BARAOUELI;2;2;1999-08-10;1999-08-10;1
BARAOUELI;3;3;1999-08-11;1999-08-11;1
BARAOUELI;4;4;1999-08-11;1999-08-11;1
BARAOUELI;5;5;1999-08-14;1999-08-14;1
BARAOUELI;6;6;2007-08-28;2007-08-28;1
BARAOUELI;7;7;2010-07-08;2010-07-08;1
BARAOUELI;8;8;2010-07-23;2010-07-23;1
BARAOUELI;9;9;2010-07-23;2010-07-23;1
BARAOUELI;10;10;2010-08-13;2010-08-13;1
BARAOUELI;11;11;2010-08-14;2010-08-14;1
BARAOUELI;12;12;2010-08-15;2010-08-15;1
BARAOUELI;13;13;2010-08-21;2010-08-21;1
BARAOUELI;14;14;2010-08-23;2010-08-23;1
BARAOUELI;15;15;2010-09-01;2010-09-01;1
BARAOUELI;16;16;2010-09-01;2010-09-01;1
BARAOUELI;17;17;2010-09-15;2010-09-15;1
BARAOUELI;18;18;2012-08-14;2012-08-14;1
BARAOUELI;19;19;2012-08-14;2012-08-14;1
BARAOUELI;20;20;2012-08-24;2012-08-24;1
BARAOUELI;21;21;2012-09-03;2012-09-03;1
BAROUELI;0;0;2022-09-15;2022-09-16;2
BIRAMABOUGOU;0;0;2019-08-07;2019-08-07;1
BLA;0;0;1999-07-12;1999-07-12;1
BLA;1;1;2006-08-11;2006-08-11;1
BLA;2;2;2007-07-22;2007-07-23;2
BLA;3;3;2008-07-19;2008-07-19;1
BLA;4;4;2008-08-19;2008-08-19;1
BLA;5;5;2009-07-25;2009-07-25;1
BLA;6;6;2009-09-07;2009-09-07;1
BLA;7;7;2009-09-07;2009-09-07;1
BLA;8;8;2009-09-07;2009-09-07;1
BLA;9;9;2009-09-07;2009-09-07;1
BLA;10;10;2009-09-07;2009-09-07;1
BLA;11;11;2010-08-08;2010-08-08;1
BLA;12;12;2010-09-15;2010-09-15;1
BLA;13;13;2010-09-16;2010-09-16;1
BLA;14;14;2010-09-17;2010-09-17;1
BLA;15;15;2010-09-17;2010-09-17;1
BLA;16;16;2010-09-20;2010-09-20;1
BLA;17;17;2010-09-20;2010-09-20;1
BLA;18;18;2010-09-24;2010-09-24;1
BLA;19;19;2012-08-19;2012-08-19;1
BLA;20;20;2012-08-19;2012-08-19;1
BLA;21;21;2012-08-19;2012-08-19;1
BLA;22;22;2012-08-19;2012-08-19;1
BLA;23;23;2012-08-19;2012-08-19;1
BLA;24;24;2012-08-19;2012-08-19;1
BLA;25;25;2016-07-20;2016-07-20;1
BLA;26;26;2017-08-11;2017-08-11;1
BLA;27;27;2017-08-24;2017-08-24;1
BLA;28;28;2017-08-24;2017-08-24;1
BLA;29;29;2017-11-08;2017-11-09;2
BLA;30;30;2017-11-08;2017-11-09;2
BLA;31;31;2022-09-15;2022-09-16;2
BOUGOUNI;0;0;1999-08-06;1999-08-06;1
BOUGOUNI;1;1;1999-08-11;1999-08-11;1
BOUGOUNI;2;2;2007-09-08;2007-09-08;1
BOUGOUNI;3;3;2010-09-09;2010-09-09;1
BOUGOUNI;4;4;2010-09-09;2010-09-09;1
BOUGOUNI;5;5;2012-07-23;2012-07-23;1
BOUGOUNI;6;6;2012-09-14;2012-09-14;1
BOUGOUNI;7;7;2017-07-24;2017-07-25;2
BOUGOUNI;8;8;2022-08-04;2022-08-05;2
BOUREM;0;0;2009-08-05;2009-08-05;1
BOUREM;1;1;2011-07-18;2011-07-18;1
BOUREM;2;2;2019-08-07;2019-08-07;1
BOUREM;3;3;2022-08-09;2022-08-10;2
BOUREM;4;4;2022-08-24;2022-08-25;2
BOUREM;5;5;2022-08-24;2022-08-25;2
DIEMA;0;0;2012-07-22;2012-07-22;1
DIEMA;1;1;2012-07-25;2012-07-25;1
DIEMA;2;2;2012-07-25;2012-07-25;1
DIOILA;0;0;1994-08-05;1994-08-05;1
DIOILA;1;1;2007-08-31;2007-08-31;1
DIOILA;2;2;2007-08-31;2007-08-31;1
DIOILA;3;3;2010-05-07;2010-05-07;1
DIOILA;4;4;2010-07-09;2010-07-09;1
DIOILA;5;5;2010-07-19;2010-07-19;1
DIOILA;6;6;2010-07-19;2010-07-19;1
DIOILA;7;7;2010-07-23;2010-07-23;1
DIOILA;8;8;2011-08-22;2011-08-22;1
DIOILA;9;9;2011-08-22;2011-08-22;1
DIOILA;10;10;2017-05-14;2017-05-14;1
DIOILA;11;11;2017-08-14;2017-08-15;2
DIOILA;12;12;2022-06-17;2022-06-18;2
DIOILA;13;13;2022-06-29;2022-06-30;2
DIOILA;14;14;2022-07-17;2022-07-18;2
DIOILA;15;15;2022-09-01;2022-09-02;2
DIOILA;16;16;2022-09-01;2022-09-02;2
DIOLA;0;0;2017-05-14;2017-05-15;2
DIRE;0;0;1999-08-21;1999-08-21;1
