admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2020-09-12;2020-09-19;8;1648.3468017578125
ML0102;0;2019-08-28;2019-09-03;7;575.0805053710938
ML0102;1;2020-09-03;2020-09-15;13;1002.2590942382812
ML0103;0;2020-09-12;2020-09-23;12;1710.10302734375
ML0104;0;2020-09-12;2020-09-15;4;1098.388671875
ML0107;0;2019-08-27;2019-08-31;5;808.2073974609375
ML0107;1;2020-09-08;2020-09-09;2;618.3807983398438
ML0201;0;2020-09-07;2020-09-09;3;78.1435775756836
ML0205;0;2020-09-07;2020-09-10;4;294.8269958496094
ML0207;0;2019-08-26;2019-09-02;8;628.647216796875
ML0207;1;2020-09-07;2020-09-09;3;252.0381317138672
ML0301;0;2018-09-11;2018-09-19;9;1124.6922607421875
ML0302;0;2018-09-01;2018-09-19;19;437.6109924316406
ML0303;0;2018-09-11;2018-09-19;9;1033.29541015625
ML0304;0;2020-09-09;2020-09-10;2;400.0948181152344
ML0306;0;2018-09-03;2018-09-21;19;1323.813232421875
ML0404;0;2019-08-26;2019-08-28;3;318.25494384765625
ML0404;1;2020-09-06;2020-09-09;4;234.2656707763672
ML0503;0;2020-09-17;2020-09-28;12;3365.73583984375
ML0504;0;2019-08-26;2019-08-29;4;272.65008544921875
ML0507;0;2020-09-18;2020-09-26;9;3510.185302734375
