admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0103;1;2019-08-28;2019-09-16;20;1482.45703125
ML0202;4;2022-09-26;2022-10-05;10;1602.0916748046875
ML0203;1;2019-09-12;2019-09-30;19;4656.04296875
ML0204;4;2022-09-23;2022-10-05;13;4380.55810546875
ML0205;0;2019-08-31;2019-09-02;3;146.10865783691406
ML0206;1;2019-09-12;2019-09-30;19;4606.4501953125
ML0301;4;2022-09-06;2022-09-23;18;803.840576171875
ML0302;1;2019-09-16;2019-09-25;10;284.8668212890625
ML0305;0;2018-08-26;2018-09-27;33;1107.9990234375
ML0305;1;2019-09-18;2019-09-23;6;804.0422973632812
ML0401;3;2022-09-27;2022-10-08;12;4129.505859375
ML0402;4;2022-09-19;2022-10-08;20;1693.3599853515625
ML0405;4;2022-09-25;2022-10-09;15;1506.64111328125
ML0406;4;2022-09-25;2022-10-09;15;3987.857666015625
ML0503;4;2022-09-24;2022-10-09;16;2817.923583984375
ML0506;3;2022-10-04;2022-10-24;21;2801.966796875
ML0601;0;2019-10-07;2019-10-30;24;2136.184814453125
ML0602;4;2022-10-09;2022-10-27;19;2179.364501953125
ML0603;3;2022-10-21;2022-10-22;2;1986.5274658203125
ML0604;2;2019-09-24;2019-11-02;40;2302.57080078125
ML0604;4;2022-10-05;2022-10-27;23;2204.2890625
ML0605;1;2019-10-09;2019-11-04;27;2040.532470703125
ML0701;2;2019-12-06;2020-01-08;34;1629.072998046875
ML0702;0;2019-10-15;2019-12-04;51;2009.758056640625
ML0702;2;2022-11-13;2022-11-21;9;1936.3565673828125
ML0703;0;2019-11-25;2019-12-27;33;1765.1094970703125
ML0901;0;2018-09-07;2018-09-23;17;4707.1630859375
ML0901;1;2019-09-11;2019-09-29;19;4543.52001953125
ML0901;4;2022-09-23;2022-09-28;6;4278.158203125
