identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2018-09-05;2018-09-23;19;1445.9169921875
ML0101;1;2019-08-30;2019-09-15;17;1323.472900390625
ML0101;2;2020-09-05;2020-10-06;32;1739.990234375
ML0102;0;2018-08-20;2018-08-24;5;399.1966857910156
ML0102;1;2018-09-12;2018-09-16;5;474.87408447265625
ML0102;2;2019-08-26;2019-09-05;11;748.8421020507812
ML0102;3;2020-08-30;2020-09-17;19;879.98779296875
ML0103;0;2018-09-05;2018-09-26;22;1486.42138671875
ML0103;1;2019-08-29;2019-09-16;19;1370.807373046875
ML0103;2;2020-09-03;2020-10-11;39;1681.0198974609375
ML0104;0;2018-09-01;2018-09-15;15;1653.940185546875
ML0104;1;2019-08-27;2019-09-10;15;1767.66796875
ML0104;2;2020-09-05;2020-09-19;15;1901.860595703125
ML0105;0;2018-09-07;2018-09-14;8;1229.11181640625
ML0105;1;2020-09-06;2020-09-17;12;1350.30126953125
ML0105;2;2021-08-20;2021-08-21;2;1256.238525390625
ML0107;0;2020-08-27;2020-09-12;17;1388.7294921875
ML0201;0;2019-08-26;2019-08-31;6;271.4717102050781
ML0201;1;2020-08-29;2020-09-12;15;386.15960693359375
ML0202;0;2018-08-29;2018-10-05;38;1939.9949951171875
ML0202;1;2019-09-13;2019-09-23;11;1566.3271484375
ML0202;2;2020-09-10;2020-09-24;15;1710.6053466796875
ML0202;3;2020-10-10;2020-10-12;3;1523.0391845703125
ML0202;4;2021-09-03;2021-09-24;22;1655.3411865234375
ML0202;5;2022-09-14;2022-10-03;20;1629.5098876953125
ML0203;0;2018-09-09;2018-09-23;15;4944.44189453125
ML0203;1;2019-09-08;2019-10-01;24;4880.91259765625
ML0203;2;2020-09-12;2020-09-27;16;4810.14697265625
ML0203;3;2021-09-20;2021-09-24;5;4537.4404296875
ML0203;4;2022-09-29;2022-10-02;4;4505.36767578125
ML0204;0;2018-09-09;2018-09-23;15;4944.44189453125
ML0204;1;2019-09-08;2019-10-01;24;4880.91259765625
ML0204;2;2020-09-12;2020-09-27;16;4811.23828125
ML0204;3;2021-09-20;2021-09-25;6;4558.56396484375
ML0204;4;2022-09-26;2022-10-04;9;4544.41357421875
ML0205;0;2019-08-26;2019-08-27;2;503.833251953125
ML0205;1;2020-09-02;2020-09-12;11;552.4307250976562
ML0206;0;2018-09-10;2018-09-22;13;4656.59228515625
ML0206;1;2019-09-09;2019-10-01;23;4660.75146484375
ML0206;2;2020-09-13;2020-09-28;16;4807.88671875
ML0206;3;2021-09-19;2021-09-27;9;4491.86181640625
ML0206;4;2022-09-25;2022-10-05;11;4536.6826171875
ML0207;0;2019-08-26;2019-09-01;7;769.6194458007812
ML0207;1;2020-08-30;2020-09-12;14;708.7898559570312
ML0301;0;2018-08-24;2018-10-04;42;1128.89794921875
ML0301;1;2019-09-12;2019-09-27;16;866.384765625
ML0301;2;2020-09-09;2020-09-16;8;780.9882202148438
ML0301;3;2021-08-30;2021-09-23;25;821.049072265625
ML0301;4;2022-09-06;2022-09-18;13;745.1390991210938
ML0302;0;2018-08-21;2018-09-30;41;442.103515625
ML0302;1;2019-09-10;2019-09-29;20;330.10284423828125
ML0302;2;2021-08-31;2021-09-21;22;319.0112609863281
ML0303;0;2018-08-24;2018-10-04;42;1013.3282470703125
ML0303;1;2019-09-12;2019-09-28;17;798.841552734375
ML0303;2;2020-09-11;2020-09-16;6;737.35498046875
ML0303;3;2021-08-30;2021-09-22;24;758.8265380859375
ML0303;4;2022-09-06;2022-09-19;14;745.1390991210938
ML0304;0;2018-08-31;2018-09-14;15;562.2042846679688
ML0304;1;2020-08-27;2020-09-15;20;636.0226440429688
ML0304;2;2021-08-12;2021-08-16;5;454.9525146484375
ML0305;0;2018-08-24;2018-10-01;39;1128.89794921875
ML0305;1;2019-09-12;2019-09-27;16;936.70703125
ML0305;2;2020-09-09;2020-09-23;15;950.5014038085938
ML0305;3;2021-08-30;2021-09-23;25;942.932373046875
ML0306;0;2018-08-25;2018-10-01;38;1415.508056640625
ML0306;1;2019-08-31;2019-09-30;31;1191.1640625
ML0306;2;2020-09-13;2020-09-18;6;1054.0677490234375
ML0306;3;2021-09-02;2021-09-08;7;1055.64990234375
ML0401;0;2018-09-09;2018-09-21;13;4410.97021484375
ML0401;1;2019-09-13;2019-09-29;17;4100.22412109375
ML0401;2;2020-09-11;2020-09-30;20;4338.744140625
ML0401;3;2021-09-21;2021-09-24;4;4080.400146484375
ML0401;4;2022-09-30;2022-10-07;8;4242.0302734375
ML0402;0;2018-09-01;2018-10-11;41;2039.949951171875
ML0402;1;2019-09-14;2019-10-01;18;1644.2138671875
ML0402;2;2020-09-10;2020-10-19;40;1843.18896484375
ML0402;3;2021-09-03;2021-09-25;23;1655.3411865234375
ML0402;4;2022-09-14;2022-10-09;26;1732.5164794921875
ML0403;0;2018-09-15;2018-09-23;9;3990.948974609375
ML0403;1;2019-09-13;2019-09-30;18;3893.73046875
ML0403;2;2020-09-11;2020-10-01;21;4193.5595703125
ML0403;3;2021-09-19;2021-09-25;7;3865.779052734375
ML0403;4;2022-09-22;2022-10-08;17;4028.6328125
ML0404;0;2019-08-25;2019-09-11;18;566.0518188476562
ML0404;1;2020-08-27;2020-09-14;19;515.9025268554688
ML0405;0;2018-09-09;2018-10-17;39;1795.8270263671875
ML0405;1;2019-09-10;2019-10-13;34;1518.3460693359375
ML0405;2;2020-09-07;2020-10-24;48;1844.4476318359375
ML0405;3;2021-09-15;2021-10-01;17;1498.7376708984375
ML0405;4;2022-09-22;2022-10-09;18;1564.145263671875
ML0406;0;2018-09-15;2018-09-22;8;4099.58154296875
ML0406;1;2019-09-10;2019-09-30;21;3938.96435546875
ML0406;2;2020-09-12;2020-10-01;20;4229.435546875
ML0406;3;2021-09-19;2021-09-25;7;3923.976806640625
ML0406;4;2022-09-24;2022-10-07;14;4027.332763671875
ML0502;0;2018-08-08;2018-08-17;10;316.0685729980469
ML0502;1;2018-09-01;2018-09-04;4;292.0769348144531
ML0502;2;2020-09-09;2020-09-11;3;294.8813781738281
ML0503;0;2018-09-12;2018-10-08;27;3019.3203125
ML0503;1;2019-09-13;2019-10-03;21;2913.2333984375
ML0503;2;2020-09-09;2020-10-18;40;3417.84228515625
ML0503;3;2021-09-19;2021-09-27;9;2975.827880859375
ML0503;4;2022-09-25;2022-10-05;11;2787.035400390625
ML0504;0;2018-08-08;2018-08-16;9;421.3664245605469
ML0504;1;2019-08-24;2019-08-31;8;438.2337646484375
ML0505;0;2018-08-08;2018-08-16;9;224.80735778808594
ML0505;1;2020-09-09;2020-09-10;2;194.08831787109375
