admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0306;3;2019-08-02;2019-11-10;101;1217.8380126953125
ML0306;4;2020-07-31;2020-10-31;93;1043.8992919921875
ML0306;5;2021-08-03;2021-11-04;94;1009.3576049804688
ML0306;6;2022-08-09;2022-10-31;84;918.6024780273438
ML0307;0;2016-08-29;2016-09-02;5;27.34477424621582
ML0307;1;2017-08-24;2017-08-29;6;17.41550064086914
ML0307;2;2018-08-11;2018-08-12;2;27.216651916503906
ML0307;3;2018-08-19;2018-08-21;3;35.30735397338867
ML0307;4;2018-08-26;2018-09-18;24;52.55590057373047
ML0307;5;2019-08-26;2019-09-04;10;40.05155563354492
ML0307;6;2020-08-11;2020-08-14;4;24.970895767211914
ML0307;7;2020-08-26;2020-09-21;27;80.08912658691406
ML0307;8;2021-08-14;2021-08-24;11;41.35361862182617
ML0307;9;2021-08-29;2021-08-30;2;17.406173706054688
ML0307;10;2022-08-30;2022-09-03;5;18.060218811035156
ML0307;11;2022-09-21;2022-09-24;4;15.59660816192627
ML0401;0;2016-08-15;2016-10-29;76;2830.5361328125
ML0401;1;2017-08-05;2017-10-23;80;2832.54931640625
ML0401;2;2018-08-06;2018-11-06;93;4344.501953125
ML0401;3;2019-08-12;2019-11-13;94;4102.6591796875
ML0401;4;2020-08-04;2020-11-09;98;4364.37109375
ML0401;5;2021-08-08;2021-11-15;100;4069.509033203125
ML0401;6;2022-08-18;2022-11-14;89;4129.505859375
ML0402;0;2016-08-21;2016-10-15;56;1265.17333984375
ML0402;1;2017-08-30;2017-09-19;21;992.0660400390625
ML0402;2;2017-09-28;2017-10-05;8;863.0560302734375
ML0402;3;2018-08-19;2018-10-28;71;1981.27978515625
ML0402;4;2019-08-28;2019-11-04;69;1625.285888671875
ML0402;5;2020-08-23;2020-11-04;74;1795.06591796875
ML0402;6;2021-08-12;2021-10-17;67;1686.0093994140625
ML0402;7;2022-09-03;2022-10-25;53;1693.3599853515625
ML0403;0;2016-07-28;2016-11-11;107;2445.71923828125
ML0403;1;2017-07-22;2017-10-30;101;2402.214599609375
ML0403;2;2018-07-28;2018-11-16;112;4000.780029296875
ML0403;3;2019-08-03;2019-11-23;113;3822.24951171875
ML0403;4;2020-07-29;2020-11-17;112;4139.537109375
ML0403;5;2021-08-01;2021-11-24;116;3857.629150390625
ML0403;6;2022-08-09;2022-11-24;108;3992.690673828125
ML0404;0;2016-07-24;2016-07-27;4;92.31796264648438
ML0404;1;2016-08-14;2016-08-22;9;120.20125579833984
ML0404;2;2016-08-30;2016-09-06;8;102.00479125976562
ML0404;3;2017-08-12;2017-08-14;3;67.49745178222656
ML0404;4;2017-08-23;2017-09-01;10;147.5603485107422
ML0404;5;2018-08-09;2018-09-21;44;232.3623809814453
ML0404;6;2019-08-23;2019-09-24;33;387.14434814453125
ML0404;7;2020-07-19;2020-07-22;4;110.17088317871094
ML0404;8;2020-07-27;2020-07-28;2;118.95121002197266
ML0404;9;2020-08-04;2020-09-26;54;437.5732421875
ML0404;10;2021-08-18;2021-08-23;6;81.80540466308594
ML0404;11;2022-09-02;2022-09-20;19;133.83700561523438
ML0405;0;2016-07-27;2016-07-28;2;330.66900634765625
ML0405;1;2016-08-04;2016-11-05;94;1071.6177978515625
ML0405;2;2017-08-05;2017-10-26;83;784.2901000976562
ML0405;3;2018-08-01;2018-11-23;115;1743.435546875
ML0405;4;2019-08-10;2019-11-24;107;1571.9263916015625
ML0405;5;2020-07-30;2020-11-24;118;1777.4791259765625
ML0405;6;2021-08-01;2021-11-13;105;1437.7752685546875
ML0405;7;2022-08-21;2022-11-15;87;1544.0941162109375
ML0406;0;2016-07-28;2016-11-12;108;2550.008056640625
ML0406;1;2017-07-24;2017-10-30;99;2552.225830078125
ML0406;2;2018-07-26;2018-11-16;114;4069.47412109375
ML0406;3;2019-08-03;2019-11-24;114;3965.09228515625
ML0406;4;2020-07-28;2020-11-17;113;4193.87255859375
ML0406;5;2021-08-02;2021-11-25;116;3900.4267578125
ML0406;6;2022-08-09;2022-11-25;109;3987.857666015625
ML0407;0;2016-08-30;2016-09-01;3;33.24280548095703
ML0407;1;2017-08-24;2017-08-29;6;35.74203109741211
ML0407;2;2018-08-11;2018-08-12;2;39.322113037109375
ML0407;3;2018-08-18;2018-08-21;4;41.06956481933594
ML0407;4;2018-08-28;2018-09-18;22;66.85978698730469
ML0407;5;2019-08-26;2019-09-04;10;46.117431640625
ML0407;6;2020-08-12;2020-08-15;4;41.45743942260742
ML0407;7;2020-08-22;2020-09-20;30;120.74613189697266
ML0407;8;2021-08-16;2021-08-24;9;36.87709045410156
ML0407;9;2022-08-21;2022-08-22;2;37.099971771240234
ML0407;10;2022-08-29;2022-09-05;8;48.50374221801758
ML0407;11;2022-09-11;2022-09-24;14;49.950199127197266
ML0501;0;2016-08-17;2016-08-19;3;11.141901016235352
ML0501;1;2016-08-30;2016-08-31;2;14.956880569458008
ML0501;2;2017-08-24;2017-08-25;2;13.448125839233398
ML0501;3;2018-08-11;2018-08-22;12;42.4754753112793
ML0501;4;2018-09-01;2018-09-02;2;13.34553050994873
ML0501;5;2019-08-25;2019-09-03;10;29.125885009765625
ML0501;6;2020-08-05;2020-08-15;11;95.06690216064453
ML0501;7;2020-08-26;2020-09-09;15;38.11334228515625
ML0502;0;2016-07-19;2016-09-13;57;183.37599182128906
ML0502;1;2017-06-28;2017-07-01;4;43.55170440673828
ML0502;2;2017-07-16;2017-09-13;60;209.77288818359375
ML0502;3;2017-09-24;2017-09-26;3;29.544279098510742
ML0502;4;2018-08-05;2018-09-25;52;263.9053649902344
ML0502;5;2019-07-31;2019-09-22;54;464.95880126953125
ML0502;6;2020-07-17;2020-09-25;71;296.05926513671875
ML0502;7;2021-08-01;2021-09-08;39;130.9792022705078
ML0502;8;2022-07-31;2022-10-05;67;196.60838317871094
ML0503;0;2016-08-05;2016-11-09;97;1999.8043212890625
ML0503;1;2017-07-28;2017-10-23;88;1907.0765380859375
ML0503;2;2018-08-04;2018-11-14;103;3024.670166015625
ML0503;3;2019-08-08;2019-11-19;104;2948.265380859375
ML0503;4;2020-07-31;2020-11-14;107;3388.788330078125
ML0503;5;2021-08-04;2021-11-23;112;2945.511474609375
ML0503;6;2022-08-15;2022-11-18;96;2817.923583984375
ML0504;0;2016-07-19;2016-09-13;57;194.70889282226562
ML0504;1;2017-06-22;2017-06-30;9;93.17193603515625
ML0504;2;2017-07-16;2017-09-14;61;242.7252197265625
ML0504;3;2017-09-24;2017-09-28;5;48.090492248535156
ML0504;4;2018-08-04;2018-09-21;49;361.75885009765625
ML0504;5;2019-07-23;2019-07-27;5;104.2020034790039
ML0504;6;2019-08-05;2019-09-19;46;553.584228515625
ML0504;7;2020-07-19;2020-09-25;69;349.0434875488281
ML0504;8;2021-07-29;2021-08-24;27;100.9713134765625
ML0504;9;2022-07-26;2022-10-05;72;215.5251007080078
ML0505;0;2016-07-21;2016-07-30;10;80.50138092041016
ML0505;1;2016-08-05;2016-09-07;34;122.86869049072266
ML0505;2;2017-07-27;2017-07-29;3;62.852664947509766
ML0505;3;2017-08-10;2017-09-08;30;165.34214782714844
ML0505;4;2018-08-08;2018-09-20;44;175.46400451660156
ML0505;5;2019-08-11;2019-09-14;35;344.13226318359375
ML0505;6;2020-07-19;2020-07-20;2;51.38906478881836
ML0505;7;2020-08-04;2020-09-22;50;217.3766632080078
ML0505;8;2021-08-14;2021-08-25;12;84.3545913696289
ML0505;9;2022-08-08;2022-08-09;2;65.6080551147461
ML0505;10;2022-08-14;2022-09-27;45;142.62327575683594
ML0506;0;2016-09-05;2016-11-05;62;2059.5537109375
ML0506;1;2017-09-01;2017-10-29;59;2063.1025390625
ML0506;2;2018-08-27;2018-11-24;90;2785.974853515625
ML0506;3;2019-08-31;2019-12-01;93;2842.56005859375
ML0506;4;2020-08-26;2020-12-01;98;3085.1826171875
ML0506;5;2021-08-24;2021-11-24;93;2652.342529296875
ML0506;6;2022-09-02;2022-11-26;86;2801.966796875
ML0507;0;2016-07-20;2016-12-03;137;2076.155517578125
ML0507;1;2017-07-07;2017-11-21;138;1913.01025390625
ML0507;2;2018-07-17;2018-12-10;147;3113.3330078125
ML0507;3;2019-07-22;2019-12-11;143;2998.9833984375
ML0507;4;2020-07-18;2020-12-09;145;3579.93505859375
ML0507;5;2021-07-21;2021-12-19;152;3052.386474609375
ML0507;6;2022-07-26;2022-12-19;147;2968.1630859375
ML0508;0;2016-01-08;2016-02-12;36;1255.6640625
ML0508;1;2016-08-05;2017-01-15;164;2046.008544921875
ML0508;2;2017-07-31;2018-01-14;168;2063.1025390625
ML0508;3;2018-07-31;2019-02-01;186;2785.238037109375
ML0508;4;2019-08-08;2020-02-06;183;2834.250732421875
ML0508;5;2020-08-02;2021-01-31;183;3041.39697265625
ML0508;6;2021-08-04;2022-02-02;183;2596.56591796875
ML0508;7;2022-08-15;2023-02-02;172;2779.69580078125
ML0601;0;2016-01-08;2016-01-31;24;1507.1640625
ML0601;1;2016-09-07;2017-01-07;123;1745.7841796875
ML0601;2;2017-09-02;2017-12-27;117;1734.95361328125
ML0601;3;2018-08-29;2019-01-25;150;2096.137939453125
ML0601;4;2019-09-02;2020-01-28;149;2136.184814453125
ML0601;5;2020-08-31;2021-01-25;148;2371.183349609375
ML0601;6;2021-08-30;2022-01-20;144;1882.9815673828125
ML0601;7;2022-09-11;2023-01-28;140;2116.031005859375
ML0602;0;2016-01-08;2016-05-05;119;1348.6448974609375
ML0602;1;2016-06-21;2017-04-04;288;1715.6429443359375
ML0602;2;2017-06-07;2018-03-31;298;1738.8623046875
ML0602;3;2018-06-28;2019-04-25;302;2161.840087890625
ML0602;4;2019-06-30;2020-05-03;309;2190.707275390625
ML0602;5;2020-06-17;2021-04-26;314;2421.331298828125
ML0602;6;2021-06-26;2022-04-30;309;1926.8043212890625
ML0602;7;2022-07-05;2023-04-21;291;2179.364501953125
ML0602;8;2023-06-09;2023-07-07;29;237.78208923339844
ML0603;0;2016-01-08;2016-03-09;62;1535.392822265625
ML0603;1;2016-08-02;2017-02-23;206;1738.408203125
ML0603;2;2017-07-26;2018-02-01;191;1706.5672607421875
ML0603;3;2018-07-30;2019-03-01;215;2048.325439453125
ML0603;4;2019-08-06;2020-03-03;211;2043.7623291015625
ML0603;5;2020-08-02;2021-03-01;212;2160.95654296875
ML0603;6;2021-08-04;2022-02-26;207;1819.5211181640625
ML0603;7;2022-08-18;2023-03-04;199;2008.2532958984375
ML0604;0;2016-01-08;2016-02-14;38;1356.9981689453125
ML0604;1;2016-08-14;2017-01-18;158;1716.7420654296875
ML0604;2;2017-08-11;2018-01-12;155;1754.3841552734375
ML0604;3;2018-08-09;2019-01-31;176;2181.591552734375
ML0604;4;2019-08-18;2020-02-04;171;2302.57080078125
ML0604;5;2020-08-10;2021-01-27;171;2492.08544921875
ML0604;6;2021-08-14;2022-01-29;169;1945.5413818359375
ML0604;7;2022-08-26;2023-01-30;158;2204.2890625
ML0605;0;2016-01-08;2016-04-01;85;1535.392822265625
ML0605;1;2016-07-16;2017-03-16;244;1730.1453857421875
ML0605;2;2017-07-05;2018-03-03;242;1705.3067626953125
ML0605;3;2018-07-15;2019-03-24;253;2045.9774169921875
ML0605;4;2019-07-20;2020-03-27;252;2040.532470703125
ML0605;5;2020-07-16;2021-03-28;256;2118.059814453125
ML0605;6;2021-07-21;2022-03-24;247;1814.5628662109375
ML0605;7;2022-07-26;2023-03-25;243;2002.09521484375
ML0701;0;2016-01-08;2016-03-23;76;1476.3486328125
ML0701;1;2016-08-01;2017-03-07;219;1438.9189453125
ML0701;2;2017-07-28;2018-02-21;209;1360.3524169921875
ML0701;3;2018-07-31;2019-03-19;232;1574.4222412109375
ML0701;4;2019-08-06;2020-03-20;228;1629.072998046875
ML0701;5;2020-08-02;2021-03-18;229;1587.1861572265625
ML0701;6;2021-08-03;2022-03-17;227;1479.318603515625
ML0701;7;2022-08-12;2023-03-15;216;1552.8421630859375
ML0702;0;2016-01-08;2016-02-27;51;1555.28369140625
ML0702;1;2016-08-17;2017-02-09;177;1611.8394775390625
ML0702;2;2017-08-12;2018-01-26;168;1688.2532958984375
ML0702;3;2018-08-15;2019-03-01;199;1920.2039794921875
ML0702;4;2019-08-21;2020-03-03;196;2009.758056640625
ML0702;5;2020-08-15;2021-03-02;200;2075.5244140625
ML0702;6;2021-08-16;2022-02-24;193;1773.5147705078125
ML0702;7;2022-08-29;2023-02-27;183;1945.3040771484375
ML0703;0;2016-01-08;2016-03-22;75;1549.2742919921875
ML0703;1;2016-08-03;2017-03-08;218;1426.335205078125
ML0703;2;2017-07-28;2018-02-21;209;1388.274169921875
ML0703;3;2018-07-31;2019-03-18;231;1717.6700439453125
ML0703;4;2019-08-07;2020-03-20;227;1765.1094970703125
ML0703;5;2020-07-31;2021-03-20;233;1880.6339111328125
ML0703;6;2021-08-03;2022-03-17;227;1531.6982421875
ML0703;7;2022-08-13;2023-03-16;216;1699.748779296875
ML0802;0;2019-08-24;2019-09-02;10;7.442441940307617
ML0803;0;2019-08-25;2019-08-26;2;3.328359842300415
ML0804;0;2019-08-24;2019-09-03;11;3.166883707046509
ML0901;0;2018-09-02;2018-10-13;42;4707.1630859375
ML0901;1;2019-09-03;2019-10-19;47;4543.52001953125
ML0901;2;2020-09-05;2020-10-17;43;4764.615234375
ML0901;3;2021-09-04;2021-10-04;31;4378.26025390625
ML0901;4;2022-09-05;2022-10-15;41;4346.23095703125
ML1001;0;2016-08-10;2016-08-11;2;4.909949779510498
ML1001;1;2017-08-23;2017-08-24;2;9.546335220336914
ML1001;2;2017-09-03;2017-09-05;3;6.1486711502075195
ML1001;3;2018-08-10;2018-08-25;16;37.370819091796875
ML1001;4;2019-08-23;2019-09-03;12;125.22010803222656
ML1001;5;2020-08-04;2020-08-05;2;29.834285736083984
ML1001;6;2020-08-11;2020-08-14;4;11.068886756896973
ML1001;7;2020-08-27;2020-09-05;10;36.7258415222168
ML1002;0;2016-07-29;2016-07-30;2;41.862831115722656
ML1002;1;2016-08-10;2016-08-11;2;41.707550048828125
ML1002;2;2016-08-30;2016-08-31;2;43.10369873046875
ML1002;3;2017-08-21;2017-09-04;15;53.38676834106445
ML1002;4;2018-08-05;2018-09-12;39;69.96037292480469
ML1002;5;2019-08-22;2019-09-15;25;98.7799072265625
ML1002;6;2020-08-04;2020-09-10;38;73.44145202636719
ML1003;0;2016-07-09;2016-09-29;83;47.99949264526367
ML1003;1;2017-07-12;2017-09-24;75;53.869964599609375
ML1003;2;2018-08-01;2018-10-21;82;75.21949005126953
ML1003;3;2019-07-28;2019-10-02;67;101.49671173095703
ML1003;4;2020-08-02;2020-09-30;60;71.80431365966797
ML1003;5;2021-07-28;2021-09-07;42;45.45245361328125
ML1003;6;2022-08-10;2022-10-03;55;47.25343704223633
ML1004;0;2018-08-11;2018-08-12;2;6.70875358581543
ML1004;1;2018-08-19;2018-08-20;2;2.670738697052002
ML1004;2;2019-08-24;2019-09-10;18;13.684670448303223
