identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0306;0;2018-08-19;2018-10-13;56;1357.4559326171875
ML0306;1;2019-08-22;2019-10-17;57;1208.8348388671875
ML0306;2;2020-09-09;2020-10-17;39;1051.6683349609375
ML0306;3;2021-08-30;2021-10-03;35;1094.15869140625
ML0306;4;2022-09-01;2022-10-06;36;878.4029541015625
ML0401;0;2018-09-03;2018-10-13;41;4389.0673828125
ML0401;1;2019-09-03;2019-10-16;44;4171.1572265625
ML0401;2;2020-09-07;2020-10-19;43;4380.79248046875
ML0401;3;2021-09-02;2021-10-05;34;4064.619140625
ML0401;4;2022-09-13;2022-10-18;36;4212.67431640625
ML0402;0;2016-08-28;2016-10-12;46;1295.1009521484375
ML0402;1;2018-08-23;2018-10-24;63;2002.595703125
ML0402;2;2019-08-28;2019-10-29;63;1621.2086181640625
ML0402;3;2020-08-25;2020-10-30;67;1790.92138671875
ML0402;4;2021-08-15;2021-10-11;58;1668.905517578125
ML0402;5;2022-09-06;2022-10-22;47;1735.9434814453125
ML0403;0;2018-09-04;2018-10-15;42;4011.958984375
ML0403;1;2019-09-02;2019-10-15;44;3901.100830078125
ML0403;2;2020-09-06;2020-10-21;46;4191.322265625
ML0403;3;2021-09-02;2021-10-07;36;3856.955810546875
ML0403;4;2022-09-08;2022-10-21;44;4035.8984375
ML0404;0;2017-08-26;2017-08-29;4;88.78591918945312
ML0404;1;2018-08-11;2018-08-21;11;199.01234436035156
ML0404;2;2018-09-05;2018-09-18;14;232.51316833496094
ML0404;3;2019-08-25;2019-09-21;28;393.1229248046875
ML0404;4;2020-08-05;2020-09-20;47;402.87139892578125
ML0404;5;2021-08-19;2021-08-20;2;69.52937316894531
ML0404;6;2022-09-06;2022-09-15;10;151.55960083007812
ML0405;0;2016-08-30;2016-10-15;47;1099.013671875
ML0405;1;2018-08-23;2018-10-28;67;1786.2235107421875
ML0405;2;2019-08-29;2019-11-03;67;1557.17529296875
ML0405;3;2020-08-23;2020-11-03;73;1813.0863037109375
ML0405;4;2021-08-16;2021-10-16;62;1451.6922607421875
ML0405;5;2022-09-08;2022-10-24;47;1527.565673828125
ML0406;0;2018-09-04;2018-10-13;40;4079.362548828125
ML0406;1;2019-09-03;2019-10-15;43;3978.162109375
ML0406;2;2020-09-07;2020-10-20;44;4248.0283203125
ML0406;3;2021-09-02;2021-10-06;35;3919.599609375
ML0406;4;2022-09-08;2022-10-19;42;4033.42822265625
ML0502;0;2016-07-22;2016-07-23;2;115.050537109375
ML0502;1;2016-08-11;2016-09-03;24;220.61410522460938
ML0502;2;2017-08-10;2017-09-05;27;214.44093322753906
ML0502;3;2018-08-08;2018-09-17;41;304.1254577636719
ML0502;4;2019-08-24;2019-09-05;13;314.9339294433594
ML0502;5;2020-08-06;2020-09-16;42;257.4127197265625
ML0502;6;2022-08-28;2022-09-25;29;215.49192810058594
ML0503;0;2018-09-02;2018-10-20;49;3004.4033203125
ML0503;1;2019-09-02;2019-10-21;50;2996.78564453125
