identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2018-08-31;2018-09-28;29;1445.9169921875
ML0101;1;2019-08-27;2019-09-26;31;1323.472900390625
ML0101;2;2020-09-03;2020-10-13;41;1739.990234375
ML0101;3;2022-09-27;2022-09-29;3;1029.71826171875
ML0102;0;2018-08-04;2018-09-18;46;474.87408447265625
ML0102;1;2019-08-26;2019-09-14;20;748.8421020507812
ML0102;2;2020-08-27;2020-09-25;30;879.98779296875
ML0102;3;2021-08-19;2021-08-20;2;262.46533203125
ML0102;4;2022-09-03;2022-09-05;3;331.74237060546875
ML0102;5;2022-09-22;2022-09-23;2;266.0733947753906
ML0103;0;2018-09-02;2018-09-29;28;1486.42138671875
ML0103;1;2019-08-29;2019-09-27;30;1370.807373046875
ML0103;2;2020-08-28;2020-10-16;50;1681.0198974609375
ML0104;0;2018-08-30;2018-09-17;19;1653.940185546875
ML0104;1;2019-08-26;2019-09-25;31;1767.66796875
ML0104;2;2020-08-30;2020-09-29;31;1901.860595703125
ML0104;3;2021-09-01;2021-09-07;7;932.9511108398438
ML0105;0;2018-08-30;2018-09-17;19;1229.11181640625
ML0105;1;2019-08-26;2019-09-25;31;1097.265869140625
ML0105;2;2020-08-30;2020-09-29;31;1350.30126953125
ML0105;3;2021-08-19;2021-09-07;20;1507.4691162109375
ML0107;0;2016-07-26;2016-08-03;9;588.4615478515625
ML0107;1;2016-08-14;2016-08-22;9;488.304931640625
ML0107;2;2016-09-02;2016-09-14;13;497.8728332519531
ML0107;3;2018-08-14;2018-09-21;39;625.5486450195312
ML0107;4;2019-08-27;2019-09-06;11;604.1227416992188
ML0107;5;2020-08-21;2020-09-15;26;1388.7294921875
ML0107;6;2022-09-03;2022-09-05;3;464.70355224609375
ML0107;7;2022-09-22;2022-09-23;2;421.40625
ML0201;0;2018-08-19;2018-09-15;28;127.91114044189453
ML0201;1;2019-08-25;2019-09-12;19;493.3251647949219
ML0201;2;2020-08-12;2020-09-16;36;386.15960693359375
ML0201;3;2022-09-03;2022-09-24;22;106.38639068603516
ML0202;0;2018-08-28;2018-10-11;45;1939.9949951171875
ML0202;1;2019-09-04;2019-10-01;28;1566.3271484375
ML0202;2;2020-09-08;2020-10-19;42;1710.6053466796875
ML0202;3;2021-09-01;2021-09-29;29;1655.3411865234375
ML0202;4;2022-09-12;2022-10-09;28;1629.5098876953125
ML0203;0;2018-09-04;2018-10-09;36;4944.44189453125
ML0203;1;2019-09-05;2019-10-11;37;4880.91259765625
ML0203;2;2020-09-11;2020-09-29;19;4810.14697265625
ML0203;3;2021-09-05;2021-09-29;25;4537.4404296875
ML0203;4;2022-09-15;2022-10-11;27;4505.36767578125
ML0204;0;2018-09-04;2018-10-09;36;4944.44189453125
ML0204;1;2019-09-05;2019-10-14;40;4880.91259765625
ML0204;2;2020-09-11;2020-09-29;19;4811.23828125
ML0204;3;2021-09-06;2021-09-29;24;4558.56396484375
ML0204;4;2022-09-15;2022-10-10;26;4544.41357421875
ML0205;0;2016-08-30;2016-08-31;2;167.21182250976562
ML0205;1;2018-08-19;2018-09-16;29;454.3830261230469
ML0205;2;2019-08-26;2019-09-09;15;503.833251953125
ML0205;3;2020-08-13;2020-09-28;47;552.4307250976562
ML0205;4;2021-08-16;2021-09-02;18;335.42877197265625
ML0205;5;2022-09-11;2022-09-25;15;282.2669372558594
ML0206;0;2018-09-05;2018-10-05;31;4656.59228515625
ML0206;1;2019-09-07;2019-10-11;35;4660.75146484375
ML0206;2;2020-09-11;2020-10-01;21;4807.88671875
ML0206;3;2021-09-06;2021-09-30;25;4491.86181640625
ML0206;4;2022-09-16;2022-10-11;26;4536.6826171875
ML0207;0;2018-08-03;2018-08-31;29;365.2612609863281
ML0207;1;2018-09-11;2018-09-15;5;328.3898010253906
ML0207;2;2019-08-25;2019-09-14;21;937.5046997070312
ML0207;3;2020-08-27;2020-09-16;21;708.7898559570312
ML0207;4;2022-09-03;2022-09-06;4;316.6512756347656
ML0207;5;2022-09-22;2022-09-24;3;238.7562255859375
ML0301;0;2018-08-22;2018-10-07;47;1128.89794921875
ML0301;1;2019-09-05;2019-10-01;27;866.384765625
ML0301;2;2020-09-08;2020-09-22;15;780.9882202148438
ML0301;3;2020-10-08;2020-10-13;6;729.3983764648438
ML0301;4;2021-08-21;2021-09-24;35;821.049072265625
ML0301;5;2022-09-04;2022-10-03;30;745.1390991210938
ML0302;0;2018-08-20;2018-10-07;49;442.103515625
ML0302;1;2019-09-02;2019-10-06;35;330.10284423828125
ML0302;2;2020-09-12;2020-09-14;3;251.66769409179688
ML0302;3;2020-10-08;2020-10-10;3;248.24034118652344
ML0302;4;2021-08-30;2021-09-23;25;319.0112609863281
ML0302;5;2022-09-14;2022-09-25;12;257.157470703125
ML0303;0;2018-08-22;2018-10-07;47;1013.3282470703125
ML0303;1;2019-09-03;2019-10-03;31;798.841552734375
ML0303;2;2020-09-09;2020-09-20;12;737.35498046875
ML0303;3;2020-10-09;2020-10-13;5;664.5011596679688
ML0303;4;2021-08-20;2021-09-24;36;758.8265380859375
ML0303;5;2022-09-04;2022-10-01;28;745.1390991210938
ML0304;0;2016-08-29;2016-09-05;8;399.27752685546875
ML0304;1;2018-08-19;2018-09-21;34;562.2042846679688
ML0304;2;2019-08-26;2019-09-23;29;403.9681091308594
ML0304;3;2020-08-17;2020-09-28;43;636.0226440429688
ML0304;4;2021-08-11;2021-09-03;24;454.9525146484375
ML0304;5;2022-09-06;2022-09-15;10;367.7914123535156
ML0305;0;2018-08-22;2018-10-07;47;1128.89794921875
ML0305;1;2019-08-31;2019-10-03;34;936.70703125
ML0305;2;2020-09-08;2020-09-24;17;950.5014038085938
ML0305;3;2020-10-09;2020-10-12;4;825.2308349609375
ML0305;4;2021-08-22;2021-09-24;34;942.932373046875
ML0305;5;2022-09-15;2022-09-17;3;745.0090942382812
ML0306;0;2018-08-21;2018-10-08;49;1415.508056640625
ML0306;1;2019-08-23;2019-10-08;47;1191.1640625
ML0306;2;2020-09-10;2020-09-24;15;1054.0677490234375
ML0306;3;2020-10-09;2020-10-13;5;920.7459716796875
ML0306;4;2021-09-01;2021-09-26;26;1055.64990234375
ML0401;0;2018-09-08;2018-09-30;23;4410.97021484375
ML0401;1;2019-09-07;2019-10-03;27;4100.22412109375
ML0401;2;2020-09-10;2020-10-02;23;4338.744140625
ML0401;3;2021-09-06;2021-09-30;25;4080.400146484375
ML0401;4;2022-09-17;2022-10-12;26;4242.0302734375
ML0402;0;2018-08-29;2018-10-14;47;2039.949951171875
ML0402;1;2019-09-08;2019-10-04;27;1644.2138671875
ML0402;2;2020-09-08;2020-10-21;44;1843.18896484375
ML0402;3;2021-09-01;2021-09-28;28;1655.3411865234375
ML0402;4;2022-09-14;2022-10-10;27;1732.5164794921875
ML0403;0;2018-09-11;2018-10-08;28;3990.948974609375
ML0403;1;2019-09-08;2019-10-04;27;3893.73046875
ML0403;2;2020-09-10;2020-10-15;36;4193.5595703125
ML0403;3;2021-09-07;2021-10-01;25;3865.779052734375
ML0403;4;2022-09-16;2022-10-14;29;4028.6328125
ML0404;0;2017-08-25;2017-08-27;3;163.5149383544922
ML0404;1;2018-08-13;2018-08-21;9;216.10052490234375
ML0404;2;2018-09-02;2018-09-18;17;246.8345184326172
ML0404;3;2019-08-25;2019-09-18;25;566.0518188476562
ML0404;4;2020-08-12;2020-08-13;2;169.86351013183594
ML0404;5;2020-08-26;2020-09-20;26;515.9025268554688
ML0404;6;2022-09-03;2022-09-13;11;253.9281768798828
ML0405;0;2018-09-09;2018-10-18;40;1795.8270263671875
ML0405;1;2019-09-10;2019-10-14;35;1518.3460693359375
ML0405;2;2020-09-06;2020-10-25;50;1844.4476318359375
ML0405;3;2021-09-15;2021-10-01;17;1498.7376708984375
ML0405;4;2022-09-21;2022-10-11;21;1564.145263671875
ML0406;0;2018-09-11;2018-10-05;25;4099.58154296875
ML0406;1;2019-09-08;2019-10-02;25;3938.96435546875
ML0406;2;2020-09-11;2020-10-14;34;4229.435546875
ML0406;3;2021-09-07;2021-10-01;25;3923.976806640625
ML0406;4;2022-09-16;2022-10-14;29;4027.332763671875
ML0502;0;2016-08-14;2016-08-22;9;245.83921813964844
ML0502;1;2017-08-09;2017-08-29;21;232.08123779296875
ML0502;2;2018-08-05;2018-09-15;42;316.0685729980469
