identifier;events;flood_start;flood_end;duration;peak_streamflow
Bafing Makana;0;2018-09-07;2018-09-13;7;1124.228515625
Bafing Makana;1;2020-09-07;2020-09-18;12;1377.91650390625
Bamako;0;2018-09-13;2018-09-20;8;4695.31689453125
Bamako;1;2020-09-16;2020-09-22;7;4655.7763671875
Bougouni;0;2018-09-02;2018-09-22;21;688.7965087890625
Bougouni;1;2020-09-12;2020-09-14;3;531.39306640625
Dire;0;2020-11-11;2020-12-02;22;2275.747314453125
Douna;0;2018-09-14;2018-09-26;13;1841.426513671875
Gao;0;2020-11-17;2020-12-06;20;1826.031982421875
Kayes;0;2018-09-13;2018-09-21;9;1321.474609375
Kayes;1;2019-09-03;2019-09-04;2;1173.583984375
Kayes;2;2020-09-08;2020-09-28;21;1714.57373046875
Koulikoro;0;2018-09-13;2018-09-20;8;4621.810546875
Koulikoro;1;2020-09-16;2020-09-25;10;4649.23486328125
Mopti;0;2020-09-13;2020-10-20;38;4076.42626953125
Pankourou;0;2018-08-29;2018-09-25;28;1049.145751953125
Sofara;0;2018-09-16;2018-09-26;11;1295.8748779296875
Sofara;1;2019-09-19;2019-09-27;9;1284.883544921875
Sofara;2;2020-09-10;2020-10-23;44;1575.3111572265625
