admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0406;0;2018-09-07;2018-09-15;8;4069.47412109375
ML0406;1;2019-09-06;2019-09-09;3;3964.41357421875
ML0406;2;2019-09-11;2019-09-12;1;3828.6376953125
ML0406;3;2019-09-15;2019-09-15;0;3809.708251953125
ML0406;4;2019-09-17;2019-09-21;4;3956.79150390625
ML0406;5;2020-09-06;2020-09-23;17;4191.568359375
ML0406;6;2021-09-16;2021-09-16;0;3900.4267578125
ML0406;7;2022-09-21;2022-10-01;10;3985.4833984375
ML0403;0;2018-09-10;2018-09-15;5;3917.585693359375
ML0403;1;2019-09-08;2019-09-08;0;3765.657958984375
ML0403;2;2019-09-11;2019-09-12;1;3787.829345703125
ML0403;3;2019-09-15;2019-09-15;0;3753.57861328125
ML0403;4;2019-09-17;2019-09-18;1;3772.46240234375
ML0403;5;2020-09-06;2020-09-23;17;4129.88037109375
ML0403;6;2021-09-16;2021-09-16;0;3818.777587890625
ML0403;7;2022-09-20;2022-10-01;11;3992.690673828125
ML0506;0;2018-09-07;2018-09-11;4;2435.296875
ML0506;1;2018-09-15;2018-09-23;8;2478.245361328125
ML0506;2;2018-09-27;2018-10-08;11;2443.79345703125
ML0506;3;2019-09-05;2019-09-05;0;2431.2236328125
ML0506;4;2019-09-08;2019-09-12;4;2474.12939453125
ML0506;5;2019-09-21;2019-09-25;4;2430.150634765625
ML0506;6;2020-09-06;2020-10-12;36;2892.8466796875
ML0305;0;2018-08-19;2018-09-22;34;1104.3914794921875
ML0305;1;2019-08-28;2019-08-29;1;824.1072387695312
ML0305;2;2019-09-11;2019-09-16;5;940.4368896484375
ML0305;3;2019-09-18;2019-09-18;0;795.358642578125
ML0305;4;2020-09-03;2020-09-13;10;954.7938842773438
ML0305;5;2021-08-12;2021-08-18;6;889.078125
ML0305;6;2021-08-22;2021-09-03;12;941.66796875
ML0305;7;2021-09-12;2021-09-14;2;857.3464965820312
ML0305;8;2021-09-16;2021-09-16;0;792.5636596679688
ML0303;0;2018-08-20;2018-09-20;31;1029.5843505859375
ML0303;1;2018-09-25;2018-09-25;0;729.9347534179688
ML0303;2;2019-09-11;2019-09-16;5;827.2728881835938
ML0303;3;2019-09-18;2019-09-18;0;738.436767578125
ML0303;4;2020-09-04;2020-09-05;1;734.9855346679688
ML0303;5;2020-09-07;2020-09-07;0;739.2476806640625
ML0303;6;2021-08-17;2021-08-17;0;730.1172485351562
ML0303;7;2021-08-25;2021-08-26;1;750.7708740234375
