Date,1956,1957,1958,1959,1960,1961,1962,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,,26.87000084,58.40999985,57.58000183,25.18000031,28.12000084,12.25,,64.44999695,26.45000076,40.91999817,32.84999847,32.56999969,32.56999969,15.11999989,15.23999977,13.11999989,5.831999779,8.835000038,17.15999985,35.43000031,6.395999908,15.35999966,17.5,22.97999954,22.45000076,7.268000126,3.713999987,2.99000001,3.655999899,2.746000051,2.013000011,2.180999994,2.868000031,2.868000031,7.487999916,6.09100008,5.831999779,26.42000008,,7.388000011,7.171000004,,13.43999958,,5.243999958,,5.422999859,7.998000145,10.43999958,10.46000004,11.28999996,13.68999958,19.70999908,12.11999989,22.15999985,12.05000019,7.857999802,9.194999695,8.359000206,2.868999958
02/01 12:00,,26.28000069,56.81999969,55.11000061,24.69000053,27.53000069,12.09000015,,62.41999817,25.77000046,40.09000015,31.87000084,31.85000038,31.85000038,14.68000031,14.97999954,12.89000034,5.72300005,8.637000084,16.89999962,34.63999939,6.287000179,15.28999996,17.14999962,22.76000023,21.90999985,7.090000153,3.805999994,2.89199996,3.621999979,2.648000002,1.942000031,2.154000044,2.769999981,2.796999931,7.262000084,6.048999786,5.72300005,26.12000084,,7.177999973,6.647999763,,12.93999958,6.546000004,4.967999935,8.607000351,5.284999847,7.613999844,10.01000023,10.01000023,10.86999989,13.14999962,19.09000015,12.02000046,21.46999931,11.80000019,7.550000191,8.984000206,8.078000069,2.691999912
03/01 12:00,,25.85000038,55.00999832,51.68000031,24.48999977,26.92000008,12.02000046,,59.47000122,24.95000076,39.18000031,30.95999908,30.95999908,30.86000061,14.27999973,14.67000008,12.53999996,5.672999859,8.418000221,16.59000015,33.68999863,6.236999989,15.06000042,16.53000069,22.64999962,21.51000023,6.921000004,3.77699995,2.772000074,3.474999905,2.555000067,1.909999967,2.065999985,2.650000095,2.765000105,6.883999825,5.872000217,5.672999859,24.97999954,,6.811999798,6.326000214,,12.46000004,6.217000008,4.708000183,8.371999741,5.138999939,7.27699995,9.574999809,9.623000145,10.43999958,12.48999977,18.52000046,11.80000019,20.55999947,11.5,7.670000076,8.791000366,8.062000275,2.588000059
04/01 12:00,,25.43000031,55.00999832,51.58000183,23.76000023,25.89999962,11.68000031,,57.58000183,24.14999962,38.43000031,30.14999962,30.04999924,29.72999954,13.77000046,14.27999973,11.97999954,5.537000179,8.147999763,16.27000046,32.75999832,6.100999832,14.97000027,15.96000004,22.37000084,21.20999908,6.860000134,3.630000114,2.650000095,3.319999933,2.548000097,1.802000046,2.032000065,2.52699995,2.650000095,6.609000206,5.684000015,5.495999813,23.80999947,,6.681000233,6.144000053,13.39999962,12.09000015,6.021999836,4.553999901,7.998000145,4.992000103,7.096000195,9.154000282,9.395000458,10.06000042,12,18.02000046,11.5,19.70999908,11.06000042,7.677999973,8.550999641,8.062000275,2.463000059
05/01 12:00,,24.93000031,55.18000031,50.61000061,23.07999992,25.43000031,11.25,,55.65000153,23.46999931,37,29.57999992,29.15999985,29.12999916,13.52999973,13.69999981,11.35999966,5.485000134,7.767000198,15.94999981,31.86000061,6.048999786,14.67000008,15.56000042,22.26000023,21.11000061,6.699999809,3.474999905,2.555000067,3.164999962,2.520999908,1.730999947,1.917000055,2.431999922,2.52699995,6.217999935,5.453999996,5.308000088,22.93000031,,6.517000198,6.085000038,13.15999985,11.75,5.701000214,4.375,7.613999844,4.846000195,6.888999939,8.767000198,9.142000198,9.826000214,11.52999973,17.65999985,11.06000042,19.09000015,10.63000011,7.677999973,8.222000122,7.868999958,2.290999889
06/01 12:00,,24.23999977,54.34999847,49.84999847,22.59000015,25.01000023,11.15999985,,53.54999924,22.96999931,35.65999985,28.80999947,28.29000092,28.29000092,13.44999981,13.13000011,10.69999981,5.348999977,7.53399992,15.63000011,30.95999908,5.872000217,14.35000038,15,21.97999954,20.75,6.638999939,3.319999933,2.548000097,3.045000076,2.404999971,1.70599997,1.822000027,2.398000002,2.404999971,5.881999969,5.130000114,5.078000069,22.15999985,,6.197000027,5.949999809,12.71000004,11.28999996,5.460999966,4.129000187,7.27699995,4.699999809,6.597000122,8.425000191,8.767000198,9.611000061,11.07999992,17.10000038,10.63000011,18.45000076,10.19999981,7.539000034,8.022000313,7.282999992,2.187000036
07/01 12:00,,23.82999992,54.15000153,48.70000076,21.82999992,24.60000038,10.92000008,,52.15000153,22.30999947,34.54999924,28.36000061,27.45000076,27.36000061,13.17000008,12.55000019,10.46000004,5.339000225,7.31400013,15.31000042,30.04999924,5.724999905,14.03999996,14.67000008,21.87999916,20.39999962,6.479000092,3.164999962,2.520999908,3.009000063,2.282999992,1.64199996,1.794999957,2.309999943,2.282999992,5.684000015,4.93200016,4.754000187,21.37999916,,6.078999996,5.756000042,12.43999958,11.03999996,5.248000145,3.996999979,7.058000088,4.553999901,6.419000149,8.222000122,8.383000374,9.395000458,10.64999962,16.60000038,10.19999981,17.82999992,9.826000214,7.105000019,7.829999924,7.089000225,2.062000036
08/01 12:00,,23.44000053,53.45000076,47.59999847,21.14999962,24.20999908,10.72000027,,50.13999939,21.89999962,33.13999939,27.94000053,26.62000084,26.21999931,12.82999992,11.97999954,10.39000034,5.296999931,7.092999935,14.98999977,29.15999985,5.672999859,13.75,14.27999973,21.60000038,20.04000092,6.425000191,3.017999887,2.404999971,2.894000053,2.187999964,1.616999984,1.730999947,2.276000023,2.187999964,5.495999813,4.743999958,4.563000202,20.63999939,,5.815000057,5.43900013,12.09000015,10.63000011,5.047999859,3.845999956,6.729000092,4.407999992,6.211999893,8.029999733,7.998000145,9.013999939,10.27000046,16.25,9.772000313,17.71999931,9.602000237,6.876999855,7.638000011,6.876999855,1.896999955
09/01 12:00,,22.96999931,52.40999985,46.5,20.75,23.82999992,10.64999962,,47.45000076,21.43000031,31.78000069,27.52000046,25.78000069,25.45000076,12.32999992,11.40999985,10.10000038,5.160999775,6.872000217,14.67000008,28.29000092,5.537000179,13.46000004,13.69999981,21.48999977,19.69000053,6.289000034,2.894000053,2.282999992,2.772000074,2.154000044,1.531999946,1.70599997,2.187999964,2.154000044,5.308000088,4.563000202,4.406000137,19.93000031,,5.573999882,5.197999954,,10.21000004,6.021999836,3.634000063,6.427999973,4.262000084,5.882999897,7.795000076,7.613999844,8.178999901,10.03999996,15.80000019,9.347000122,17.45000076,9.338000298,6.546000004,7.493000031,6.546000004,1.815000057
