Date,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,,500.7000122,408.6000061,607.5999756,269.3999939,258.2999878,290.2000122,189.6000061,219.6000061,242.1999969,372.5,162.8999939,278.7000122,237.8999939,212.8999939,157.1999969,139.5,119.5,93.12000275,89.54000092,108.1999969,123.5,73.41999817,110.3000031,130.8000031,137.5,116.3000031,157.1999969,,247.8000031,195.8999939,205.8000031,162.8999939,291.7999878,275.2000122,244.3000031,133.3999939,,,129.3000031,,,178.1000061,235.8999939,285.7000122,117,,183.6000061,180.1999969,286,239.3999939,140.1000061
02/01 12:00,,493.6000061,400,597.9000244,263.3999939,254.8000031,287.2000122,186.6999969,212.3999939,234.6999969,369.3999939,160.3999939,274.5,234.3999939,209.8000031,153.8999939,136.3000031,116.6999969,90.58000183,86.83000183,106.3000031,120.6999969,67.86000061,108.1999969,126.4000015,133.8000031,113.8000031,152.8000031,,244.3000031,189.6999969,200.3000031,161,248.3000031,267,237.8000031,129.8999939,175.3999939,,125,157.8999939,131.6999969,172.3999939,227.8000031,278.6000061,112.4000015,261.7000122,174.1999969,176.6000061,278.7000122,231,136.1999969
03/01 12:00,,487.8999939,385.7000122,579.2999878,264.5,248.3000031,275.7999878,181.8999939,204.1999969,228,365.6000061,156.3000031,267,228,202.8000031,150.8999939,132.3000031,114.6999969,88.38999939,84.01999664,102.9000015,118.1999969,62.88999939,104.6999969,121.4000015,128.8999939,109.8000031,146.5,321.7999878,237.8000031,184.1000061,192.6000061,158.6000061,241.3999939,261.2999878,231,124.4000015,170,,120.5,153.1000061,124.5,165.3000031,217.1000061,271.7999878,109,253,167.5,159.3999939,271.6000061,224.5,133.8999939
04/01 12:00,,492.5,376.8999939,562.4000244,269.3999939,239.3000031,267.2000122,178.3000031,198.1000061,222,360.7999878,153.3000031,265.6000061,222.6999969,192.8000031,146.3999939,128.3000031,112.1999969,85.62000275,82.33000183,99.37999725,114.3000031,60.86999893,101.1999969,115,126.1999969,110,141.8999939,311.3999939,229.6000061,178.5,186.8999939,155.1000061,235.8999939,254.8000031,224.6000061,121.0999985,165.1999969,,118,148.1999969,120.9000015,160.3000031,209.6999969,265,104.6999969,244.3999939,162.6999969,162.8999939,264.7999878,215.6000061,131
05/01 12:00,,488.3999939,370.6000061,559.2000122,266.7999878,226.8999939,257,173,192.5,216.6999969,354.1000061,149.1000061,262.3999939,218.8000031,186.1999969,142.8000031,124.3000031,108.4000015,83.93000031,80.37999725,95.72000122,110.8000031,62.34000015,97.55999756,111.8000031,121.9000015,106.0999985,136.8999939,306,221.8000031,173.5,181.3000031,149.8000031,229.1999969,246.3999939,216,118.1999969,160.3999939,,115.0999985,142.1999969,114.1999969,155.5,202.3000031,258.2000122,101.8000031,234.3999939,156.8000031,157.8999939,256.3999939,211.1000061,129
06/01 12:00,,451.8999939,369.2000122,544.0999756,253.1999969,223.3000031,253.8999939,168.3999939,187.5,212.8000031,350,146.1999969,259,213.6999969,178.6000061,140.1999969,120.3000031,104.3000031,81.98000336,77.26999664,92.05999756,108.3000031,65.06999969,93.88999939,106.1999969,116.9000015,99.65000153,134.6999969,289.5,215.8000031,170.1000061,175.1000061,149.3999939,224.8999939,237.8000031,209.8000031,115.0999985,156.6999969,,112.1999969,138,109.0999985,150.6000061,197.6000061,251.3999939,98.41999817,226.1000061,150.6999969,153.1000061,247.8000031,206.6000061,126.4000015
07/01 12:00,,441.8999939,364.7000122,513,238.6000061,212.6999969,245.8000031,165.3000031,183.8999939,207,346.1000061,142.8000031,253.3999939,209.8000031,174.1000061,136.3000031,116.3000031,99.87999725,79.22000122,74.11000061,88.84999847,104.3000031,67.87000275,90.26999664,101.3000031,114.1999969,91.44000244,132.6999969,282,209.8000031,165.8999939,168.5,148.8999939,221.3000031,231,203.8999939,113.0999985,154.3000031,,108.1999969,133.1999969,104.4000015,144.3000031,190.8999939,244.6000061,95.56999969,221.5,146.1000061,139.8999939,240.6000061,200.6000061,127.6999969
08/01 12:00,,436.2999878,357.1000061,504.5,230,203.5,242,160.6000061,177.8000031,201,342.1000061,140.6999969,241.8000031,204.6999969,173.1999969,132.8000031,112.3000031,97.86000061,77.52999878,71.45999908,86.77999878,99.47000122,68.80000305,87.23999786,97.55999756,110.8000031,90.41999817,130.1999969,275,203.8000031,162.8999939,165.8000031,145.8000031,214.3999939,224.6000061,200.5,111.0999985,151.8999939,,104.4000015,130.1999969,101,140.1000061,186.5,237.8000031,92.55999756,212.8999939,142.1000061,142.5,231.3999939,194.8000031,125.9000015
09/01 12:00,,426.7999878,351,503,221.3999939,196.1000061,239.3999939,156.3000031,170.3999939,195.3000031,338.2000122,138.1999969,234,200.8999939,170.1000061,130.1999969,108.8000031,95.62000275,75.93000031,69.66000366,84.01999664,95.72000122,63.13000107,85.52999878,93.88999939,108.6999969,89.09999847,127.1999969,265.2999878,197.8999939,158.1999969,162.8999939,140.3999939,211.1000061,216,194.8999939,108.1999969,148.3999939,,100.1999969,127.9000015,97.33000183,136.1000061,180.8999939,229.6000061,89.12000275,205,138.1999969,140.1000061,232.1999969,186.6999969,122.0999985
10/01 12:00,,414.8999939,348.8999939,497.8999939,222.8000031,194.1999969,236.8999939,153.3000031,165.8999939,190.3000031,334.3999939,134.8000031,225.8999939,195.3000031,165.3999939,126.3000031,106.6999969,92.45999908,74.01999664,67.23999786,81.98000336,92.45999908,55.70999908,83.93000031,90.26999664,106,87.93000031,125.6999969,260.8999939,192.1999969,153.3999939,158.1999969,136.3000031,208.1000061,209.8000031,184.3000031,104.5,144.3000031,,97.40000153,124.0999985,93.66000366,130.8000031,175.3000031,221.6000061,84.66000366,196.5,135.8999939,136.1000061,227.6999969,180.8999939,118.0999985
11/01 12:00,,406.2000122,341.5,486.3999939,220.3000031,195.3999939,229.6000061,149.1000061,162.3000031,186.6999969,330.6000061,132.1999969,221.1999969,190.3000031,160.1000061,122.8000031,104.9000015,90.93000031,71.45999908,65.45999908,78.87000275,90.16999817,50.40000153,81.98000336,86.51999664,101.6999969,84.47000122,120.9000015,254.8000031,186.6000061,149.1000061,153.8999939,132.3000031,205.1000061,203.8000031,175.3999939,101.0999985,142.1000061,,93.73999786,120.0999985,90.01000214,117.4000015,171.1000061,213,81.12999725,192.1000061,132.1000061,132.1000061,221.8000031,175.3000031,114.0999985
12/01 12:00,,397.7999878,333.7000122,467.1000061,209.6999969,192.8999939,227.6999969,146.1999969,156.5,181.3000031,325.8999939,128.8000031,212.5,186.6999969,153,120.1999969,103.5999985,90.41999817,69.66000366,63.36000061,76.01999664,87.23999786,47.83000183,79.22000122,82.16000366,98.87999725,84.55999756,118.1999969,248,181,146.1999969,150,128.8000031,202.3999939,197.8999939,170,99.16000366,140.1000061,,90.16999817,116.0999985,85.04000092,122.0999985,167.3999939,206.6000061,78.09999847,186.3999939,127.0999985,119.6999969,218.3999939,169.8999939,111
13/01 12:00,,390.2999878,327,454.3999939,200.6000061,190.8000031,221.3000031,142.3000031,153.8000031,176.3000031,319.3999939,126.1999969,204.1999969,181.8999939,145.6000061,116.3000031,102.6999969,89.09999847,67.23999786,62.88999939,74.01999664,85.18000031,45.84000015,77.18000031,78.87000275,94.40000153,83.22000122,114.3000031,241,174.1999969,142.3000031,137.3000031,126.6999969,221.8999939,192.1999969,166.3000031,97.33000183,138.8999939,,88.18000031,112.0999985,77.18000031,118.0999985,160.5,198.1000061,76.33000183,178.3000031,123.1999969,122.5,214.3999939,165.1000061,108.1999969
14/01 12:00,,384,323,440.3999939,197.8000031,189.3999939,213.8000031,138.8000031,150.8999939,173.3000031,318.7000122,122.8000031,196.8000031,178.3000031,138.6000061,112.8000031,99.37999725,88.29000092,65.45999908,60.99000168,71.13999939,82.41999817,44.95999908,73.48999786,75.66999817,91.59999847,74.87000275,110.3000031,231.3000031,167.6000061,138.3000031,122.3000031,124.1999969,218.6000061,186.6000061,163.8999939,95.38999939,136.1999969,,85.12999725,109,71.08000183,114,155.5,192.1000061,73.15000153,173.6000061,120,120.0999985,235.1999969,160.3000031,106
15/01 12:00,,374.7000122,319.2000122,416.7999878,209.3999939,184.1000061,209.8000031,136.1999969,147.3000031,170.1000061,328.5,120.6999969,188.3999939,173.5,134.8000031,110.1999969,95.30999756,85.62000275,63.04000092,57.75999832,68.95999908,80.37999725,44.20000076,68.80999756,72.55999756,87.33999634,72.16000366,106.8000031,224.6000061,162.8999939,134.3000031,138.6999969,120.8000031,210,181,161.5,92.65000153,132.1999969,,81.93000031,106.1999969,67.56999969,108.3000031,150.6999969,186.3999939,69.54000092,173.6999969,114.0999985,116.0999985,230.6999969,155.5,103.5
16/01 12:00,,372.2999878,314.5,412,203.6999969,178.5,203.3999939,132.3000031,146.6000061,165.3999939,336.2999878,118.1999969,187.1999969,170.1000061,132.1999969,106.4000015,90.01999664,83.93000031,60.99000168,56.13000107,68.48999786,77.26999664,41.68999863,66.86000061,69.73000336,84.81999969,68.72000122,104.5,212.1999969,161.3000031,130.8000031,137.1999969,118.1999969,203.8000031,175.3999939,158,89.26000214,128.3000031,,78.81999969,103.5,65.25,104.4000015,146.1000061,178.8000031,66.12000275,159.3000031,111,113,223.3000031,150.6999969,101.8000031
