siteName;source;river;gaugeId;qualityVerified;hasModel;latitude;longitude
;HYBAS;;hybas_1121112950;False;True;1.3187499999990564;43.53124999999653
;HYBAS;;hybas_1121113500;False;True;1.302083333332405;41.510416666663104
;HYBAS;;hybas_1121114250;False;True;1.2687499999992156;42.55624999999651
;HYBAS;;hybas_1121114480;False;True;1.2562499999991132;43.80624999999645
;HYBAS;;hybas_1121114620;False;True;1.2520833333325072;42.96874999999653
;HYBAS;;hybas_1121114890;False;True;1.2395833333324615;43.30624999999651
;HYBAS;;hybas_1121115240;False;True;1.2229166666657534;43.7270833333298
;HYBAS;;hybas_1121115400;False;True;1.2187499999991471;43.73541666666307
;HYBAS;;hybas_1121115480;False;True;1.2104166666658784;43.50624999999644
;HYBAS;;hybas_1121116000;False;True;1.19374999999917;42.55624999999651
;HYBAS;;hybas_1121116580;False;True;1.1729166666658557;43.7229166666632
;HYBAS;;hybas_1121117010;False;True;1.152083333332541;41.52291666666315
;HYBAS;;hybas_1121117250;False;True;1.143749999999102;41.26458333332994
;HYBAS;;hybas_1121118220;False;True;1.102083333332473;43.68958333332978
;HYBAS;;hybas_1121118470;False;True;1.0937499999990905;43.01041666666316
;HYBAS;;hybas_1121118480;False;True;1.0937499999990905;43.01874999999637
;HYBAS;;hybas_1121118630;False;True;1.0895833333324276;43.45208333332971
;HYBAS;;hybas_1121118860;False;True;1.0812499999991587;43.22708333332975
;HYBAS;;hybas_1121118870;False;True;1.0812499999991587;43.45208333332971
;HYBAS;;hybas_1121118960;True;True;1.077083333332553;42.58541666666309
;HYBAS;;hybas_1121119170;False;True;1.0687499999991132;43.22708333332975
;HYBAS;;hybas_1121119390;False;True;1.0562499999990678;42.99791666666306
;HYBAS;;hybas_1121119410;False;True;1.0562499999990678;43.39374999999643
;HYBAS;;hybas_1121119470;False;True;1.0520833333324615;41.36041666666324
;HYBAS;;hybas_1121119490;False;True;1.0520833333324615;43.24374999999657
;HYBAS;;hybas_1121119870;False;True;1.0395833333323594;41.21874999999653
;HYBAS;;hybas_1121119880;False;True;1.0395833333323594;41.42708333332985
;HYBAS;;hybas_1121119950;False;True;1.0354166666657534;41.072916666663104
;HYBAS;;hybas_1121120030;False;True;1.0312499999991471;41.06458333332989
;HYBAS;;hybas_1121120350;False;True;1.010416666665833;41.47708333332992
;HYBAS;;hybas_1121120600;False;True;0.9979166666657306;42.98958333332985
;HYBAS;;hybas_1121121020;False;True;0.9729166666658102;43.00208333332989
;HYBAS;;hybas_1121121400;False;True;0.956249999999102;41.50208333332984
;HYBAS;;hybas_1121122080;False;True;0.927083333332348;41.52291666666315
;HYBAS;;hybas_1121122320;False;True;0.918749999999136;41.543749999996464
;HYBAS;;hybas_1121122610;False;True;0.9062499999990336;43.27708333332976
;HYBAS;;hybas_1121124540;False;True;0.8312499999992156;42.97291666666314
;HYBAS;;hybas_1121124730;False;True;0.8229166666657761;42.00624999999656
;HYBAS;;hybas_1121124890;False;True;0.8187499999991701;42.01458333332977
;HYBAS;;hybas_1121124900;False;True;0.8187499999991701;43.2854166666632
;HYBAS;;hybas_1121125670;False;True;0.7812499999991473;41.5895833333297
;HYBAS;;hybas_1121125750;False;True;0.7770833333325413;41.20624999999643
;HYBAS;;hybas_1121125880;False;True;0.7729166666657648;43.16874999999641
;HYBAS;;hybas_1121126130;False;True;0.7645833333324958;41.885416666663104
;HYBAS;;hybas_1121126140;False;True;0.7645833333324958;41.98541666666324
;HYBAS;;hybas_1121126260;False;True;0.760416666665833;41.9770833333298
;HYBAS;;hybas_1121126490;False;True;0.7520833333324504;41.58124999999649
;HYBAS;;hybas_1121126580;False;True;0.7479166666657875;41.66874999999652
;HYBAS;;hybas_1121126660;False;True;0.7437499999991815;41.510416666663104
;HYBAS;;hybas_1121126670;False;True;0.7437499999991815;42.00208333332989
;HYBAS;;hybas_1121127010;False;True;0.735416666665742;42.68541666666317
;HYBAS;;hybas_1121127770;False;True;0.7062499999991587;41.43541666666306
;HYBAS;;hybas_1121127930;False;True;0.6979166666657193;41.43541666666306
;HYBAS;;hybas_1121128230;False;True;0.6854166666658443;41.42708333332985
;HYBAS;;hybas_1121128390;False;True;0.6812499999990678;41.13124999999644
;HYBAS;;hybas_1121128920;False;True;0.6604166666657534;42.047916666663184
;HYBAS;;hybas_1121129020;False;True;0.6562499999990905;43.06458333332984
;HYBAS;;hybas_1121129140;True;True;0.6520833333324845;42.71874999999636
;HYBAS;;hybas_1121131170;False;True;0.5687499999992269;41.96041666666309
;HYBAS;;hybas_1121131830;False;True;0.5312499999992042;42.06041666666323
;HYBAS;;hybas_1121131920;False;True;0.5270833333324276;41.79791666666324
;HYBAS;;hybas_1121131940;False;True;0.5270833333324276;42.92708333332973
;HYBAS;;hybas_1121131990;False;True;0.5229166666657648;42.0562499999964
;HYBAS;;hybas_1121132070;False;True;0.5187499999991587;41.26874999999637
;HYBAS;;hybas_1121132200;False;True;0.5104166666658898;41.05624999999645
;HYBAS;;hybas_1121132210;True;True;0.5104166666658898;42.10208333332986
;HYBAS;;hybas_1121132340;False;True;0.5062499999991132;41.07708333332994
