;gaugeId;issue_date;issue_time;fc_date;fc_value
0;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-09-30;58.04779815673828
1;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-10-01;54.60647201538086
2;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-10-02;56.012535095214844
3;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-10-03;55.34270095825195
4;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-10-04;56.468021392822266
5;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-10-05;59.4974365234375
6;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-10-06;66.55115509033203
7;hybas_1121133480;2024-10-01;2024-10-01 13:37:44.201277+00:00;2024-10-07;70.31871032714844
8;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-01;55.02250671386719
9;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-02;56.65425109863281
10;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-03;55.984710693359375
11;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-04;54.73808288574219
12;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-05;55.060340881347656
13;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-06;57.72583770751953
14;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-07;60.27105712890625
15;hybas_1121133480;2024-10-02;2024-10-02 13:56:34.081568+00:00;2024-10-08;63.171512603759766
16;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-02;56.47081756591797
17;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-03;56.312416076660156
18;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-04;55.523040771484375
19;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-05;54.031593322753906
20;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-06;55.41351318359375
21;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-07;57.172157287597656
22;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-08;59.64759826660156
23;hybas_1121133480;2024-10-03;2024-10-03 13:44:01.028809+00:00;2024-10-09;60.46906661987305
24;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-03;56.573429107666016
25;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-04;57.789581298828125
26;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-05;58.96245574951172
27;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-06;59.526145935058594
28;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-07;61.299217224121094
29;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-08;62.061798095703125
30;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-09;63.375553131103516
31;hybas_1121133480;2024-10-04;2024-10-04 13:58:18.266060+00:00;2024-10-10;65.43525695800781
32;hybas_1121133480;2024-10-05;2024-10-05 13:49:36.343030+00:00;2024-10-04;56.12751007080078
33;hybas_1121133480;2024-10-05;2024-10-05 13:49:36.343030+00:00;2024-10-05;56.60537338256836
34;hybas_1121133480;2024-10-05;2024-10-05 13:49:36.343030+00:00;2024-10-06;56.260887145996094
35;hybas_1121133480;2024-10-05;2024-10-05 13:49:36.343030+00:00;2024-10-07;55.80525588989258
36;hybas_1121133480;2024-10-05;2024-10-05 13:49:36.343030+00:00;2024-10-08;55.651119232177734
