,Bafoulabe,Diéma,Kayes,Kéniéba,Kita,Nioro,Yélimané,Banamba,Dioila,Kangaba,Kati,Kolokani,Koulikoro,Nara,Bougouni,Kadiolo,Kolondieba,Koutiala,Sikasso,Yanfolila,Yorosso,Baraouéli,Bla,Macina,Niono,San,Ségou,Tominian,Bandiagara,Bankass,Djenné,Douentza,Koro,Mopti,Ténenkou,Youwarou,Diré,Goundam,Gourma-Rharous,Niafunké,Tombouctou,Ansongo,Bourem,Gao,Abeibara,Kidal,Tessalit,Tin-Essako,Bamako,Ménaka,Anderamboukane,Inekar,Tidermene
2024-06-26,147.09375,1.28125,165.0625,13.171875,13.171875,0.234375,0.171875,1.5625,209.984375,137.6875,171.484375,0.875,173.515625,0.625,42.65625,3.34375,6.4375,76.203125,69.25,95.875,14.265625,219.8125,222.671875,119.203125,15.609375,219.234375,222.671875,212.9375,0.21875,0.78125,213.46875,0.84375,0.578125,211.953125,104.40625,229.5,226.890625,227.21875,221.65625,230.015625,221.109375,212.171875,212.109375,212.40625,0.0,0.0,1.796875,0.3125,170.328125,3.0625,0.0,0.484375,0.65625
2024-06-27,148.28125,1.265625,180.828125,12.640625,12.640625,0.09375,0.21875,3.21875,213.15625,166.921875,214.515625,0.890625,217.515625,1.875,44.34375,3.453125,7.046875,75.875,69.4375,96.265625,13.875,220.71875,225.375,127.65625,14.21875,223.5625,225.375,217.015625,0.171875,0.328125,217.921875,0.84375,0.234375,211.5625,108.1875,228.234375,226.6875,226.90625,222.1875,228.53125,221.65625,210.984375,210.78125,211.09375,0.0,0.0,1.796875,0.3125,210.328125,3.0625,0.015625,0.484375,0.65625
2024-06-28,148.265625,1.578125,174.65625,19.5,19.5,0.109375,0.1875,7.921875,211.390625,195.65625,211.40625,1.484375,196.203125,2.203125,43.296875,5.671875,10.0625,76.875,69.609375,96.28125,14.171875,220.515625,227.46875,138.671875,12.859375,226.71875,227.46875,222.109375,0.1875,0.46875,222.75,0.84375,0.21875,216.921875,120.9375,226.984375,225.953125,226.125,222.5625,227.203125,222.109375,208.640625,209.921875,208.484375,0.0,0.0,1.796875,0.3125,210.453125,3.0625,0.078125,0.484375,0.65625
2024-06-29,147.796875,1.1875,180.59375,18.453125,18.453125,0.171875,0.3125,1.328125,211.671875,229.234375,238.34375,0.75,218.203125,2.234375,43.703125,5.984375,11.03125,75.125,68.265625,96.34375,13.78125,219.75,223.453125,139.421875,11.5625,221.5625,223.453125,214.984375,0.140625,0.5,215.796875,0.84375,0.28125,211.0,125.359375,225.578125,224.953125,225.046875,222.875,225.65625,222.484375,209.234375,209.921875,207.46875,0.359375,0.015625,1.796875,2.578125,234.4375,3.078125,0.015625,3.796875,1.359375
2024-06-30,147.421875,1.171875,175.625,17.21875,17.21875,0.03125,0.109375,2.078125,223.3125,247.8125,329.71875,1.6875,341.4375,8.15625,44.484375,8.265625,13.375,81.703125,75.875,97.6875,15.890625,309.515625,233.171875,177.71875,10.328125,235.59375,281.234375,233.0,0.5625,2.578125,233.0,3.125,1.296875,236.609375,140.609375,224.40625,225.15625,225.15625,222.9375,225.15625,222.59375,205.703125,211.6875,205.046875,2.140625,0.0,1.796875,3.046875,323.140625,3.0625,0.03125,0.671875,0.65625
2024-07-01,147.359375,1.046875,170.90625,13.296875,13.296875,0.109375,0.546875,6.171875,227.359375,235.015625,265.0,0.90625,262.703125,1.75,44.703125,9.796875,14.9375,84.875,77.640625,96.53125,15.125,233.546875,238.15625,150.328125,9.1875,235.234375,238.15625,232.03125,0.734375,4.28125,232.125,2.671875,2.859375,289.515625,139.546875,222.328125,222.59375,222.65625,221.046875,222.65625,220.984375,203.09375,212.359375,203.453125,0.015625,0.109375,1.796875,7.5,262.0,3.0625,0.015625,17.515625,8.140625
2024-07-02,147.453125,0.984375,182.921875,19.40625,18.625,0.09375,0.609375,2.546875,235.25,242.375,267.265625,0.640625,274.640625,7.78125,45.390625,9.734375,18.140625,84.046875,76.25,96.140625,15.046875,262.890625,254.453125,184.328125,8.140625,252.4375,254.453125,245.171875,0.59375,4.421875,245.90625,7.3125,3.3125,343.703125,165.15625,255.859375,220.828125,220.796875,219.546875,220.796875,219.625,200.875,212.84375,203.0,0.0,0.0,1.796875,0.3125,266.203125,3.0625,0.03125,7.125,0.65625
2024-07-03,147.390625,1.109375,173.0625,22.0625,21.890625,0.109375,0.328125,4.4375,222.3125,246.765625,267.296875,0.75,285.640625,6.890625,43.53125,7.171875,12.265625,81.8125,74.53125,96.1875,14.640625,278.65625,240.765625,213.453125,7.171875,246.84375,270.453125,246.84375,0.421875,2.59375,249.15625,2.953125,1.453125,379.703125,183.125,317.109375,218.53125,218.328125,218.203125,218.875,218.234375,199.359375,213.234375,201.859375,0.0,0.0,1.796875,0.3125,265.71875,3.0625,0.03125,0.484375,0.65625
2024-07-04,148.234375,1.296875,169.3125,15.703125,15.640625,0.234375,0.25,1.734375,211.390625,236.015625,270.609375,1.171875,289.734375,3.265625,42.984375,4.0625,7.78125,75.90625,68.390625,95.921875,14.109375,287.890625,234.15625,214.0,6.296875,239.328125,282.484375,239.328125,0.296875,2.578125,243.3125,3.40625,1.34375,386.703125,186.71875,354.109375,216.8125,216.9375,217.171875,219.40625,217.140625,198.984375,214.703125,203.203125,0.0,0.015625,1.796875,0.3125,268.09375,3.0625,0.015625,0.953125,0.65625
2024-07-05,147.828125,1.234375,170.125,20.03125,20.03125,0.265625,0.40625,0.703125,211.859375,251.921875,296.09375,0.640625,299.390625,3.203125,43.40625,5.0,8.875,75.59375,68.125,96.046875,14.078125,276.703125,228.484375,224.40625,5.5625,232.421875,264.40625,232.421875,0.78125,4.65625,239.703125,0.84375,2.125,402.171875,204.609375,379.609375,217.546875,217.765625,216.03125,223.703125,216.0,198.34375,214.53125,203.84375,0.03125,0.015625,1.796875,0.3125,293.125,3.0625,0.015625,0.484375,0.65625
2024-07-06,149.234375,1.28125,185.109375,32.59375,32.59375,0.15625,0.625,1.453125,222.4375,280.921875,318.859375,0.625,319.28125,1.84375,44.484375,6.71875,15.0625,76.046875,68.90625,95.984375,14.78125,292.6875,240.03125,234.125,4.890625,242.875,278.453125,242.875,0.734375,6.765625,243.5,3.03125,4.25,407.984375,210.453125,384.5,218.765625,219.265625,214.40625,233.625,214.390625,197.671875,213.125,204.1875,0.0,0.0,1.796875,0.3125,316.390625,3.0625,0.078125,0.484375,0.65625
2024-07-07,150.640625,1.3125,175.359375,32.1875,32.1875,0.4375,1.046875,5.9375,241.828125,350.5625,445.984375,2.296875,474.25,6.015625,47.296875,11.953125,24.296875,79.78125,72.515625,98.6875,14.875,453.78125,258.953125,389.59375,4.3125,264.1875,434.125,264.1875,0.75,6.875,295.640625,0.96875,2.890625,447.734375,330.625,410.984375,223.328125,224.25,213.984375,250.171875,213.375,198.203125,211.75,205.125,0.0,0.0,1.796875,0.3125,437.578125,3.0625,0.015625,0.484375,0.65625
2024-07-08,153.28125,1.390625,190.015625,18.109375,18.109375,0.28125,1.078125,4.421875,240.34375,319.171875,459.578125,2.015625,505.46875,7.3125,47.953125,12.8125,23.65625,78.703125,71.875,97.046875,14.78125,483.328125,255.640625,411.921875,3.796875,259.40625,462.265625,259.40625,0.59375,5.484375,359.359375,4.296875,2.359375,478.84375,381.765625,431.296875,232.40625,233.828125,216.296875,267.359375,215.265625,199.3125,210.46875,206.09375,0.0,0.0,1.984375,0.3125,443.265625,3.0625,0.0,0.484375,0.65625
2024-07-09,152.046875,1.234375,179.9375,21.96875,21.96875,0.203125,0.34375,6.796875,248.59375,361.015625,471.453125,1.421875,505.390625,10.84375,56.984375,10.671875,28.515625,79.078125,71.046875,96.21875,14.796875,498.5,260.28125,433.71875,4.703125,257.34375,487.8125,254.5,0.71875,5.140625,383.484375,1.140625,2.28125,493.78125,402.921875,438.84375,245.046875,246.828125,222.375,284.421875,220.78125,200.46875,209.765625,206.875,0.0,0.0,1.796875,0.3125,462.078125,3.0625,0.125,0.65625,0.65625
2024-07-10,151.390625,1.203125,187.109375,22.328125,22.328125,0.03125,0.09375,2.453125,260.625,485.703125,633.03125,2.140625,665.625,1.0,62.5,10.9375,33.734375,77.453125,70.21875,97.15625,14.703125,651.359375,272.8125,513.484375,3.03125,270.640625,634.6875,262.5,0.578125,3.96875,442.109375,1.734375,1.671875,561.84375,460.625,472.5,261.34375,263.296875,233.125,302.578125,230.875,202.84375,208.140625,206.3125,0.15625,0.0,1.796875,0.3125,624.15625,3.0625,0.015625,3.734375,0.65625
2024-07-11,153.40625,1.40625,192.296875,24.71875,24.71875,0.09375,0.5,15.34375,264.46875,473.34375,638.59375,2.0625,673.015625,13.78125,60.1875,11.671875,34.171875,83.265625,77.640625,97.875,14.953125,649.78125,268.796875,514.265625,5.140625,261.625,625.59375,258.03125,0.984375,5.265625,443.765625,4.90625,3.75,621.0625,457.46875,529.609375,279.796875,281.765625,249.5,321.5,246.78125,202.96875,209.671875,207.546875,0.015625,0.0,1.796875,0.3125,622.78125,3.078125,0.0,0.484375,0.65625
2024-07-12,157.0,3.96875,220.953125,33.3125,33.3125,0.53125,1.328125,11.953125,295.828125,509.5625,713.21875,5.328125,791.296875,13.9375,66.21875,13.125,35.96875,90.78125,81.96875,96.703125,15.796875,791.296875,306.09375,733.5625,6.109375,295.96875,791.125,273.984375,0.78125,6.390625,609.21875,2.609375,2.609375,716.953125,647.78125,615.640625,297.5,299.484375,266.59375,343.09375,263.671875,202.3125,208.140625,204.671875,0.34375,0.0,1.796875,0.3125,684.4375,3.0625,0.0625,0.484375,0.65625
2024-07-13,155.78125,3.96875,186.015625,25.234375,25.234375,0.421875,0.671875,5.375,331.0,528.671875,900.390625,7.125,1021.453125,9.765625,60.921875,10.59375,26.703125,123.4375,116.0,97.171875,40.984375,1016.84375,369.875,723.953125,4.40625,355.0,967.0625,322.28125,0.625,7.703125,616.09375,3.828125,3.515625,769.0625,642.46875,683.734375,316.609375,318.75,283.765625,371.921875,280.703125,202.28125,211.53125,203.703125,0.046875,0.0,1.796875,8.15625,851.78125,3.0625,0.0,16.546875,8.515625
2024-07-14,155.359375,2.953125,196.875,49.34375,49.34375,0.125,0.09375,6.90625,369.140625,634.375,860.65625,5.5,934.484375,6.375,134.015625,44.5,112.34375,100.515625,156.4375,96.875,17.453125,925.515625,371.09375,760.734375,2.953125,342.546875,900.265625,317.875,1.34375,8.78125,642.140625,1.671875,4.4375,799.859375,674.71875,730.953125,339.21875,341.734375,303.46875,409.484375,300.3125,201.78125,218.71875,202.53125,0.046875,0.0,1.796875,3.0,843.703125,3.0625,0.015625,10.890625,3.5625
2024-07-15,159.5,4.609375,197.75,56.546875,56.546875,0.21875,0.34375,5.421875,396.0,651.921875,926.25,5.796875,1052.40625,13.765625,133.09375,45.5,115.671875,90.625,154.8125,117.125,16.15625,1052.921875,400.8125,884.421875,5.953125,360.171875,1052.921875,320.90625,0.984375,7.109375,712.578125,2.21875,3.0,840.90625,756.484375,766.5,369.953125,373.046875,327.921875,453.40625,324.4375,201.03125,230.609375,202.265625,0.328125,0.0,1.796875,1.109375,896.390625,3.0625,0.0,3.8125,1.328125
2024-07-16,155.765625,6.28125,217.109375,72.765625,72.765625,0.484375,1.4375,14.515625,332.03125,785.734375,925.953125,6.078125,986.078125,21.015625,98.234375,44.8125,84.3125,95.875,118.984375,118.046875,18.078125,965.59375,334.375,792.265625,11.21875,312.6875,938.828125,291.0625,0.78125,3.65625,691.640625,3.6875,1.625,858.03125,718.625,799.90625,404.84375,408.53125,353.296875,497.421875,349.09375,198.9375,246.5,202.625,0.0625,0.09375,1.796875,0.328125,922.078125,3.078125,0.03125,0.484375,0.65625
2024-07-17,158.328125,6.875,199.546875,103.28125,103.28125,0.359375,1.328125,12.46875,342.1875,749.15625,882.109375,4.859375,911.359375,14.03125,102.59375,37.5,89.171875,89.390625,120.859375,86.359375,17.359375,871.125,346.71875,828.875,4.75,338.1875,856.5625,312.5,1.265625,5.6875,739.65625,3.5625,3.078125,921.359375,766.125,867.109375,452.140625,456.328125,390.25,550.9375,385.046875,200.171875,267.265625,207.1875,0.046875,0.015625,1.796875,0.390625,874.84375,3.0625,0.015625,0.484375,0.65625
2024-07-18,155.296875,7.96875,189.34375,59.578125,56.828125,0.421875,1.234375,9.5,418.828125,609.578125,773.625,4.984375,825.421875,12.203125,136.0,42.265625,121.71875,97.53125,157.515625,74.328125,17.15625,795.46875,427.484375,765.171875,5.78125,418.65625,771.21875,389.875,1.25,9.984375,765.625,2.4375,3.640625,1030.46875,765.953125,950.125,502.703125,507.0625,435.328125,605.359375,429.328125,200.53125,289.5,214.359375,0.046875,0.171875,1.796875,0.328125,759.265625,3.0625,0.0,0.734375,0.65625
