,StationName,Sub-Basin,Latitude,Longitude,Altitude Z (m),Catchment area    (km2),dates creation of the station,Basin,Unnamed: 8,Unnamed: 9,Unnamed: 10,pod,far,csi,precision,TP,FN,FP
0,GUELELINKORO,Sankarani,11.15,-8.5643,,23300,,Niger,,,,,1.0,0.0,0.0,0.0,0.0,3.0
1,SELIGUE AVAL,,11.64,-8.23,325,34200,1964,Niger,,,,,,,,0.0,0.0,0.0
2,GOUALA,,11.97,-8.23,-,35300,-,Niger,,,,,,,,0.0,0.0,0.0
3,BANANKORO, Niger Supérieur,11.68,-8.66,,71800,1967,Niger,NB: Les lignes en fond jaune sont les stations étalonnées,,,0.5,0.5,0.3333333333333333,0.5,2.0,2.0,2.0
4,KENIEROBA ,,12.1,-8.31,-,113000,1953,Niger,,,,,,,,0.0,0.0,0.0
5,BAMAKO,,12.63,-7.99,316,117000,1941,Niger,,,,0.5,0.6666666666666666,0.25,0.3333333333333333,1.0,1.0,2.0
6,SEGOU,,13.45,-6.26,279,136500,1958,Niger,,,,,,,,0.0,0.0,0.0
7,KOULIKORO,,12.86,-7.56,290,120000,1907,Niger,,,,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,1.0,2.0,2.0
8,TAMANI,,13.33,-6.83,282,131500,1952,Niger,,,,,,,,0.0,0.0,0.0
9,KIRANGO,,13.69,-6.07,275,137000,1925,Niger,,,,,,,,0.0,0.0,0.0
10,MOPTI,Delta du Niger ou Delta central,14.49,-4.2,261,281600,1922,Niger,,,,0.5,0.5,0.3333333333333333,0.5,1.0,1.0,1.0
11,AKKA,,15.39,-4.23,-,307000,1955,Niger,,,,,,,,0.0,0.0,0.0
12,KE-MACINA ,,13.95,-5.35,277,147000,1953,Niger,,,,,,,,0.0,0.0,0.0
13,NIAFUNKE,,15.93,-3.98,258,348300,1926,Niger,,,,,,,,0.0,0.0,0.0
14,NANTAKA,,14.54,-4.21,261,281600,-,Niger,,,,,,,,0.0,0.0,0.0
15,DIRE,,16.27,-3.38,258,366500,1954,Niger,,,,,1.0,0.0,0.0,0.0,0.0,1.0
16,KORYOUME,Niger Moyen ,16.67,-3.03,-,360000,1963,Niger,,,,,,,,0.0,0.0,0.0
17,TAOUSSA,,16.97,-0.55,250,340000,1954,Niger,,,,,,,,0.0,0.0,0.0
18,ANSONGO,,15.66,-0.49,242,566000,1950,Niger,,,,,,,,0.0,4.0,0.0
19,GAO,,16.26,-0.05,245,556000,1948,Niger,,,,,1.0,0.0,0.0,0.0,0.0,1.0
20,LABBEZANGA,,14.95,-0.69,-,-,-,Niger,,,,,,,,0.0,0.0,0.0
21,BENENY KEGNY,,13.38,-4.92,266,116000,1951,Niger,,,,,,,,0.0,0.0,0.0
22,SOFARA,Bani,14.01,-4.25,263,129400,1952,Niger,,,,0.25,0.5,0.2,0.5,1.0,3.0,1.0
23,KANA,,12.95,-6.34,283,-,-,Niger,,,,,,,,0.0,0.0,0.0
24,DOUNA,,13.21,-5.89,281,101300,1922,Niger,,,,0.3333333333333333,0.5,0.25,0.5,1.0,2.0,1.0
25,BOUGOUNI,Baoulé,11.39,-7.45,330,930,1975,Niger,,,,0.16666666666666666,0.5,0.14285714285714285,0.5,1.0,5.0,1.0
26,DIOILA,,12.51,-6.83,292,32500,1953,Niger,,,,,,,,0.0,0.0,0.0
27,KOUORO1,Banifing,12.01,-5.69,298,14300,1957,Niger,,,,,,,,0.0,0.0,0.0
28,PANKOUROU,Bagoé,11.45,-6.58,292,32150,1956,Niger,,,,0.3333333333333333,0.5,0.25,0.5,1.0,2.0,1.0
29,PLETOU,Sourou,13.22,-3.28,,,2008,Volta,,,,,,,,0.0,0.0,0.0
30,DAKA SAIDOU,Bafing ,11.94,-10.61,307,15700,1952,Senegal,,,,,,,,0.0,0.0,0.0
31,BAFING MAKANA,,12.55,-10.28,-,21000,1961,Senegal,,,,,,,,0.0,1.0,0.0
32,DIBIYA,,13.14,-10.48,125,33500,1961,Senegal,,,,,,,,0.0,0.0,0.0
33,MAHINA,,13.75,-10.85,90,38400,1956,Senegal,,,,,1.0,0.0,0.0,0.0,0.0,3.0
34,OUALIA,Bakoye,13.6,-10.38,108,84700,1954,Senegal,,,,,,,,0.0,0.0,0.0
35,DIANGOLA,,12.8,-9.48,-,12100,1973,Senegal,,,,,,,,0.0,0.0,0.0
36,GOURBASSY,Falèmé,13.39,-11.63,-,17100,1954,Senegal,,,ow,,1.0,0.0,0.0,0.0,0.0,1.0
37,KAYES,Sénégal,14.44,-11.44,20,157400,1903,Senegal,,,,0.25,0.5,0.2,0.5,1.0,3.0,1.0
38,GOUINA,,14.02,-11.1054,48,128600,+,Senegal,,,,,,,,0.0,0.0,0.0
39,NB: LES LIGNES EN FOND JAUNE SONT LES STATIONS ETALONNEES.,,,,,,,,,,,,,,,0.0,0.0,0.0
