;gaugeId;issue_date;issue_time;fc_date;fc_value
51;hybas_1120641660;2024-11-16;2024-11-16 14:02:49.903889+00:00;2024-11-18;1504.39501953125
52;hybas_1120641660;2024-11-16;2024-11-16 14:02:49.903889+00:00;2024-11-19;1448.4378662109375
53;hybas_1120641660;2024-11-16;2024-11-16 14:02:49.903889+00:00;2024-11-20;1393.1195068359375
54;hybas_1120641660;2024-11-16;2024-11-16 14:02:49.903889+00:00;2024-11-21;1342.0706787109375
55;hybas_1120641660;2024-11-16;2024-11-16 14:02:49.903889+00:00;2024-11-22;1298.42578125
56;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-16;1640.632568359375
57;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-17;1567.1605224609375
58;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-18;1508.47802734375
59;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-19;1456.2823486328125
60;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-20;1400.488525390625
61;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-21;1345.049072265625
62;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-22;1300.7374267578125
63;hybas_1120641660;2024-11-17;2024-11-17 13:51:15.987957+00:00;2024-11-23;1255.109619140625
64;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-17;1579.363037109375
65;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-18;1513.7669677734375
66;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-19;1458.56103515625
67;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-20;1408.1776123046875
68;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-21;1351.586181640625
69;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-22;1303.3887939453125
70;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-23;1257.031494140625
71;hybas_1120641660;2024-11-18;2024-11-18 11:09:02.318050+00:00;2024-11-24;1200.9117431640625
72;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-09;1823.9493408203125
73;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-10;1723.3887939453125
