,Observation,Start Date,End Date,StationName
78,1,2018-08-18 12:00:00,2018-10-22 12:00:00,Bamako
79,1,1980-09-04 12:00:00,1980-09-29 12:00:00,Koulikoro
80,1,1981-08-20 12:00:00,1981-10-10 12:00:00,Koulikoro
81,1,1982-09-01 12:00:00,1982-09-25 12:00:00,Koulikoro
82,1,1983-09-22 12:00:00,1983-10-06 12:00:00,Koulikoro
83,1,1985-08-27 12:00:00,1985-10-09 12:00:00,Koulikoro
84,1,1986-09-19 12:00:00,1986-10-05 12:00:00,Koulikoro
85,1,1988-09-11 12:00:00,1988-09-21 12:00:00,Koulikoro
86,1,1992-09-15 12:00:00,1992-09-28 12:00:00,Koulikoro
87,1,1994-09-03 12:00:00,1994-11-17 12:00:00,Koulikoro
88,1,1995-08-27 12:00:00,1995-10-25 12:00:00,Koulikoro
89,1,1996-09-09 12:00:00,1996-10-16 12:00:00,Koulikoro
90,1,1997-09-12 12:00:00,1997-10-11 12:00:00,Koulikoro
91,1,1998-09-06 12:00:00,1998-10-22 12:00:00,Koulikoro
92,1,1999-09-05 12:00:00,1999-10-30 12:00:00,Koulikoro
93,1,2000-09-13 12:00:00,2000-10-28 12:00:00,Koulikoro
94,1,2001-08-29 12:00:00,2001-10-16 12:00:00,Koulikoro
95,1,2002-09-19 12:00:00,2002-10-01 12:00:00,Koulikoro
96,1,2003-08-22 12:00:00,2003-10-13 12:00:00,Koulikoro
97,1,2004-09-03 12:00:00,2004-09-25 12:00:00,Koulikoro
98,1,2004-09-27 12:00:00,2004-10-11 12:00:00,Koulikoro
99,1,2005-08-24 12:00:00,2005-09-01 12:00:00,Koulikoro
100,1,2005-09-06 12:00:00,2005-09-08 12:00:00,Koulikoro
101,1,2005-09-30 12:00:00,2005-10-21 12:00:00,Koulikoro
102,1,2006-09-11 12:00:00,2006-09-15 12:00:00,Koulikoro
103,1,2006-09-19 12:00:00,2006-10-11 12:00:00,Koulikoro
104,1,2006-10-15 12:00:00,2006-10-24 12:00:00,Koulikoro
105,1,2007-08-30 12:00:00,2007-10-07 12:00:00,Koulikoro
106,1,2008-08-20 12:00:00,2008-10-17 12:00:00,Koulikoro
107,1,2009-08-31 12:00:00,2009-10-11 12:00:00,Koulikoro
108,1,2010-09-04 12:00:00,2010-10-07 12:00:00,Koulikoro
109,1,2010-10-20 12:00:00,2010-11-01 12:00:00,Koulikoro
110,1,2012-09-06 12:00:00,2012-10-06 12:00:00,Koulikoro
111,1,2013-08-21 12:00:00,2013-10-07 12:00:00,Koulikoro
112,1,2014-09-21 12:00:00,2014-10-16 12:00:00,Koulikoro
113,1,2015-09-12 12:00:00,2015-09-15 12:00:00,Koulikoro
114,1,2015-09-30 12:00:00,2015-10-21 12:00:00,Koulikoro
115,1,2016-08-29 12:00:00,2016-10-12 12:00:00,Koulikoro
116,1,2018-08-21 12:00:00,2018-10-22 12:00:00,Koulikoro
117,1,1981-09-23 12:00:00,1981-10-24 12:00:00,Mopti
118,1,1994-09-21 12:00:00,1994-12-01 12:00:00,Mopti
119,1,1995-10-07 12:00:00,1995-10-30 12:00:00,Mopti
120,1,1998-09-27 12:00:00,1998-11-08 12:00:00,Mopti
121,1,1999-09-11 12:00:00,1999-11-20 12:00:00,Mopti
122,1,2000-10-18 12:00:00,2000-10-27 12:00:00,Mopti
123,1,2001-10-02 12:00:00,2001-10-25 12:00:00,Mopti
124,1,2003-09-13 12:00:00,2003-11-07 12:00:00,Mopti
125,1,2007-09-14 12:00:00,2007-11-03 12:00:00,Mopti
126,1,2008-09-17 12:00:00,2008-11-04 12:00:00,Mopti
127,1,2009-09-24 12:00:00,2009-11-07 12:00:00,Mopti
128,1,2010-09-18 12:00:00,2010-11-23 12:00:00,Mopti
129,1,2012-09-14 12:00:00,2012-11-20 12:00:00,Mopti
130,1,2013-09-21 12:00:00,2013-10-23 12:00:00,Mopti
131,1,2015-10-10 12:00:00,2015-11-05 12:00:00,Mopti
132,1,2016-09-01 12:00:00,2016-11-05 12:00:00,Mopti
133,1,2018-09-08 12:00:00,2018-11-16 12:00:00,Mopti
134,1,1980-09-14 12:00:00,1980-10-08 12:00:00,Sofara
135,1,1981-09-05 12:00:00,1981-10-22 12:00:00,Sofara
136,1,1988-09-11 12:00:00,1988-10-07 12:00:00,Sofara
137,1,1994-08-22 12:00:00,1994-12-02 12:00:00,Sofara
138,1,1995-10-02 12:00:00,1995-10-22 12:00:00,Sofara
139,1,1997-09-14 12:00:00,1997-09-18 12:00:00,Sofara
140,1,1998-11-02 12:00:00,1998-11-10 12:00:00,Sofara
141,1,1999-08-17 12:00:00,1999-11-18 12:00:00,Sofara
142,1,2000-09-01 12:00:00,2000-09-26 12:00:00,Sofara
143,1,2001-09-05 12:00:00,2001-10-21 12:00:00,Sofara
144,1,2003-08-29 12:00:00,2003-11-10 12:00:00,Sofara
145,1,2006-09-22 12:00:00,2006-10-30 12:00:00,Sofara
146,1,2006-11-03 12:00:00,2006-11-05 12:00:00,Sofara
147,1,2007-08-27 12:00:00,2007-11-06 12:00:00,Sofara
148,1,2008-08-26 12:00:00,2008-11-03 12:00:00,Sofara
149,1,2010-09-06 12:00:00,2010-11-30 12:00:00,Sofara
150,1,2011-11-01 12:00:00,2011-11-02 12:00:00,Sofara
151,1,2011-12-16 12:00:00,2011-12-18 12:00:00,Sofara
152,1,2012-08-13 12:00:00,2012-11-26 12:00:00,Sofara
153,1,2013-09-04 12:00:00,2013-10-29 12:00:00,Sofara
154,1,2014-09-01 12:00:00,2014-10-26 12:00:00,Sofara
155,1,2015-09-02 12:00:00,2015-11-11 12:00:00,Sofara
156,1,2016-08-05 12:00:00,2016-11-07 12:00:00,Sofara
157,1,2017-08-14 12:00:00,2017-09-27 12:00:00,Sofara
158,1,2018-08-12 12:00:00,2018-11-21 12:00:00,Sofara
159,1,1981-09-09 12:00:00,1981-10-02 12:00:00,Douna
160,1,1994-08-21 12:00:00,1994-09-03 12:00:00,Douna
161,1,1994-09-17 12:00:00,1994-11-06 12:00:00,Douna
162,1,1999-08-15 12:00:00,1999-09-30 12:00:00,Douna
163,1,1999-10-03 12:00:00,1999-10-24 12:00:00,Douna
164,1,2003-09-09 12:00:00,2003-10-23 12:00:00,Douna
165,1,2007-08-20 12:00:00,2007-10-25 12:00:00,Douna
166,1,2008-08-25 12:00:00,2008-10-23 12:00:00,Douna
167,1,2009-09-04 12:00:00,2009-10-22 12:00:00,Douna
168,1,2010-09-05 12:00:00,2010-11-05 12:00:00,Douna
169,1,2011-09-27 12:00:00,2011-10-02 12:00:00,Douna
170,1,2012-08-16 12:00:00,2012-11-08 12:00:00,Douna
171,1,2013-09-05 12:00:00,2013-10-15 12:00:00,Douna
172,1,2014-08-28 12:00:00,2014-10-17 12:00:00,Douna
173,1,2015-09-04 12:00:00,2015-10-16 12:00:00,Douna
174,1,2016-08-04 12:00:00,2016-10-22 12:00:00,Douna
175,1,2017-09-04 12:00:00,2017-09-15 12:00:00,Douna
176,1,2018-08-10 12:00:00,2018-11-05 12:00:00,Douna
177,1,1980-08-25 12:00:00,1980-10-12 12:00:00,Bougouni
178,1,1981-08-09 12:00:00,1981-10-22 12:00:00,Bougouni
179,1,1982-08-26 12:00:00,1982-09-12 12:00:00,Bougouni
180,1,1982-09-18 12:00:00,1982-09-23 12:00:00,Bougouni
181,1,1988-09-16 12:00:00,1988-09-26 12:00:00,Bougouni
182,1,1989-08-23 12:00:00,1989-09-08 12:00:00,Bougouni
183,1,1989-09-10 12:00:00,1989-09-25 12:00:00,Bougouni
184,1,1991-08-26 12:00:00,1991-09-11 12:00:00,Bougouni
185,1,1992-09-06 12:00:00,1992-10-01 12:00:00,Bougouni
186,1,1993-09-06 12:00:00,1993-09-10 12:00:00,Bougouni
187,1,1994-08-14 12:00:00,1994-08-22 12:00:00,Bougouni
