,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2,ADM2ALT1FR,ADM2ALT2FR,ADM2_PCODE,ADM2_REF,Shape_Area,Shape_Leng,date,validOn,validTo,StationName_Type,StationName_Merged,Observation,Start Date,End Date,StationName
0,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1974-08-22 12:00:00,1974-08-24 12:00:00,Dibiya
1,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,2000-09-07 12:00:00,2000-09-08 12:00:00,Dibiya
2,Mali (le),ML,Kayes,ML01,KAYES,,,ML0103,,1.8994359414,7.24338178237,2015-06-01,2021-12-20,0000/00/00,StationName_1,Kayes,1,1954-08-23 12:00:00,1954-08-26 12:00:00,Kayes
3,Mali (le),ML,Kayes,ML01,KAYES,,,ML0103,,1.8994359414,7.24338178237,2015-06-01,2021-12-20,0000/00/00,StationName_1,Kayes,1,1958-08-21 12:00:00,1958-08-22 12:00:00,Kayes
4,Mali (le),ML,Kayes,ML01,KAYES,,,ML0103,,1.8994359414,7.24338178237,2015-06-01,2021-12-20,0000/00/00,StationName_1,Kayes,1,1958-08-29 12:00:00,1958-08-30 12:00:00,Kayes
5,Mali (le),ML,Kayes,ML01,KAYES,,,ML0103,,1.8994359414,7.24338178237,2015-06-01,2021-12-20,0000/00/00,StationName_1,Kayes,1,1964-09-04 12:00:00,1964-09-06 12:00:00,Kayes
6,Mali (le),ML,Kayes,ML01,KAYES,,,ML0103,,1.8994359414,7.24338178237,2015-06-01,2021-12-20,0000/00/00,StationName_1,Kayes,1,1964-09-21 12:00:00,1964-09-22 12:00:00,Kayes
7,Mali (le),ML,Kayes,ML01,KAYES,,,ML0103,,1.8994359414,7.24338178237,2015-06-01,2021-12-20,0000/00/00,StationName_1,Kayes,1,1974-08-23 12:00:00,1974-08-25 12:00:00,Kayes
8,Mali (le),ML,Koulikoro,ML02,KOULIKORO,,,ML0206,,0.49658888081,4.08735739761,2015-06-01,2021-12-20,0000/00/00,StationName_1,Koulikoro,1,1962-09-21 12:00:00,1962-10-01 12:00:00,Koulikoro
9,Mali (le),ML,Koulikoro,ML02,KOULIKORO,,,ML0206,,0.49658888081,4.08735739761,2015-06-01,2021-12-20,0000/00/00,StationName_1,Koulikoro,1,1967-10-02 12:00:00,1967-10-23 12:00:00,Koulikoro
10,Mali (le),ML,Koulikoro,ML02,KOULIKORO,,,ML0206,,0.49658888081,4.08735739761,2015-06-01,2021-12-20,0000/00/00,StationName_1,Koulikoro,1,1969-09-09 12:00:00,1969-09-18 12:00:00,Koulikoro
