,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Bafing Makana,0,2,0,,1.0,0.0,
1,Bamako,1,1,0,1.0,0.5,0.5,0.667
2,Bougouni,1,1,0,1.0,0.5,0.5,0.667
3,Dire,0,1,0,,1.0,0.0,
4,Douna,1,0,0,1.0,0.0,1.0,1.0
5,Gao,0,1,0,,1.0,0.0,
6,Kayes,0,3,0,,1.0,0.0,
7,Koulikoro,0,2,0,,1.0,0.0,
8,Mopti,0,1,0,,1.0,0.0,
9,Pankourou,1,0,1,0.5,0.0,1.0,0.667
10,Sofara,0,3,0,,1.0,0.0,
11,total,4,15,1,0.8,0.789,0.211,0.333
