,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Bafing Makana,0,2,0,,1.0,0.0,
1,Bamako,1,1,0,1.0,0.5,0.5,0.667
2,Bougouni,1,1,0,1.0,0.5,0.5,0.667
3,Dire,0,1,0,,1.0,0.0,
4,Douna,1,0,0,1.0,0.0,1.0,1.0
5,Kayes,0,2,0,,1.0,0.0,
6,Koulikoro,0,2,0,,1.0,0.0,
7,Mopti,0,2,0,,1.0,0.0,
8,Pankourou,0,0,2,0.0,,,
9,Sofara,0,3,0,,1.0,0.0,
10,total,3,14,2,0.6,0.824,0.176,0.273
