,identifier,TP,FP,FN,POD,FAR,precision,recall,f1
3,Bamako,1,0,0,1.0,0.0,1.0,1.0,1.0
2,Bougouni,1,0,0,1.0,0.0,1.0,1.0,1.0
4,Douna,1,0,0,1.0,0.0,1.0,1.0,1.0
1,Pankourou,1,0,1,0.5,0.0,1.0,0.5,0.667
0,total,4,0,1,0.8,0.0,1.0,0.8,0.889
