,admin_unit,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
1,ML0301,1,0,0,1.0,0.0,1.0,1.0,1.0,BOUGOUNI
0,total,1,0,0,1.0,0.0,1.0,1.0,1.0,
