,identifier,TP,FP,FN,POD,FAR,precision,recall,f1
0,Bafing Makana,0,0,1,0.0,0.0,0.0,0.0,0.0
1,Bamako,2,0,2,0.5,0.0,1.0,0.5,0.667
2,Banankoro,1,0,1,0.5,0.0,1.0,0.5,0.667
3,Bougouni,3,0,1,0.75,0.0,1.0,0.75,0.857
4,Douna,1,0,0,1.0,0.0,1.0,1.0,1.0
5,Kayes,1,0,5,0.167,0.0,1.0,0.167,0.286
6,Koulikoro,1,0,1,0.5,0.0,1.0,0.5,0.667
7,Pankourou,1,0,2,0.333,0.0,1.0,0.333,0.5
8,Sofara,2,0,2,0.5,0.0,1.0,0.5,0.667
9,total,12,0,15,0.444,0.0,1.0,0.444,0.615
