,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Bafing Makana,0,2,0,,1.0,0.0,
1,Bamako,0,1,1,0.0,1.0,0.0,
2,Bougouni,1,1,0,1.0,0.5,0.5,0.667
3,Dire,0,1,0,,1.0,0.0,
4,Douna,1,0,0,1.0,0.0,1.0,1.0
5,Gao,0,1,0,,1.0,0.0,
6,Guelelinkoro,0,2,0,,1.0,0.0,
7,Kayes,0,2,0,,1.0,0.0,
8,Koulikoro,0,2,0,,1.0,0.0,
9,Mopti,0,1,0,,1.0,0.0,
10,Pankourou,1,1,1,0.5,0.5,0.5,0.5
11,Sofara,0,3,0,,1.0,0.0,
12,total,3,17,2,0.6,0.85,0.15,0.24
