,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,1,2,1,0.5,0.667,0.333,0.4
1,Bafing Makana,0,2,0,,1.0,0.0,
2,Bamako,1,4,0,1.0,0.8,0.2,0.333
3,Banankoro,1,3,0,1.0,0.75,0.25,0.4
4,Bougouni,1,3,0,1.0,0.75,0.25,0.4
5,Dire,0,4,0,,1.0,0.0,
6,Douna,1,4,1,0.5,0.8,0.2,0.286
7,Gao,0,2,0,,1.0,0.0,
8,Guelelinkoro,0,4,0,,1.0,0.0,
9,Kayes,0,4,0,,1.0,0.0,
10,Koulikoro,1,4,0,1.0,0.8,0.2,0.333
11,Mopti,1,2,1,0.5,0.667,0.333,0.4
12,Pankourou,1,4,1,0.5,0.8,0.2,0.286
13,Sofara,2,3,2,0.5,0.6,0.4,0.444
14,total,10,45,6,0.625,0.818,0.182,0.282
