,admin_unit,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
22,ML0101,0,0,1,0.0,0.0,0.0,0.0,0.0,BAFOULABE
32,ML0103,0,2,3,0.0,1.0,0.0,0.0,0.0,SANDIA
28,ML0105,0,1,1,0.0,1.0,0.0,0.0,0.0,KITA
1,ML0107,0,0,2,0.0,0.0,0.0,0.0,0.0,YELIMANE
7,ML0202,1,0,5,0.167,0.0,1.0,0.167,0.286,DIOILA
10,ML0203,0,1,1,0.0,1.0,0.0,0.0,0.0,KENEKOUN
4,ML0204,0,1,2,0.0,1.0,0.0,0.0,0.0,KATI
6,ML0205,0,1,1,0.0,1.0,0.0,0.0,0.0,KOLOKANI
14,ML0206,0,1,5,0.0,1.0,0.0,0.0,0.0,TOUBAKORO
11,ML0207,2,2,4,0.333,0.5,0.5,0.333,0.4,NARA
17,ML0301,0,1,2,0.0,1.0,0.0,0.0,0.0,BOUGOUNI
20,ML0302,0,2,2,0.0,1.0,0.0,0.0,0.0,ZEGOUA
15,ML0304,0,1,1,0.0,1.0,0.0,0.0,0.0,KOUTIALA
21,ML0305,2,2,7,0.222,0.5,0.5,0.222,0.308,BIRAMABOUGOU
23,ML0401,1,0,0,1.0,0.0,1.0,1.0,1.0,BARAOUELI
3,ML0402,1,1,4,0.2,0.5,0.5,0.2,0.286,BLA
12,ML0404,0,1,1,0.0,1.0,0.0,0.0,0.0,NIONO
8,ML0405,2,0,1,0.667,0.0,1.0,0.667,0.8,SAN
25,ML0406,1,0,12,0.077,0.0,1.0,0.077,0.143,SEGOU
29,ML0503,2,0,0,1.0,0.0,1.0,1.0,1.0,DJENNE
13,ML0504,2,1,1,0.667,0.333,0.667,0.667,0.667,DOUENTZA
31,ML0505,1,2,2,0.333,0.667,0.333,0.333,0.333,KORO
9,ML0506,0,1,6,0.0,1.0,0.0,0.0,0.0,MOPTI
27,ML0601,0,2,2,0.0,1.0,0.0,0.0,0.0,DIRE
18,ML0602,0,1,1,0.0,1.0,0.0,0.0,0.0,GOUNDAM
2,ML0603,0,1,2,0.0,1.0,0.0,0.0,0.0,GOURMA-RHAROUS
26,ML0604,0,2,3,0.0,1.0,0.0,0.0,0.0,NIAFUNKE
30,ML0605,0,2,4,0.0,1.0,0.0,0.0,0.0,TOMBOUCTOU
5,ML0701,0,1,1,0.0,1.0,0.0,0.0,0.0,ANSONGO
16,ML0702,0,2,3,0.0,1.0,0.0,0.0,0.0,BOUREM
24,ML0703,0,4,5,0.0,1.0,0.0,0.0,0.0,TAMKOUTAT
19,ML0901,1,2,9,0.1,0.667,0.333,0.1,0.154,BAMAKO
0,total,16,38,94,0.145,0.704,0.296,0.145,0.195,
