,identifier,TP,FP,FN,POD,FAR,precision,recall,f1
0,Ansongo,2,1,1,0.667,0.333,0.667,0.667,0.667
1,Bafing Makana,0,0,1,0.0,,,0.0,
2,Bamako,2,0,2,0.5,0.0,1.0,0.5,0.667
3,Banankoro,2,0,2,0.5,0.0,1.0,0.5,0.667
4,Bougouni,4,0,0,1.0,0.0,1.0,1.0,1.0
5,Douna,2,0,2,0.5,0.0,1.0,0.5,0.667
6,Kayes,2,1,1,0.667,0.333,0.667,0.667,0.667
7,Koulikoro,1,0,0,1.0,0.0,1.0,1.0,1.0
8,Mopti,1,0,1,0.5,0.0,1.0,0.5,0.667
9,Pankourou,2,0,0,1.0,0.0,1.0,1.0,1.0
10,Sofara,2,0,1,0.667,0.0,1.0,0.667,0.8
11,total,20,2,11,0.645,0.091,0.909,0.645,0.755
