,identifier,TP,FP,FN,POD,FAR,precision,f1,Lat,Lon
0,Ansongo,2,5,0,1,0.714,0.286,0.444,15.66493416,0.494453013
1,Bafing Makana,0,5,9,0,1,0,,12.55000019,-10.28333378
2,Bamako,1,4,3,0.25,0.8,0.2,0.222,12.63129997,-7.998459816
3,Banankoro,1,4,5,0.167,0.8,0.2,0.182,11.6889801,-8.665260315
4,Bougouni,4,4,1,0.8,0.5,0.5,0.615,11.39820957,-7.449699879
5,Dire,0,4,0,-999,1,0,,16.27916718,-3.383333206
6,Douna,2,4,2,0.5,0.667,0.333,0.4,13.21725178,-5.899744987
7,Gao,0,6,0,-999,1,0,,16.26667023,-0.050000001
8,Kayes,1,4,8,0.111,0.8,0.2,0.143,14.45351601,-11.44
9,Koulikoro,1,4,3,0.25,0.8,0.2,0.222,12.85933304,-7.556388855
10,Mopti,1,4,1,0.5,0.8,0.2,0.286,14.48841953,-4.205490112
11,Pankourou,2,4,4,0.333,0.667,0.333,0.333,11.44886017,-6.576519966
12,Sofara,2,4,2,0.5,0.667,0.333,0.4,14.01393032,-4.242899895
13,total,17,56,38,0.309,0.767,0.233,0.266,,
