,identifier,TP,FP,FN,POD,FAR,precision,recall,f1
0,Ansongo,2,1,0,1.0,0.333,0.667,1.0,0.8
1,Bafing Makana,0,1,9,0.0,1.0,0.0,0.0,
2,Bamako,1,0,3,0.25,0.0,1.0,0.25,0.4
3,Banankoro,1,0,5,0.167,0.0,1.0,0.167,0.286
4,Bougouni,4,0,1,0.8,0.0,1.0,0.8,0.889
5,Douna,2,0,2,0.5,0.0,1.0,0.5,0.667
6,Kayes,3,0,6,0.333,0.0,1.0,0.333,0.5
7,Koulikoro,1,0,3,0.25,0.0,1.0,0.25,0.4
8,Mopti,1,0,1,0.5,0.0,1.0,0.5,0.667
9,Pankourou,2,0,4,0.333,0.0,1.0,0.333,0.5
10,Sofara,2,0,2,0.5,0.0,1.0,0.5,0.667
11,total,19,2,36,0.345,0.095,0.905,0.345,0.5
