,identifier,TP,FP,FN,POD,FAR,precision,recall,f1
0,Bafing Makana,0,1,9,0.0,1.0,0.0,0.0,0.0
1,Bamako,1,0,3,0.25,0.0,1.0,0.25,0.4
2,Banankoro,1,0,6,0.143,0.0,1.0,0.143,0.25
3,Bougouni,4,0,1,0.8,0.0,1.0,0.8,0.889
4,Douna,2,0,0,1.0,0.0,1.0,1.0,1.0
5,Kayes,3,0,6,0.333,0.0,1.0,0.333,0.5
6,Koulikoro,1,0,2,0.333,0.0,1.0,0.333,0.5
7,Mopti,1,0,1,0.5,0.0,1.0,0.5,0.667
8,Pankourou,2,0,2,0.5,0.0,1.0,0.5,0.667
9,Sofara,2,0,1,0.667,0.0,1.0,0.667,0.8
10,total,17,1,31,0.354,0.056,0.944,0.354,0.515
