;flood_start;flood_end;Région;Cercle;Commune;Quartier/Villages
139;2017-08-24;2017-08-24;;;KONOBOUGOU;
140;2017-08-23;2017-09-06;SEGOU;;;
145;2017-08-15;2017-08-15;;;KONOBOUGOU;
149;2017-08-11;2017-08-11;;;SOMASSO;
155;2017-07-24;2017-07-24;SIKASSO;;;
156;2017-07-23;2017-08-06;SEGOU;;;
157;2017-07-21;2017-07-21;SÉGOU;;;
160;2017-07-08;2017-07-08;;;FALLOU;
165;2017-06-22;2017-06-22;;;NIAMBIA;
166;2017-06-20;2017-06-21;TOMBOUCTOU;;;Er-Intedjefti-I
170;2017-06-17;2017-06-18;TOMBOUCTOU;;;Echelle
176;2017-01-01;2017-01-15;KAYES;;;
177;2017-01-01;2017-01-15;KOULIKORO;;;
178;2017-01-01;2017-01-15;SIKASSO;;;
179;2017-01-01;2017-01-15;SEGOU;;;
180;2017-01-01;2017-01-15;MOPTI;;;
181;2017-01-01;2017-01-15;TOMBOUCTOU;;;
182;2017-01-01;2017-01-15;GAO;;;
183;2017-01-01;2017-01-15;KIDAL;;;
184;2017-01-01;2017-01-15;BAMAKO;;;
186;2016-08-10;2016-08-10;;;KONNA;
203;2016-07-20;2016-07-20;;;FALO;
205;2016-07-11;2016-07-23;GAO;;;
206;2016-07-11;2016-07-23;MOPTI;;;
207;2016-07-11;2016-07-23;SEGOU;;;
208;2016-07-11;2016-07-23;SIKASSO;;;
209;2016-07-11;2016-07-23;BAMAKO;;;
210;2016-07-11;2016-07-23;KOULIKORO;;;
211;2016-07-10;2016-07-23;GAO;;;
212;2016-07-10;2016-07-23;MOPTI;;;
213;2016-07-10;2016-07-23;SEGOU;;;
214;2016-07-10;2016-07-23;SIKASSO;;;
215;2016-07-10;2016-07-23;BAMAKO;;;
216;2016-07-10;2016-07-23;KOULIKORO;;;
217;2016-07-09;2016-07-23;GAO;;;
218;2016-07-09;2016-07-23;MOPTI;;;
219;2016-07-09;2016-07-23;SEGOU;;;
220;2016-07-09;2016-07-23;SIKASSO;;;
221;2016-07-09;2016-07-23;BAMAKO;;;
222;2016-07-09;2016-07-23;KOULIKORO;;;
224;2015-09-02;2015-09-02;;;;
225;2015-08-10;2015-08-10;;;;
226;2015-08-08;2015-08-09;MENAKA DISTRICT (GAO PROVINCE);;;
227;2015-08-07;2015-08-09;MENAKA DISTRICT (GAO PROVINCE);;;
230;2014-10-13;2014-10-13;DISTRICT BAMAKO ;;;
312;2012-08-23;2012-09-06;SEGOU;;;
313;2012-08-23;2012-09-06;KOULIKORO;;;
315;2012-08-23;2012-09-06;KAYES MOPTI;;;
364;2012-07-22;2012-08-05;;;;
388;2011-08-01;2011-08-15;TOMBOUCTOU;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
389;2011-08-01;2011-08-15;MOPTI;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
390;2011-08-01;2011-08-15;KIDAL;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
391;2011-08-01;2011-08-15;KAYES;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
392;2011-08-01;2011-08-15;KOULIKORO;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
396;2011-07-01;2011-07-15;TOMBOUCTOU;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
397;2011-07-01;2011-07-15;MOPTI;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
398;2011-07-01;2011-07-15;KIDAL;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
399;2011-07-01;2011-07-15;KAYES;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
400;2011-07-01;2011-07-15;KOULIKORO;;;Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba
407;2010-10-04;2010-10-05;KAYES;;;
408;2010-10-04;2010-10-05;KOULIKORO;;;
