,flood_start,flood_end,Région,Cercle,Commune,Quartier/Villages
118,2006-08-03,2006-08-17,SIKASSO,,,
119,2006-08-03,2006-08-17,GAO,,,
120,2003-09-10,2003-09-11,,,,
121,2003-08-10,2003-08-24,TOMBOUCTOU,,,
122,2003-08-10,2003-08-24,GAO,,,
123,2003-08-10,2003-08-24,MOPTI,,,
124,2003-08-10,2003-08-24,SEGOU,,,
125,2003-08-10,2003-08-24,KOULIKORO,,,
126,2002-07-26,2002-07-27,TOMBOUCTOU,,,"Goundam, Tombouctou , Gao, Bamako "
127,2002-07-26,2002-07-27,GAO,,,"Goundam, Tombouctou , Gao, Bamako "
128,2002-07-26,2002-07-27,BAMAKO,,,"Goundam, Tombouctou , Gao, Bamako "
129,2002-07-25,2002-07-27,TOMBOUCTOU,,,"Goundam, Tombouctou , Gao, Bamako "
130,2002-07-25,2002-07-27,GAO,,,"Goundam, Tombouctou , Gao, Bamako "
131,2002-07-25,2002-07-27,BAMAKO,,,"Goundam, Tombouctou , Gao, Bamako "
132,2001-09-17,2001-09-18,,,,
133,2001-08-18,2001-09-01,SIKASSO,,,
134,2001-08-18,2001-09-01,KIDAL,,,
135,2001-08-18,2001-09-01,MOPTI,,,
136,2001-08-18,2001-09-01,KOULIKORO,,,
137,2001-08-18,2001-09-01,BAMAKO,,,
138,2001-08-18,2001-09-01,SEGOU,,,
139,1998-09-01,1998-09-15,KOULIKORO,,,"Koulikoro, Kayes"
140,1998-09-01,1998-09-15,KAYES,,,"Koulikoro, Kayes"
141,1989-08-01,1989-08-15,,,,
142,1988-08-01,1988-08-15,BAMAKO,,,
143,1988-08-01,1988-08-15,SEGOU,,,
144,1988-08-01,1988-08-15,KOULIKOROU,,,
