,flood_start,flood_end,Pays,Région,Cercle,Commune,Quartier/Villages
0,2022-09-23,2022-09-24,Mali,MOPTI,DJENNE,,Syn
1,2022-09-23,2022-09-24,Mali,MOPTI,BANDIAGARA,SANGHA,Diamini-Bouradono
2,2022-09-17,2022-09-18,Mali,MOPTI,KORO,MADOUGOU,Tindji Ireli 
3,2022-09-17,2022-09-18,Mali,MOPTI,KORO,BARAPIRELI,Tindji Neni 
4,2022-09-15,2022-09-16,Mali,SEGOU,BAROUELI,KALAKE,Kalale
5,2022-09-15,2022-09-16,Mali,SEGOU,BLA,YANGASSO,Yangasso
6,2022-09-10,2022-09-11,Mali,SEGOU,SAN,SAN COMMUNE,Sibougou
7,2022-09-06,2022-09-07,Mali,MOPTI,BANDIAGARA,SEGUE IRE,Tindji Ireli
8,2022-09-06,2022-09-07,Mali,MOPTI,KORO,BARAPIRELI,Yaguem
9,2022-09-06,2022-09-07,Mali,MOPTI,BANDIAGARA,BANDIAGARA COMMUNE,Anakada
10,2022-09-06,2022-09-07,Mali,MOPTI,KORO,MADOUGOU,Anakanda
11,2022-09-06,2022-09-07,Mali,TOMBOUCTOU,GOURMA-RHAROUS,BAMBARA MAOUDE,Arssi
12,2022-09-06,2022-09-07,Mali,TOMBOUCTOU,GOURMA-RHAROUS,HAMZAKOMA,"Gisma, Darsalam, Intididene, Bengaria, kelHikikaneI, Eminafade I, Takoufout, Doudere, Chakano, Tizimbaze, Bangaria"
13,2022-09-06,2022-09-07,Mali,TOMBOUCTOU,GOURMA-RHAROUS,RHAROUS,Waikoungou
14,2022-09-05,2022-09-06,Mali,MOPTI,DJENNE,DANDOUGOU FAKALA,"Tacko, Sirbougou, Touara"
15,2022-09-05,2022-09-06,Mali,MOPTI,DJENNE,NIANSANARI,Manta
16,2022-09-05,2022-09-06,Mali,MOPTI,DJENNE,DJENNE COMMUNE,Soala
17,2022-09-04,2022-09-05,Mali,SEGOU,SAN,SAN COMMUNE,Belenitiégny
18,2022-09-02,2022-09-03,Mali,SEGOU,SEGOU,SEGOU COMMUNE,Bougounina 
19,2022-09-01,2022-09-02,Mali,KOULIKORO,DIOILA,KALADOUGOU,Thientiéna
20,2022-09-01,2022-09-02,Mali,KOULIKORO,DIOILA,DEGNEKORO,Fana
21,2022-08-31,2022-09-01,Mali,MOPTI,DOUENTZA,DOUENTZA COMMUNE,Djoulouna
22,2022-08-28,2022-08-29,Mali,KOULIKORO,NARA,NARA,Tioffi
23,2022-08-28,2022-08-29,Mali,SEGOU,SEGOU,PELENGANA,Pelengana sud
24,2022-08-27,2022-08-28,Mali,KOULIKORO,NARA,KORONGA,Koronga
25,2022-08-27,2022-08-28,Mali,KOULIKORO,NARA,DILLY,Djinkoulou 
26,2022-08-24,2022-08-25,Mali,GAO,BOUREM,BOUREM,"Ersane , Agamhor , Ersane, Tabankort , Tarkint , Dararatouli , Tinfanda , Frinta , Kassembéré , Tahabanat"
27,2022-08-24,2022-08-25,Mali,GAO,BOUREM,BAMBA,Bamba Tabahokoumate et kalenssar 4
28,2022-08-24,2022-08-25,Mali,MOPTI,BANDIAGARA,DIAMNATI, Diamini-Bouradono
29,2022-08-18,2022-08-19,Mali,SEGOU,SEGOU,FARAKO,Farako
30,2022-08-12,2022-08-13,Mali,BAMAKO,BAMAKO,COMMUNE I,Sotuba
31,2022-08-12,2022-08-13,Mali,BAMAKO,BAMAKO,COMMUNE V,Magnambougou
32,2022-08-12,2022-08-13,Mali,BAMAKO,BAMAKO,COMMUNE VI,"Missabougou, Magnambougou "
33,2022-08-12,2022-08-13,Mali,KOULIKORO,KATI,OUELESSEBOUGOU,Kolena
34,2022-08-12,2022-08-13,Mali,KOULIKORO,KATI,MANDE,Kanadjiguila
35,2022-08-12,2022-08-13,Mali,KOULIKORO,KATI,SANANKORO DJITOUMOU,Dianikoro
36,2022-08-12,2022-08-13,Mali,BAMAKO,BAMAKO,COMMUNE II,"Konebougou, Bougouba"
37,2022-08-12,2022-08-13,Mali,TOMBOUCTOU,GOUNDAM,TONKA,Tonka
38,2022-08-12,2022-08-13,Mali,TOMBOUCTOU,GOURMA-RHAROUS,SERERE,"Madiakoye, Kano, Mamadou Koira, Moyadji Koira, Amaragoungou, Goungouberi, Arbichi, Kelhikikene II, Kelhikikene Sereré, Kelhikikene Taborack, Ikorchatane Sereré, Izegayatane, Ikamadayane, Waikaratane Boranda"
39,2022-08-12,2022-08-13,Mali,TOMBOUCTOU,GOURMA-RHAROUS,HARIBOMO,"Kel BouKel Bourem Erewi, Tomagaih, Tissi kinene, Igar-gar, Abaloul, Tama-Hamey, Daka Djerel, Djedjefou, Imawane,Tagoungoutte, Tim-Alada, Tabakatt, Tin-Ghyhchane, Daka M'bara, Dazi"
40,2022-08-12,2022-08-13,Mali,TOMBOUCTOU,GOURMA-RHAROUS,OUINERDEN,"Tissiknen, Tagoungoutte, Imawane, Daka Djerel, Daka M'bara, Kel Bourem Erewi, Toumagué, Adiora 1, Ingarhan, Oudimi"
41,2022-08-12,2022-08-13,Mali,TOMBOUCTOU,TOMBOUCTOU,TOMBOUCTOU,"Hamabangou, Djingarey Ber, Barriz, Bellafarandi, Abaradiou, Kabara, Badjinde, Sankore"
42,2022-08-09,2022-08-10,Mali,GAO,BOUREM,BOUREM,Diambourou et Kalani 
43,2022-08-04,2022-08-05,Mali,SIKASSO,BOUGOUNI,BOUGOUNI COMMUNE,Torakabougou
44,2022-08-04,2022-08-05,Mali,SIKASSO,KADIOLO,KADIOLO,Kadiolo Koko
