,flood_start,flood_end,Cercle,duration
677,2007-08-15,2007-08-15,BAFOULABE,1
678,2007-08-15,2007-08-15,YELIMANE,1
679,2007-08-09,2007-08-09,YANFOLILA,1
680,2007-08-06,2007-08-06,BANAMBA,1
681,2007-08-05,2007-08-05,NIONO,1
682,2007-07-26,2007-07-26,SEGOU,1
683,2007-07-26,2007-07-26,SEGOU,1
684,2007-07-22,2007-07-23,BLA,2
685,2007-07-22,2007-07-22,YOROSSO,1
686,2007-07-16,2007-07-16,KAYES,1
687,2007-07-14,2007-07-14,NIONO,1
688,2007-07-09,2007-07-09,YOROSSO,1
689,2007-07-08,2007-07-08,SAN,1
690,2007-07-08,2007-07-08,SAN,1
691,2007-07-07,2007-07-07,DOUENTZA,1
697,2007-07-04,2007-07-18,BANDIAGAR,15
698,2007-07-04,2007-07-04,MOPTI,1
699,2007-07-04,2007-07-04,BANDIAGAR,1
700,2007-07-04,2007-07-04,BANDIAGAR,1
701,2007-07-04,2007-07-04,BANDIAGAR,1
702,2007-07-01,2007-07-01,YOROSSO,1
709,2007-04-20,2007-04-20,TOMBOUCTO,1
710,2007-04-04,2007-04-04,DISTRICT,1
711,2007-02-26,2007-02-26,DISTRICT,1
712,2007-01-22,2007-01-22,DISTRICT,1
713,2006-08-31,2006-08-31,YOROSSO,1
714,2006-08-27,2006-08-27,TOMBOUCTO,1
715,2006-08-24,2006-08-24,DJENNE,1
716,2006-08-23,2006-08-23,MACINA,1
717,2006-08-23,2006-08-23,MACINA,1
718,2006-08-23,2006-08-23,DJENNE,1
719,2006-08-11,2006-08-11,BLA,1
720,2006-08-11,2006-08-11,NIONO,1
721,2006-08-09,2006-08-09,DOUENTZA,1
722,2006-08-09,2006-08-09,KOUTIALA,1
723,2006-08-08,2006-08-08,SAN,1
726,2006-07-29,2006-07-29,ANSONGO,1
727,2005-09-21,2005-09-27,KAYES,7
728,2005-08-18,2005-08-18,KATI,1
729,2005-06-06,2005-06-07,ANSONGO,2
730,2004-08-15,2004-08-15,SEGOU,1
731,2004-08-15,2004-08-15,YELIMANE,1
732,2004-08-15,2004-08-15,YELIMANE,1
733,2004-08-15,2004-08-15,YELIMANE,1
734,2004-08-15,2004-08-15,KAYES,1
735,2004-08-15,2004-08-15,DOUENTZA,1
736,2004-08-15,2004-08-15,KIDAL,1
737,2004-08-15,2004-08-15,NIORO,1
738,2004-06-12,2004-06-12,NARA,1
739,2004-06-01,2004-06-01,GOUNDAM,1
740,2004-01-31,2004-01-31,KAYES,1
742,2003-09-09,2003-09-09,MOPTI,1
743,2003-08-24,2003-08-24,TOMBOUCTO,1
744,2003-08-17,2003-08-17,DJENNE,1
750,2003-08-10,2003-08-10,TOMINIAN,1
751,2003-08-07,2003-08-07,DISTRICT,1
752,2003-08-01,2003-08-01,NARA,1
753,2003-07-17,2003-07-17,DISTRICT,1
754,2002-08-28,2002-08-28,GOUNDAM,1
755,2002-08-08,2002-08-08,DISTRICT,1
769,2001-07-27,2001-07-27,MOPTI,1
770,2001-07-16,2001-07-16,MOPTI,1
771,2001-06-01,2001-06-01,GOURMA-RH,1
772,2000-08-25,2000-08-26,ABEIBARA,2
773,1999-09-22,1999-09-22,TOMBOUCTO,1
774,1999-09-18,1999-09-18,YANFOLILA,1
775,1999-08-23,1999-08-23,TOMBOUCTO,1
776,1999-08-22,1999-08-22,TOMBOUCTO,1
777,1999-08-22,1999-08-22,GOURMA-RH,1
778,1999-08-21,1999-08-21,GOUNDAM,1
779,1999-08-21,1999-08-21,GOUNDAM,1
780,1999-08-21,1999-08-21,GOUNDAM,1
781,1999-08-21,1999-08-21,NIAFUNKE,1
782,1999-08-21,1999-08-21,DISTRICT,1
783,1999-08-21,1999-08-21,GOUNDAM,1
784,1999-08-21,1999-08-21,NIAFUNKE,1
785,1999-08-21,1999-08-21,GOURMA-RH,1
786,1999-08-21,1999-08-21,DIRE,1
787,1999-08-21,1999-08-21,NIAFUNKE,1
788,1999-08-20,1999-08-20,DOUENTZA,1
789,1999-08-20,1999-08-20,KATI,1
790,1999-08-20,1999-08-20,KOLONDIEB,1
791,1999-08-19,1999-08-19,KANGABA,1
792,1999-08-18,1999-08-18,KANGABA,1
793,1999-08-18,1999-08-18,YANFOLILA,1
794,1999-08-17,1999-08-17,TENENKOU,1
795,1999-08-17,1999-08-17,KATI,1
796,1999-08-17,1999-08-17,MOPTI,1
797,1999-08-15,1999-08-15,NIONO,1
798,1999-08-15,1999-08-15,KOUTIALA,1
799,1999-08-14,1999-08-14,BARAOUELI,1
800,1999-08-14,1999-08-14,TOMINIAN,1
801,1999-08-14,1999-08-14,TOMINIAN,1
802,1999-08-14,1999-08-14,TOMINIAN,1
803,1999-08-11,1999-08-11,DISTRICT,1
804,1999-08-11,1999-08-11,BARAOUELI,1
805,1999-08-11,1999-08-11,BARAOUELI,1
806,1999-08-11,1999-08-11,BOUGOUNI,1
807,1999-08-10,1999-08-10,DISTRICT,1
808,1999-08-10,1999-08-10,BARAOUELI,1
809,1999-08-10,1999-08-10,BARAOUELI,1
810,1999-08-06,1999-08-06,BOUGOUNI,1
811,1999-08-05,1999-08-05,KAYES,1
812,1999-08-05,1999-08-05,DISTRICT,1
813,1999-08-05,1999-08-05,KATI,1
814,1999-08-04,1999-08-05,BAMAKO,2
815,1999-08-04,1999-08-05,BAMAKO,2
816,1999-08-04,1999-08-05,BAMAKO,2
817,1999-08-04,1999-08-05,KOUTIALA,2
818,1999-08-04,1999-08-05,KOUTIALA,2
819,1999-08-04,1999-08-05,KOUTIALA,2
820,1999-08-02,1999-08-02,KOULIKORO,1
821,1999-08-01,1999-08-01,KAYES,1
822,1999-07-12,1999-07-12,BLA,1
823,1998-09-22,1998-09-22,DISTRICT,1
826,1998-08-17,1998-08-17,ANSONGO,1
827,1998-08-13,1998-08-13,KAYES,1
828,1998-08-05,1998-08-05,DISTRICT,1
829,1998-06-17,1998-06-18,ASANGO,2
830,1997-08-27,1997-08-27,MOPTI,1
831,1997-07-31,1997-07-31,KANGABA,1
832,1997-05-05,1997-05-05,DISTRICT,1
833,1996-08-11,1996-08-11,KOULIKORO,1
834,1996-08-04,1996-08-04,DISTRICT,1
835,1996-07-26,1996-07-26,TOMINIAN,1
836,1996-06-13,1996-06-13,SIKASSO,1
837,1995-08-10,1995-08-10,BARAOUELI,1
838,1995-07-17,1995-07-17,KAYES,1
839,1995-05-25,1995-05-25,KATI,1
840,1994-09-21,1994-09-21,KOULIKORO,1
841,1994-09-08,1994-09-08,DOUENTZA,1
842,1994-08-05,1994-08-05,DIOILA,1
847,1974-08-23,1974-08-23,DISTRICT,1
848,1954-08-25,1954-08-25,DISTRICT,1
849,1954-08-20,1954-08-20,BAFOULABE,1
850,1954-08-20,1954-08-20,TOMBOUCTO,1
851,1954-08-20,1954-08-20,SIKASSO,1
852,1906-08-21,1906-08-21,KAYES,1
853,1906-08-17,1906-08-17,KOULIKORO,1
