,flood_start,flood_end,Cercle,duration
164,2017-06-22,2017-06-22,YELIMANE,1
165,2017-06-22,2017-06-22,BAFOULABE,1
167,2017-06-20,2017-06-21,DOUENTZA,2
168,2017-06-18,2017-06-19,NIORO,2
169,2017-06-17,2017-06-18,NIANFUNKE,2
171,2017-05-27,2017-05-28,SAN,2
172,2017-05-14,2017-05-15,DIOLA,2
173,2017-05-14,2017-05-14,DIOILA,1
174,2017-03-09,2017-03-10,NARA,2
175,2017-01-09,2017-01-10,SEGOU,2
185,2016-11-12,2016-11-12,MOPTI,1
186,2016-08-10,2016-08-10,MOPTI,1
187,2016-08-04,2016-08-04,KOULIKORO,1
188,2016-08-04,2016-08-04,BAMAKO,1
189,2016-08-02,2016-08-02,SIKASSO,1
190,2016-08-02,2016-08-02,GAO,1
191,2016-08-02,2016-08-02,KOULIKORO,1
192,2016-08-01,2016-08-01,BAMAKO,1
193,2016-08-01,2016-08-01,TOMBOUCTO,1
194,2016-08-01,2016-08-01,MENAKA,1
195,2016-08-01,2016-08-01,KOULIKORO,1
196,2016-08-01,2016-08-01,GAO,1
197,2016-08-01,2016-08-01,MOPTI,1
198,2016-08-01,2016-08-01,KIDAL,1
199,2016-08-01,2016-08-01,SEGOU,1
200,2016-08-01,2016-08-01,SIKASSO,1
201,2016-07-28,2016-07-28,SIKASSO,1
202,2016-07-27,2016-07-27,KOULIKORO,1
203,2016-07-20,2016-07-20,BLA,1
204,2016-07-18,2016-07-18,DOUENTZA,1
223,2015-09-03,2015-09-03,GAO,1
228,2015-07-31,2015-07-31,MACINA,1
229,2014-11-16,2014-11-16,YOROSSO,1
231,2014-08-23,2014-08-23,DISTRICT,1
232,2014-08-15,2014-08-15,KAYES,1
233,2014-08-06,2014-08-06,DISTRICT,1
234,2014-08-04,2014-08-04,KOUTIALA,1
235,2014-07-22,2014-07-22,MOPTI,1
236,2014-07-03,2014-07-03,KOUTIALA,1
237,2014-06-22,2014-06-22,BANAMBA,1
238,2014-06-10,2014-06-10,SEGOU,1
239,2014-06-05,2014-06-05,BAMAKO,1
240,2014-06-02,2014-06-02,KITA,1
241,2014-06-02,2014-06-02,DISTRICT,1
242,2013-09-26,2013-09-26,BANDIAGAR,1
243,2013-09-15,2013-09-15,DISTRICT,1
244,2013-09-14,2013-09-14,DOUENTZA,1
245,2013-09-13,2013-09-13,DISTRICT,1
246,2013-09-09,2013-09-09,KAYES,1
247,2013-09-08,2013-09-08,BAMAKO,1
248,2013-09-07,2013-09-07,SAN,1
249,2013-09-06,2013-09-06,DISTRICT,1
250,2013-09-05,2013-09-05,DISTRICT,1
251,2013-09-04,2013-09-04,NIONO,1
252,2013-09-03,2013-09-03,KATI,1
253,2013-09-03,2013-09-03,NIONO,1
254,2013-08-31,2013-08-31,BAMAKO,1
255,2013-08-29,2013-08-30,BAMAKO,2
256,2013-08-28,2013-08-28,KATI,1
257,2013-08-26,2013-08-26,BANDIAGAR,1
258,2013-08-21,2013-08-21,SEGOU,1
259,2013-08-14,2013-08-14,YANFOLILA,1
260,2013-08-13,2013-08-13,KITA,1
261,2013-08-13,2013-08-13,YELIMANE,1
262,2013-08-11,2013-08-11,NIONO,1
263,2013-08-09,2013-08-10,NIONO,2
264,2013-08-09,2013-08-10,NIONO,2
265,2013-08-09,2013-08-10,AGUELHOK,2
266,2013-08-09,2013-08-10,AGUELHOK,2
267,2013-08-09,2013-08-10,TESSALIT,2
268,2013-08-09,2013-08-10,TESSALIT,2
269,2013-08-07,2013-08-07,SAN,1
270,2013-06-28,2013-06-28,KAYES,1
271,2013-06-28,2013-06-28,KAYES,1
272,2013-06-28,2013-06-28,KAYES,1
273,2013-05-17,2013-05-17,BAFOULABE,1
274,2012-10-06,2012-10-06,KOUTIALA,1
275,2012-09-24,2012-09-24,BAFOULABE,1
276,2012-09-24,2012-09-24,BAFOULABE,1
